symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,CPrice,change
A1CAP.IS,21.142062275970854,15.037964655358337,33.08668433309085,18.02003052926021,0.005519073609607718,-0.013822105555140983,-0.0193411791647487,10.36286563990515,0.46163519342467546,17.045455315142625,51.664143034313625,193434919.0,49.87095800725841,-693569934.7345068,10.566683809219892,-17.31600505127432,1.0615751662400104,-0.20550151373617398,0.2192417476446186,4.691957475205705,4.766666730244954,5.180735236867893,-1,4.954556614232161,4.760000228881836,1.27660472450275
ACSEL.IS,67.55732506454342,75.57511526971878,62.5401968182158,81.73257612791458,-0.5348015417167864,1.0428007561612755,1.577602297878062,30.581304834029876,0.5508555317393939,22.14074646630099,68.7532609807051,1653867.0,50.56118972318894,-9801828.414692318,30.913804007176108,29.854616009991997,7.303366291650028,-0.06856128951538326,7.379866206679386,120.80963550281331,116.39999898274739,105.31587579709438,1,114.04615957430778,114.5999984741211,-2.8813572253211017
ADESE.IS,88.23528208672313,86.60128436261546,100.0,100.0,0.03193097640003515,0.0590607857305834,0.027129809330548246,31.806574361648583,1.2408517660270444,71.87500310440846,83.62385757227979,1190359658.0,82.10022581543895,-2660590281.9537797,23.53376815702697,286.9306412169384,27.368426666365508,0.14008339155558885,0.09609255635221761,2.25141986654448,2.4033333460489907,2.0697443371026627,1,2.170266270347158,2.4200000762939453,0.833332505491069
ADGYO.IS,9.764890220595852,12.193966047597085,3.625199398427456,1.2083997994758187,-0.13996720876653657,-0.24272332501618066,-0.10275611624964408,8.675714665784431,0.010628159150288091,35.95317363061608,31.87980104461975,54946872.0,42.52468967278892,-53384304.452608466,10.98763578031392,-205.01443128433743,-4.282932212507108,-0.15491532676595124,1.0840581334982708,29.854928945189315,29.519999821980793,28.34763592514227,1,30.274494521690198,29.5,0.4768371482903655
AEFES.IS,45.22415357314346,61.44052326807679,49.565892609748545,70.94946853050021,-0.16608598855901158,0.21658972549588973,0.3826757140549013,7.954678006901074,0.11775861763577378,6.505644278834917,57.738367759487815,30163871.0,41.0003279071525,-160340972.93857548,15.551229779120714,-81.03061949819246,-2.9196954583731864,-0.1900610070701581,6.096585250083192,162.5723080896219,160.31431112465748,176.16722802952282,-1,169.41626494230496,158.2649383544922,-3.623188272257327
AFYON.IS,59.39282355607992,61.628995454382995,72.60140060874114,80.9280445404425,0.022920731628226484,0.03697896287038348,0.014058231242156993,6.951839737836449,0.43231012958289466,51.48669827121635,71.1472390788453,290477888.0,48.546734574681935,-453398611.030854,17.845328052586776,1.9191791420280075,1.0316900992720872,-0.21316059585784286,0.44768319655192695,13.82615619063619,13.806666692097982,14.573930975878696,-1,14.150798276887365,13.710000038146973,-2.0714282989501953
AGESA.IS,68.22037492710952,70.12428559672917,69.43611100041414,71.80744362166168,-0.017611639869739015,0.9302069362720029,0.9478185761417419,15.089625891585605,0.6805592551181441,72.92543210987628,76.33625641484058,28559963.0,51.233224171794014,23567007.486360997,18.980429404313696,99.40620480044375,7.852566355862584,-0.04218535173786719,7.042825940191035,135.04969880450327,137.70000203450522,141.34170224006812,-1,132.85098926680269,134.60000610351562,-4.5390027634640955
AGHOL.IS,10.753706047091393,26.256234019226223,26.88192224448815,55.13856414936286,0.11741564111249062,0.22862611408027078,0.11121047296778017,7.230594890038635,0.059799955558337885,1.682689231189335,43.85610317707023,15980570.0,37.83502281877022,-11048043.662767177,22.01213614174288,-174.07342810447088,-2.760463834976663,-0.2749805316140103,8.504887480101319,270.67111469137257,267.6603370824867,291.2089678873644,-1,281.0467636755077,267.7420654296875,0.2754820936639035
AHGAZ.IS,19.819277464711867,29.6336833786101,9.435342195146253,11.66210602024548,-0.06497073980766749,-0.11906796200465314,-0.05409722219698564,12.66334281520491,0.36779766217131016,79.47794274177488,50.534734133936766,315548160.0,49.4353522844322,119723601.35200375,13.019272382174782,-39.19209229857338,-4.480286799609096,-0.16001402456427746,0.956488746451688,21.59539524488468,21.406666437784835,20.006389817140544,1,20.696209635033174,21.31999969482422,-2.201832839609996
AKBNK.IS,16.05097623771122,36.51823804863313,49.007687503563886,61.40616512188499,0.05485999211319181,0.37445559152285535,0.31959559940966353,10.94319315439942,0.09847772046071199,11.509147056272692,44.398554594269655,2616303908.0,34.18917362601435,-1756543161.0190308,40.27359158618378,-145.15123375063905,-2.7666420179717512,-0.18397675346087589,2.1714218868773383,49.430060640068135,48.5533332824707,54.77426182961062,-1,50.76754689099773,48.5,-1.2219928569597305
AKCNS.IS,0.26178278859054954,4.3374212764929405,0.44913594170187804,7.69870734670445,-1.5706075487644982,-2.0147489825297455,-0.4441414337652474,17.763275991738663,-0.3054078638111089,19.15880060159315,36.75398914180531,9859928.0,29.469994333327136,2781488.0396964448,21.398618497359294,-347.27333679139616,-14.573167010051447,-0.37823654418744057,7.6785634435125445,150.97008540712554,142.50000508626303,167.47736226685674,-1,166.21010709083652,140.10000610351562,-4.041091709920808
AKENR.IS,11.42544629054988,20.5501456400476,0.09829615599906262,9.821128500734984,-0.023059302643966165,0.003486553064489195,0.02654585570845536,15.182831308495016,-0.014245064508266824,0.07062308608473315,31.660243297115073,-191759558.0,25.188370888813967,-960724618.6667341,30.15038935193517,-143.81632564148677,-10.152283870782847,-0.3383033563882527,0.36634804853491315,9.050050922146191,8.93333371480306,10.002818173833894,-1,9.456101184471564,8.850000381469727,-1.7758029228370553
