,symbol,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,CPrice,YLow,YHigh,RSI,ADX,CCI,ROC,ATR,change
45,BAT-USD,-0.0007306362915840458,-0.0026822527905384173,-0.0019516164989543715,27.17920559845897,0.04839852915746468,0.1297179,0.108016,0.3642,37.356045663263735,15.335812889533393,-180.0293571065377,-12.534199214405236,0.008267148092339607,1.4872678828436792
46,OMG-USD,0.0013142395432767212,0.00047061943867173384,-0.0008436201046049873,19.250891882704032,1.1762318426069502,0.23176783,0.170238,0.717322,63.31121992199376,19.466620235428408,291.3549197570533,13.481510752440261,0.01791204660898882,28.64979562492236
47,ZIL-USD,-7.617219432848438e-05,-0.0002423353470376154,-0.00016616315270913103,28.459414381326365,0.04145680489770823,0.011254953,0.009281,0.037346,37.02259194433432,18.893746050894617,-187.26370803014058,-10.7953326250548,0.000769837117710676,2.092519884313404
48,CRO-USD,0.0005290930608582287,0.00018210678960040678,-0.00034698627125782195,11.63967460277097,1.1223236967135253,0.105909735,0.067623,0.234775,63.25253794606972,13.540319377914194,202.25989249158863,10.204403132526421,0.00518297176944333,6.232298751930365
49,GALA-USD,-0.0001914046869398358,-0.00046230683606597665,-0.00027090214912614085,30.20803250466516,0.026776792589660776,0.016705617,0.009273,0.836685,40.73600704889352,16.10179837464081,-208.78028097625105,-12.168155134246081,0.0015596468743664918,1.6597277311652503
50,YFI-USD,-20.07813030053137,-81.74173919759609,-61.66360889706472,20.2020323720896,0.09129906038826807,5197.902,4096.591,14667.059,41.30285422767095,14.703496822019474,-183.4632214958026,-6.3209843646297115,299.9442458599136,2.801026779717497
51,CRV-USD,-0.007178039487699482,-0.01240606296694385,-0.005228023479244368,23.527751958421316,0.1342935398051168,0.66813534,0.181093,1.327329,42.340056445726994,22.212130957255205,-132.35023225412232,-0.5437180122817222,0.05797243689669897,0.8234216672423633
52,ANKR-USD,-8.45582775501319e-05,-0.00033392083517600954,-0.00024936255762587764,31.3758748740834,0.04565696270464147,0.016037205,0.013756,0.061771,33.42284415813521,18.662706710794318,-187.3004372145753,-13.769192441454322,0.0010136734081300498,0.9170262095226311
53,SNX-USD,-0.00773541021245989,-0.018715937179207793,-0.010980526966747903,31.32630927631076,0.01172116342522556,0.67324585,0.553774,3.624426,38.21914015731444,19.74909792705817,-208.41309867223003,-15.117782136920104,0.05815899519751188,1.818899803444829
54,UNI-USD,3.104902613351635e-07,4.579419654868457e-07,1.474517041516822e-07,10.008562988911955,0.45423779996215397,0.0001626423,9.9e-05,0.00159,46.43342124273293,18.832074230145395,-17.30619672877682,-2.97618717643643,4.946793817038008e-06,0.0
55,REN-USD,-9.270990307039213e-05,-0.00013749541627133518,-4.478551320094305e-05,28.506219958904616,0.3277868938643245,0.011824825,0.008573,0.092109,48.84764685771462,41.02143443585761,-66.5088256393008,-6.330603130952406,0.0012054354912413383,-1.9473584268889566
56,CELR-USD,-7.929241367915884e-05,-0.0002613250354913622,-0.00018203262181220337,41.2220441270261,0.04075413985393122,0.008159234,0.006735,0.032218,36.819828381294066,17.297044496069397,-178.70241685014054,-17.030361362443305,0.0007685314940549369,1.975103240738063
57,ONT-USD,-0.0007614271227992064,-0.002893098247404492,-0.0021316711246052856,30.275134584474404,0.048592332855677975,0.12987013,0.111065,0.394417,34.24550851341825,17.9812681892601,-178.99963298085268,-14.134886098716384,0.008223668077689374,1.4525186361301623
58,RVN-USD,-9.066231500546153e-05,-0.00024249912204409702,-0.0001518368070386355,26.830763477103872,0.02798377704288469,0.0108449645,0.008976,0.035438,38.750428759484116,15.673405170746062,-198.67868173491172,-12.519441368708417,0.0007547679977676706,1.6221792139468283
59,DASH-USD,-0.12555853878595452,-0.269385715714879,-0.1438271769289245,15.43339027147464,0.02231164860117962,21.948511,18.034231,71.256195,41.760002638107515,11.886735289055311,-219.4930043517375,-6.324950233297445,1.1510211240665216,0.4324194964677064
60,KLAY-USD,-0.0005361088484174075,-0.001681600027663767,-0.0011454911792463595,20.73740343874136,0.018606490550189005,0.10552136,0.090915,0.446157,36.38575732812851,14.935354189221018,-211.95664083783822,-9.418285117399424,0.00532763578588703,0.37467274492539726
61,FTT-USD,-0.008927402694699868,-0.01912065399624322,-0.010193251301543353,20.056726736872406,-0.027279212857761286,1.0777556,0.75076,4.228623,43.59071674421507,27.095227157008342,-177.0951295026982,-13.273833134365153,0.08902272816466902,-4.143360053279221
62,MINA-USD,-0.002352040756494824,-0.005696743071300205,-0.003344702314805381,31.38467575636329,-0.00692004108678848,0.21339133,0.184344,1.044009,35.272989444416176,14.686082410888766,-222.93940762583972,-14.841373850915005,0.01660716671101112,0.7603275268661891
63,GLMR-USD,-0.0007485123725398343,-0.0022140078096747552,-0.001465495437134921,33.8750391581358,0.04441998663913551,0.07704831,0.053954,0.428649,41.21824606702483,19.98747405667105,-196.03143229044366,-15.549611713961067,0.0066837163697171294,3.0774615016300855
64,DYDX-USD,-0.005001992486429492,-0.013111388058068298,-0.008109395571638806,30.784261921989863,0.015264986664773885,0.5452337,0.495416,2.722898,39.21257755851326,12.974491852593959,-204.6634048686684,-15.198640434790912,0.05159924950767742,2.225153295441862
65,MKR-USD,-4.824111937163384,-27.744092392507266,-22.919980455343882,20.996934038358173,0.1043270379500616,1573.9642,837.0337,3115.996,43.50485205025694,15.082964061962391,-151.5455646621411,-9.220201743132876,100.3476371336093,1.5820833526412503
66,ZRX-USD,-0.0014878629340393007,-0.00516503166218929,-0.0036771687281499893,28.96903963127269,0.037043753094830906,0.23416547,0.194677,0.907064,36.09574942490694,16.787401233941328,-180.75644863422312,-13.539114104027199,0.015571585878855909,1.2483356634261478
67,BAND-USD,-0.0033139819194656864,-0.017038828360666884,-0.013724846441201198,41.45268442564939,0.08762339876638713,0.64233047,0.555917,2.326147,35.39053141551212,16.288212567431827,-169.7095755420823,-16.793772186008265,0.053136653589818804,2.212375242132225
68,BAL-USD,-0.009593341465908692,-0.01665833862829648,-0.007064997162387786,17.300634536865086,-0.015370468620694173,1.0451646,0.753049,4.130178,42.55995650701939,30.743798770719334,-252.6317975817704,-9.987914169660746,0.09178873743771113,-0.16024384193183971
69,ROSE-USD,-0.0002718298818108377,-0.0008445999905374402,-0.0005727701087266025,40.14233812230679,0.08177790864342742,0.028682688,0.019432,0.142684,40.39908288072592,20.180045618386554,-174.75409494754908,-14.110829701746976,0.0028696712599933245,-1.6644171824572562
70,FLR-USD,-7.078831262356393e-05,-0.0003160803974512379,-0.00024529208482767395,16.4920240860536,-0.14952112371461707,0.016908273,0.010903,0.03821,35.45952820978421,22.776389906870566,-229.76825472873077,-11.839650325003857,0.00095279592479041,-4.831491194634796
71,MOVR-USD,-0.06467720682067074,-0.15848272844628408,-0.09380552162561334,25.481592915089966,-0.02404725658905408,6.311255,4.274508,20.637854,40.065237896095184,16.943086340775736,-232.4980941753268,-12.080470085271374,0.48322835208109977,-0.22772327314461993
72,OP-USD,-0.008240229906303383,-0.012860166408180312,-0.004619936501876929,32.38305435546207,0.07250005797735615,0.6436228,0.554068,2.771803,40.686862813856045,16.586159233091802,-186.20754746325514,-9.790672771403687,0.06671066764866034,3.582564820094447
73,TWT-USD,-0.004958463421753033,-0.008838314286408603,-0.00387985086465557,14.085896196729843,0.0024200657952778613,0.78228,0.649817,1.626462,41.068711284343436,12.596067807852023,-265.92088487756564,-5.907426308979827,0.03698942417304607,2.54963552851708
74,WOO-USD,-0.0013915509539547866,-0.002181482200556518,-0.0007899312466017312,28.498438379875672,-0.03883303752638999,0.074145414,0.05405,0.38401,41.159566604721,26.095054311622537,-209.38195081009962,-11.883757663862077,0.007412212431652771,-2.18265046927526
75,NEXO-USD,-0.0021453823568589516,-0.011103786533756658,-0.008958404176897706,6.234076475043435,0.06478811841236942,1.2293177,0.824402,1.554766,47.25298137915202,30.198013331393728,-218.92731890634613,-2.78592456920099,0.04452752510620108,1.4195145067500192
76,HOT-USD,-1.0610036137364443e-05,-2.5378235226282832e-05,-1.4768199088918389e-05,30.508093293885082,0.023575462117718216,0.0009823074,0.000805,0.00193,38.775933954536896,19.973133057885295,-210.08114298675721,-13.529284088833906,7.814113086513578e-05,1.9844510961610773
77,SUSHI-USD,-0.005888012484657404,-0.014790399516937228,-0.008902387032279824,29.46060540731752,0.07619295215853825,0.6481132,0.453266,2.797919,42.14463425097159,18.669572110153318,-192.45739423731433,-9.477730602730603,0.0616844207217273,1.3525544279968216
78,SRM-USD,-8.419312033010902e-05,-8.720836478321616e-05,-3.0152444531071443e-06,26.17878722681191,0.35787372887073815,0.0134735955,0.011417,0.050093,46.46552032543973,30.363967785624506,-71.69126490112282,-15.068105606252026,0.0018450130449659027,4.2395410537329425
79,CVC-USD,-0.00195084845971861,-0.002058780707315833,-0.00010793224759722309,29.445525611998352,0.23336120376188965,0.12511317,0.071298,0.251639,45.706487357698805,33.808932587513176,-52.61223246085132,-2.935539357727646,0.011089236801250906,-10.031367055674723
80,LRC-USD,-0.0008928241478134845,-0.0029892914459424555,-0.002096467298128971,37.71206747294957,0.007115493118782353,0.08619266,0.075806,0.332326,34.21448122020109,21.408248267786554,-178.10890108610658,-20.498941585541488,0.007241112391087924,1.1925774206750672
81,QTUM-USD,-0.012500441375812396,-0.043255045535674504,-0.030754604159862108,27.102394890652267,0.022411880387370298,1.9911488,1.584224,5.713966,35.52427853542921,16.029956309692444,-186.76259730531143,-11.866391021044361,0.12037703417380491,0.4820000025232085
82,ICX-USD,0.00041034954166363686,0.0010129323267214219,0.000602582785057785,20.137493279191837,0.8368064194904682,0.121448666,0.070634,0.293924,59.09030897600995,33.85545793758689,126.5603392719596,13.725565983139198,0.009440807731289802,-3.7714738751142174
83,XEC-USD,-6.382951748135639e-08,-3.124562663961167e-07,-2.486267489147603e-07,22.56518338516736,0.13802677952813439,2.0838448e-05,1.6e-05,5.9e-05,40.78020263743716,15.238145424173254,-159.60562109427156,-9.398053713015992,1.228025037569683e-06,4.18125929527029
84,RLC-USD,-0.007862185084573831,-0.02307038551239531,-0.015208200427821478,30.676540296378587,0.036495321441220044,1.0360763,0.959101,3.596926,35.45970818900156,14.307755568992187,-190.7259251744311,-13.395300515857313,0.0844044170015667,-0.2285234119255075
85,LSK-USD,-0.0042734037051305246,-0.010650906548964017,-0.006377502843833492,29.66953374057721,-0.049216273220454715,0.43408296,0.390046,1.553783,31.4649716850854,15.871465768807527,-213.28440590265384,-17.075393184875203,0.02854107834842029,-0.5230638916561281
86,GNO-USD,-0.8178655560321733,-1.601130362109354,-0.7832648060771807,12.66917132858581,0.0833008465673726,128.03572,90.98991,358.15778,47.19505089884007,20.656929592256677,-189.40756524800653,-3.666272037722731,6.772715529508945,0.6956679989653214
87,STEEM-USD,-0.0007084251459679252,-0.0021770337641444973,-0.0014686086181765722,20.345362426146096,0.010681687514335694,0.13411704,0.101471,0.37089,37.64439488845376,16.720062155649256,-217.3583510843091,-9.956537154510196,0.0073563437566849105,1.4908941846295765
88,WAXP-USD,-0.00016916922829703562,-0.0004147606643466221,-0.0002455914360495865,23.890524829252985,-0.04864136496024754,0.021201303,0.016804,0.071396,36.13642397776502,15.497592233628916,-239.28747788482693,-12.016832679162011,0.0014393711327405675,0.4394857549084197
89,SXP-USD,-0.0009572745594107011,-0.0033891053663367464,-0.0024318308069260454,30.05468056497128,0.046800026167699765,0.17353828,0.143603,0.482579,34.17072596497407,15.29627994972833,-181.77773470496587,-13.358655276132177,0.011868987989107753,1.564479540091046
90,VTHO-USD,-1.7658950009081086e-05,-4.960496345605256e-05,-3.194601344697148e-05,30.114967217569433,0.03917005338168315,0.0021585003,0.001342,0.010706,36.90998297271379,16.84205992303387,-215.4253094550619,-13.417555207155306,0.00016814319064707386,5.4330005978687534
91,RENBTC-USD,-110.83194034312046,-138.4630873049606,-27.63114696184013,12.560309291794747,-0.10366801962574627,15106.518,12651.305,106491.27,35.167005487159194,20.48401105690291,-255.10767606119506,-9.706675638558526,1007.7401103705896,0.898517712272362
92,SPELL-USD,-4.517974040737423e-06,-1.1202217735340316e-05,-6.684243694602892e-06,25.10640676094767,0.08807758620700404,0.0005493979,0.000392,0.002064,42.33855278130373,19.30845944329603,-183.98290732949752,-11.10066261605388,4.815246950002766e-05,8.16236189386441
93,ILV-USD,-0.031858979883557625,-0.18188872765546202,-0.1500297477719044,29.589058175267738,0.16844426665331227,12.773166,10.043,98.65432,41.38445004715721,14.822652603890933,-148.68116219831128,-6.484728401740378,1.0890746628808128,3.1451389013380737
94,AKT-USD,-0.012376270970395342,-0.04621848185794115,-0.033842210887545805,35.432001829790195,-0.009195733952186856,1.2628614,0.861286,4.931635,37.23542927148992,30.168140251029953,-229.2206820449704,-18.097490255102997,0.1297733751358347,0.9033881850977421
95,PENDLE-USD,-0.0519311213322455,-0.06714813465501296,-0.01521701332276746,20.92943976401692,0.26652327726418285,4.030553,1.839176,7.132029,49.052045931730376,22.22071160786597,-80.01409238240863,-2.639139524755618,0.3194753857458488,2.273735625375073
96,NEO-USD,-0.05107250369598216,-0.10713717809908932,-0.05606467440310716,22.6213001430024,0.03302003945950236,5.9165454,4.327979,26.082266,41.05211783302465,19.959608329261947,-212.21352274155592,-8.745267701935164,0.4190165978777522,2.0786585381634026
97,AERGO-USD,-0.0016451963625883966,-0.0009660700488679352,0.0006791263137204613,36.290216919035124,-0.0016289736625898766,0.118652865,0.047971,0.697074,37.47123580387623,25.31428707336093,-161.8233444245353,-13.550457676723493,0.01785237381825687,-5.127800521324755
