,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,CPrice,change
0,ETH-USD,21.92625894433428,17.394616009639446,33.40176000831411,19.50859892987811,-0.49246377786837103,-1.1316153060963323,-0.6391515282279613,2.5906828454794755,0.22412272736076197,40.92758199225536,86.42695205415762,134045493760.0,38.96741309543657,168349789739.16736,32.24613190516697,-93.69305994668245,-1.0233359687461943,0.088907142922199,14.09384332967682,2499.0923792469575,2501.579261776401,2535.462640809658,-1,2515.496464555362,2500.0935,-1.1500993048502273
1,USDT-USD,70.10547608727067,58.96142663977207,52.96367759143323,30.231779587558435,1.1427074593876283e-05,2.505298123448678e-06,-8.921776470427605e-06,0.035536992742152024,0.6901512662173888,57.61016669417561,80.8278303223477,-80479684608.0,54.04936630175553,-1122822519603.2654,19.959074355132547,10.075862727190788,0.014134331205993337,0.08158162291285212,0.0003464405021312241,1.0003817760920186,1.0003446630760247,1.0010202426379864,-1,1.000258620803385,1.0004166,0.0021291583436999773
2,BNB-USD,9.876659750321307,4.889517377949088,19.853119322920694,9.769889044568629,-0.2903324557406447,-0.550278302698529,-0.25994584695788425,2.0679581325027523,0.13681804308785211,62.98784762764761,45.731939653957895,24854369920.0,34.425961077107736,19361340540.3915,30.644630333469784,-128.756327530311,-0.9434489193636302,-0.07032054619706465,2.0423342123570856,650.7319060474574,650.8962583122369,656.0456799188383,-1,652.9804251560092,650.54803,-1.1909387191500032
3,USDC-USD,55.87653343886033,46.4177228242973,66.88714204871674,44.305713099059425,1.463576494960502e-05,1.3193275317621497e-05,-1.4424896319835238e-06,0.032515156660311566,1.0423474608734846,40.42586054722002,18.951359080030628,81281116288.0,57.934625127374574,-117687882344.89285,15.778788629521207,104.78267437058007,0.022326988494059233,0.5015189080956437,0.0003478829163873254,0.9998753032142684,0.9998032060764345,0.9993367263181931,1,0.9998086442560762,0.9999971,0.011507357407869456
