symbol,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,st_way,Supertrend,kama,CPrice,change,time
LSK-USD,31.86573990961197,-0.0144529378827616,3.1929637022798127,22.357778845682365,30.43579578969009,17.59754761364205,-184.18060042302525,-18.421200299349227,-0.1117145811914961,0.027518010629386,0.4458374309430983,0.4289799630641937,-1,0.5094933360433914,0.4897724844519336,0.4272037,-1.5260404085960857,2025-06-01 15:01:52.434058
ANKR-USD,31.27424969151286,0.0547630930271334,4.367589295011973,31.94870000431897,32.52612138190292,20.343237192795687,-170.16682520479796,-16.22312487351376,-0.1105967014914092,0.0009747695673001,0.0163602288207889,0.0158828385174274,-1,0.0186789145234924,0.0178741219570616,0.015853098,-1.070624765751682,2025-06-01 15:01:52.434058
RENBTC-USD,15.00166988048666,-0.0662426259674735,2.390058436189741,38.30213355259118,32.95386001820088,21.22275981208684,-204.45957931995687,-10.413861151415766,-0.2801637374485203,1044.4657001829491,15287.27734375,15284.3193359375,-1,18004.297617289445,16170.541128437912,14894.135,-0.9108349966133412,2025-06-01 15:01:52.434058
RLC-USD,32.36863853861193,0.0158486608905997,1.6851155781752054,25.59872076319556,33.25935711724236,14.528993795460378,-185.7688180367619,-16.981596684391477,-0.3106621863648233,0.0822045689458764,1.0484302144263389,1.0081108609835308,-1,1.2600931970391536,1.154216511480853,1.0035514,-2.9547437372510754,2025-06-01 15:01:52.434058
MINA-USD,32.98330160336817,-0.0005534153492107,2.803098881541064,29.12399346205911,33.46383196849003,16.00539984270317,-211.28889775851184,-17.68730268086866,-0.1195051852248872,0.0161018046027137,0.218451639943384,0.2093155781428018,-1,0.2571325536258316,0.2411441225988048,0.20844126,-1.7785264295169356,2025-06-01 15:01:52.434058
SHIB-USD,24.37266598893839,0.0484938912667001,12.203334782608692,30.39217616670416,33.85642066040859,21.37381277855865,-197.1825957376048,-14.621552575404085,-0.2613191044842972,9.917705246274771e-07,1.3168510208125087e-05,1.2780514831926364e-05,-1,1.5631851984441157e-05,1.3505384148221905e-05,1.2806767e-05,-0.1110365546283631,2025-06-01 15:01:52.434058
SXP-USD,29.55612100590273,0.0747012787109763,8.719873973378647,34.45221663380012,34.099470480191016,16.272704610945077,-164.75464936914892,-13.652929218204171,-0.0738754480223329,0.0113932632321694,0.1775744808554407,0.1731207966804504,-1,0.2051586368073061,0.1899522309648371,0.17316128,-0.3741235838469969,2025-06-01 15:01:52.434058
ONT-USD,29.98307941174317,0.0789709258120129,6.545861684406678,35.525844399182034,34.2375800477171,19.558197096034235,-153.1352689432804,-15.313960685143206,-0.0538024633584,0.0079378752619053,0.1324373582192898,0.1295016507307688,-1,0.1523673178331712,0.1433511773943767,0.12961283,-0.4337769250617795,2025-06-01 15:01:52.434058
LRC-USD,39.73001280119563,0.0658308146093086,4.078859348198974,24.010393680438444,34.394547901780754,22.436562023646548,-148.76896959004736,-21.713050692763485,-0.2118533562619624,0.0069519967488884,0.0887822255975818,0.0861489673455556,-1,0.105923129219963,0.097773612793369,0.08626909,-0.2013808609748979,2025-06-01 15:01:52.434058
HBAR-USD,26.446740119591723,0.0300871484209147,34.807960243403194,36.43650970774207,34.43125130524033,17.859461922887917,-172.9735743186531,-14.595944038090666,-0.1025574331923453,0.0105593125935014,0.1710383404824603,0.1669360448916753,-1,0.1976267869687047,0.1821499068889813,0.16649008,-0.6194018602888152,2025-06-01 15:01:52.434058
BAND-USD,39.12377852356492,0.0884454552454665,4.570019714952296,36.549133440610674,35.06526930748977,17.459380767775286,-157.4128602434268,-16.92851437448163,-0.0824945189351652,0.051299365774835,0.6590796463025269,0.6368651588757833,-1,0.7881328511238516,0.7456988453050256,0.63681686,-1.2274491082011618,2025-06-01 15:01:52.434058
KLAY-USD,20.61519777653752,0.0241719737393209,3.845572877080975,28.867963180988248,35.24368317732777,16.472206882382803,-191.2567877309941,-11.194820486360785,-0.0581481783951741,0.0051073909826247,0.10709976243199,0.1046624158819516,-1,0.1191940659665935,0.1138227794132844,0.10457609,-0.6555478037766349,2025-06-01 15:01:52.434058
MANA-USD,34.300217564419874,0.051004774680203,11.645297490810878,15.208731880637565,35.372699335193026,19.80935934428576,-161.20015217019898,-16.495820370420855,-0.1582181763504173,0.0202620451728699,0.2787795146326506,0.2701047758261363,-1,0.3287743684296052,0.3068259062565119,0.2692918,-1.6014567374141864,2025-06-01 15:01:52.434058
QTUM-USD,27.39604565227528,0.06135670931306,9.765590683388934,43.019091274610005,35.510220560009,17.35896949390629,-162.98461246149455,-13.0030454269755,-0.1222198004196091,0.1152869249140564,2.0360705246789945,1.9875834385554,-1,2.318137901986529,2.1788829329119648,1.9875177,-0.418953148223633,2025-06-01 15:01:52.434058
VTHO-USD,31.114387244677115,0.0435420808699527,8.302366510038446,30.847729256004605,35.53933209654751,17.794803512850738,-183.0425432355035,-16.26101759964204,-0.1720582097955125,0.0001612259335045,0.0021811586872695,0.0021210273262113,-1,0.0025814490793422,0.0023850518857301,0.0021194336,-1.3173510391243035,2025-06-01 15:01:52.434058
WAXP-USD,25.125857805439257,-0.0071230367832211,7.756662148300117,41.01700750335996,35.64263972650669,16.541787057330755,-214.263338091472,-13.712916598007316,-0.058249518174302,0.0013908633114469,0.0217759687166366,0.0210689362138509,-1,0.0251320184767507,0.0235712393482436,0.021038517,-0.9336297999838928,2025-06-01 15:01:52.434058
