,symbol,priceToBook,CPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI,ADX,CCI,ROC,ATR,OBV,CMF,AD,MFI,MACD,MACD_signal,MACD_Hist,MACDAS,MACDAS_Signal,BB_Middle,BB_Upper,BB_Lower,BB_%B,BB_BWidth,FWMA,VWAP,kama,EMA_200,Supertrend,st_way,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,SMA_14,SMA_20,SMA_50,SMA_100,SMA_200,time,YF%,MACDAS-dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross
10,ALBRK.IS,0.92347986,8.11,12.2,9.83,10.62667,9.85,8.782,8.14,8.03,8.25,none,4.92,9.52,37.64338094628355,15.602107045982713,-81.16572706291646,-0.3694548447536813,0.09334578884286515,681098559.0,-0.09397164257403648,379082697.2951803,44.08414199485896,-0.060067156285365186,-0.06284125238864512,0.00277409610327993,0.00277409610327993,-0.001511416983147469,8.176000022888184,8.391907231924295,7.960092813852073,0.30084066973903184,5.281487486098151,8.11555794238077,8.126368049930921,8.173570760477006,8.501224863601177,8.354880043992765,-1,35.27777115503313,42.22697327865186,41.709963809685625,62.770175267475246,8.360000133514404,8.519999980926514,8.752500057220459,8.789999961853027,,8.127857208251953,8.176000022888184,8.27980001449585,8.48539999961853,8.502500004768372,2025-09-10 02:33:07.554146,69.34782608695652,0.0042855130864273994,-0.3685503685503799,3.4760447832835384,-1.8484239968918126,no-trend,Below_Cloud,Bearish
11,ALFAS.IS,3.2240276,44.44,82.0,82.0,82.0,82.0,13.784,44.5,44.32,45.1,none,37.86,86.0,32.94611561242477,36.91470866769385,-74.28085621506916,-0.7149233843252243,0.43226470126314576,-28667230.0,-0.2099673208812515,-243158736.5436192,32.87658555980836,-0.4282145510620694,-0.4929357726872999,0.06472122162523047,0.06472122162523047,0.043890800322552645,44.8149995803833,45.61708447830271,44.012914682463894,0.266233627732512,3.5795376790341447,44.58829537366515,44.69079671348834,44.76501490713419,47.731306916125014,45.76983180930648,-1,35.25633031336732,48.25680521585164,64.1033578866134,76.30479656757215,47.09000015258789,46.84000015258789,49.157501220703125,49.95000076293945,,44.6542854309082,44.8149995803833,45.913199996948244,47.80780002593994,48.80484994888306,2025-09-10 02:33:07.554146,13.668466971333606,0.02083042130267783,-0.1348314606741674,2.648704946675773,-0.9610380682630648,lower,Below_Cloud,Bullish
12,ARCLK.IS,1.071504,121.8,243.0,132.0,187.4491,185.0,113.672,122.6,121.5,126.2,buy,103.1,152.9,36.23590662007516,28.30482105031421,-97.00584059129848,-0.08189883322749449,1.4542358911606075,81934727.0,-0.27509688171626895,-10586151.82274105,38.324379704722865,-1.018701995597013,-1.116738848244771,0.09803685264775819,0.09803685264775819,0.17360068311613175,123.55999946594238,126.12935731725943,120.99064161462533,0.19642230545217196,4.1588829110107906,122.78073125533592,123.73621907800245,123.34321061981568,133.39692580385824,125.8695096035811,-1,24.305578735161685,34.72225533594526,55.357337012811975,62.33746285264791,127.29999923706055,130.4000015258789,136.65000534057617,139.75,,123.19999967302594,123.55999946594238,126.05799987792969,133.11799957275392,137.5409999847412,2025-09-10 02:33:07.554146,37.550200803212846,-0.07556383046837356,-0.6525285481239762,3.554480556042239,-0.6644978533453694,lower,Below_Cloud,Bearish
13,ASELS.IS,4.686741,173.7,240.0,158.4,188.30112,192.01,37.062,173.5,170.8,174.5,none,54.1,188.7,49.509478358209215,24.964131102948194,27.504271329587464,0.05740878603191855,1.564107550186192,1350612087.0,0.047905488151865065,-4562787.045170359,53.61188404463661,-1.2143050083317064,-1.4849887389312924,0.27068373059958595,0.27068373059958595,-0.04075346475722549,173.3300003051758,175.86858507275164,170.79141553759993,0.6910518724785977,2.9291925957494516,173.2183587807429,172.35067944924427,172.92698167966108,177.3092762166411,175.3737691842018,-1,65.04079564217933,47.08162041135906,95.1687637462965,80.24573857132718,182.0999984741211,176.4499969482422,181.29999923706055,182.3499984741211,,172.8642850603376,173.3300003051758,176.25600036621094,179.28600036621094,177.5780000305176,2025-09-10 02:33:07.554146,88.8558692421991,0.3114371953568114,0.11527377521614035,1.248465787421793,-1.6744873128382576,upper,Below_Cloud,Bullish
14,ASTOR.IS,4.3342237,113.6,276.9,182.97,224.29,213.0,26.21,110.7,110.5,116.6,strong_buy,65.15,130.6,52.0147915777749,21.490353196974915,51.828944013919696,3.7442908439462044,1.545010372422661,98467846.0,-0.014537875937624203,-456049751.2945405,60.54023557640967,0.48186938936794377,0.03892081803925261,0.44294857132869114,0.44294857132869114,0.39374103084417755,112.19499969482422,116.85653352699346,107.53346586265498,0.6507013388598598,8.309699799186838,114.4153132022757,114.71807969443005,112.47947533450365,112.249323900427,111.24821875316925,1,74.58333969116204,84.95160260459816,73.56544108276137,86.13314104569292,114.9000015258789,113.8499984741211,117.62499809265137,116.04999923706055,,112.65714209420341,112.19499969482422,112.76799911499023,114.45199935913087,113.87799980163574,2025-09-10 02:33:07.554146,74.02597402597402,0.04920754048451359,2.619692863595291,2.86666683714214,-5.34025892371921,upper,Below_Cloud,Bullish
15,BERA.IS,0.45450935,17.17,,,,,37.777,16.85,16.8,17.26,none,12.35,18.68,49.23402956981486,17.609976897414924,44.03488752991888,2.0238105239782116,0.19125174007570925,286021042.0,0.052738209132888424,-310024907.05925834,67.22601689152653,-0.06293684473163097,-0.11320529360171995,0.05026844887008898,0.05026844887008898,0.04015455254695826,16.993000030517578,17.368771213384903,16.617228847650253,0.6955969028933772,4.42265853224835,17.12422903459406,17.117691819391712,16.96187448117904,17.356995400378263,17.431684658353245,-1,72.51453378128166,76.67709078342055,82.96562072585186,86.47679294057387,17.690000534057617,17.829999923706055,18.332499504089355,18.264999389648438,,17.015714236668178,16.993000030517578,17.345599975585937,17.76699998855591,17.577250022888183,2025-09-10 02:33:07.554146,76.14533965244868,0.01011389632313072,1.8991097922848699,1.1576657739365226,-3.219401003784206,no-trend,Below_Cloud,Bearish
16,BIENY.IS,1.3657523,43.42,,,,,31.792,43.36,43.14,46.08,none,26.98,51.7,48.21065197694681,16.89489349535825,8.052205177604682,1.3059644231449279,0.6287246314749367,-28659313.0,-0.3141516197026861,-107760927.99295256,41.12378505534707,0.054166014253382855,0.06405998139216265,-0.009893967138779797,-0.009893967138779797,0.03873819762575755,43.41099948883057,44.649481449612615,42.17251752804852,0.5117075334145778,5.705844027390806,43.558133467699406,44.34774033146878,43.52045831904388,44.309171945707355,43.18809953765482,1,23.16845666758088,27.88685583822367,27.166529869276967,31.549264852520437,44.06999969482422,43.35000038146973,43.61000061035156,44.579999923706055,,43.62857110159738,43.41099948883057,43.46479965209961,43.55219966888428,44.10029987335205,2025-09-10 02:33:07.554146,66.50485436893204,-0.04863216476453735,0.13837638376383854,2.831601680360696,-2.873059585332749,no-trend,Below_Cloud,Bullish
17,BIMAS.IS,2.1367896,486.25,985.0,645.0,735.63715,730.33,227.561,487.75,483.25,500.0,strong_buy,399.0,623.0,35.10487019763276,25.02231945208561,-81.8228142971538,-1.3184584178498986,5.401240930250672,98548177.0,-0.22998398016806712,-24284312.41690709,27.772982494914853,-6.058726509450366,-6.2314993277561035,0.1727728183057371,0.1727728183057371,-0.36617371482819083,495.5375,513.4778699794792,477.5971300205208,0.24812392357745652,7.240771880828076,488.9399087221095,490.48995788082203,489.9443079849903,517.7920109881434,499.4700164399677,-1,22.99315633207034,36.163864146672815,60.48668773903821,74.90503366489226,519.0,516.75,530.0,532.5,,490.69642857142856,495.5375,506.945,519.2925,523.27125,2025-09-10 02:33:07.554146,38.950892857142854,0.5389465331339279,-0.3075345976422339,5.5995619495073035,-1.7795105356255392,lower,Below_Cloud,Bullish
18,BRSAN.IS,1.8504796,449.5,,,,,242.91,451.75,446.75,461.0,none,297.5,601.5,38.33580831072609,13.668212077568239,-139.54635108481202,-0.38910505836575876,6.5077762365678815,-3312176.0,-0.2653547251123043,-49116875.8549961,60.05672658043023,-3.6279478770517244,-4.19766472601683,0.5697168489651059,0.5697168489651059,0.6623360245516704,453.375,459.98843329927996,446.76156670072004,0.0936301345486312,2.9174230159492525,451.47616632860036,454.0255461573388,454.9273017828056,437.18762842902584,468.6650408821556,-1,41.40059599829714,52.044048781709385,74.4722951901544,79.57847920841448,470.75,473.375,500.125,474.25,,452.625,453.375,464.56,475.6625,431.09125,2025-09-10 02:33:07.554146,50.0,-0.09261917558656452,-0.49806308799114074,2.3333555726985367,-0.6092176416640616,no-trend,Below_Cloud,Bearish
19,BRYAT.IS,2.6269968,2429.0,,,,,924.63,2430.0,2413.0,2478.0,none,1640.0,3000.0,33.88864873464928,14.994387967363968,-120.09232351499031,-1.5491235222176927,33.883835644348615,971472.0,-0.14440210733305228,-2969041.9883132637,23.52573150274857,-26.32347638734109,-26.43466637491309,0.1111899875720006,0.1111899875720006,0.7571785048228473,2463.2,2519.8475065647785,2406.552493435221,0.07456203350379455,4.599505242349686,2431.397565922921,2443.5353354276217,2491.865800196877,2454.2173658539486,2519.2956912679597,-1,16.749569440433046,18.558785013805494,45.50452179501579,54.70091884045018,2540.75,2592.5,2760.0,2733.0,,2448.1428571428573,2463.2,2513.38,2634.39,2461.4525,2025-09-10 02:33:07.554146,58.01470588235295,-0.6459885172508467,-0.04115226337448874,3.740119660962482,-0.9241460092539677,no-trend,Below_Cloud,Bearish
