symbol,oversold_score,reversal_signals,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,st_way,Supertrend,kama,CPrice,change,scan_time
ALCAR.IS,7,2,28.3389823675055,0.0776068876114105,1.532567049808429,18.58623998388096,26.896276024747444,22.53638739233284,-120.89397700401028,-16.20689655172414,-0.5687589281983965,42.35186869434386,869.3747464503042,861.8333333333334,-1,981.8272375815152,897.5049795917755,850.5,-3.0216647662485774,2025-06-02 23:30:20.886030
TKNSA.IS,7,1,30.33768845557371,-0.0098127752433795,0.7975188303057144,0.0,17.288103681165126,41.183103736829615,-161.15310858630986,-21.387041672953867,-0.5516302065964921,0.8515105912864345,19.70885442381698,19.12666702270508,-1,21.62544121540588,20.33495673118952,18.93,-3.908629441624367,2025-06-02 23:30:20.886030
VESBE.IS,7,1,39.704487560814215,0.0388268360374475,1.0565568676196393,6.783568956549516,17.416559391760483,48.32477326665841,-147.60930535855277,-25.38071131519276,-0.6624038817320714,0.4117466581832372,9.133356794624252,8.853333155314127,-1,10.114194836958571,9.592777828539475,8.82,-6.567796610169485,2025-06-02 23:30:20.886030
SANFM.IS,7,1,89.52882959468798,0.0141124285546471,2.1528403967538323,15.502246529187463,17.72960338481717,54.488265534501565,-144.68745388111188,-50.401458606601054,-0.5397941459765575,2.2656726456348126,15.932738582696198,14.013333320617676,-1,20.56071464786508,18.218436919402265,13.59,-9.940357852882707,2025-06-02 23:30:20.886030
VAKKO.IS,7,1,22.112233112677657,-0.0425062084254432,0.3619441571871783,5.401293944855374,20.879380067434845,30.79513676202444,-180.85205582587497,-15.433567515894572,-0.330977232631701,1.9540624342124449,54.871045543987904,53.36666742960612,-1,59.08883136730736,56.22002282523819,53.15,-4.919499105545622,2025-06-02 23:30:20.886030
BUCIM.IS,7,1,12.856720357528056,-0.1315830625880924,20.462046204620464,12.6474030598608,23.10497494518205,17.3498388145482,-207.7205304438873,-11.6279023920469,-0.3163791076094703,0.1854386410785395,7.046561933192471,6.900000095367432,-1,7.464259379589524,7.376143517037319,6.84,-4.86787204450626,2025-06-02 23:30:20.886030
ERBOS.IS,7,1,15.308344579263265,-0.1179769299194311,1.3565891472868274,11.550264885778866,23.147880932434063,20.50716978885418,-212.75535520190704,-11.835441106482396,-0.3059965714930082,4.729804369947977,143.79594365675118,140.06666564941406,-1,154.36626259575843,149.99994701529036,139.3,-2.587412587412574,2025-06-02 23:30:20.886030
BEGYO.IS,7,1,127.59564934485844,0.1552926120071556,25.04357931435212,14.994460247939626,23.56741489508154,47.11516434824173,-103.89752823265134,-44.24980877486408,-0.4761117394582517,1.0328436371749483,8.325780988948582,7.530000050862629,-1,10.962111251994347,9.690019928032594,7.32,-4.935064935064936,2025-06-02 23:30:20.886030
YUNSA.IS,7,1,12.554479810041505,-0.0259601537509114,1.1786992212165903,0.0,25.826447796089823,24.554093382585894,-179.76888219785374,-9.42028954208861,-0.3657753208023026,0.1351981657838708,5.083630865534227,5.0,-1,5.369514376755984,5.259830575304981,5.0,-2.1526418786692814,2025-06-02 23:30:20.886030
RYSAS.IS,7,1,30.656845547040746,0.1231385279074202,15.37890044576523,9.013568532976386,28.96589005271258,22.35534078532671,-105.34996041397352,-17.754077780458783,-0.1854975446728381,0.586165547584411,13.391034226872131,13.3133331934611,-1,14.894318920858897,13.705821320780805,13.11,-1.5026296018031626,2025-06-02 23:30:20.886030
NUHCM.IS,7,1,19.003112123948696,0.0041565303093376,0.0,13.779208408446218,29.39399575483368,21.03741128450477,-147.8385894389269,-12.903225806451612,-0.1523161235870945,7.499380012432742,221.85623829746828,219.33333333333331,-1,242.648012248727,236.59664463821744,216.0,-4.424778761061942,2025-06-02 23:30:20.886030
CUSAN.IS,7,1,14.656817235132095,0.0534001892037567,8.441558441558444,11.16063579723686,29.796360941589587,19.675466192843423,-131.62784499385214,-6.904994329794402,-0.4016267902046311,0.7801760845886772,19.35293119480837,19.12666702270508,-1,21.26534689814183,19.86994840935715,19.01,-3.3062054933875817,2025-06-02 23:30:20.886030
BJKAS.IS,7,0,20.30469235762804,0.0057989774071104,0.0255102040816326,16.115244901401226,21.915165776553664,35.9966573425538,-148.93616528324594,-15.075374416009268,-0.4564344154449962,0.0827611792765217,1.7379006315438306,1.7066666682561236,-1,1.9290774673284927,1.8426587415392743,1.69,-3.4285714285714364,2025-06-02 23:30:20.886030
VESTL.IS,7,0,29.949901508811298,-0.0495944183751113,0.7804185881518354,16.200281464830002,22.25075591886482,44.763186419045496,-194.77823636006292,-23.401294045015373,-0.2076499028441159,1.811382547966148,34.660182871634774,33.140000661214195,-1,38.56460076142152,38.03967593842124,33.06,-8.573008849557507,2025-06-02 23:30:20.886030
ORCAY.IS,7,0,13.99954874061318,-0.2365271013979882,2.2913256955810097,15.93347446379862,24.02252088147442,16.516272946633674,-285.01523294035604,-11.98501886036756,-0.0977702001783271,0.3083749809100965,7.348539597606078,7.093333403269451,-1,7.968694843357802,7.65100981342711,7.05,-5.74866310160429,2025-06-02 23:30:20.886030
GOLTS.IS,7,0,18.186344385874264,-0.0286276468297702,0.0,5.7510151464379,24.4938992015964,32.073682575704574,-163.15587897357355,-12.524850894632207,-0.2605608004713654,9.97308637482401,339.6526369168357,334.0833333333333,-1,364.3621076844698,356.15299801000185,330.0,-4.27846265409717,2025-06-02 23:30:20.886030
