Unnamed: 0,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,CPrice,change,old_Stoch_K,old_Stoch_D,old_StochRSI_K,old_StochRSI_D,old_MACDAS-dif,old_MACDAS,old_MACDAS_Signal,old_BB_BWidth,old_BB_%B,old_YF%,old_MFI,old_OBV,old_RSI,old_AD,old_ADX,old_CCI,old_ROC,old_CMF,old_ATR,old_FWMA,old_VWAP,old_Supertrend,old_st_way,old_kama,old_CPrice,old_change
0,A1CAP.IS,38.14894615731634,41.47056399510307,0.859230620235525,2.2540411248022787,-0.1228538131729568,-0.0616529693452704,0.0612008438276863,56.03087802300136,0.5373764923236644,47.22891566265061,65.84645326281152,-94409886.0,54.99551809286186,-684349086.8369123,35.37990276775799,9.458352253456953,7.032587526201507,-0.325380917561277,0.4349307752596483,6.384736215367036,6.25333325068156,7.6710111475816625,-1,6.834249463861397,6.24,-0.952380952380949,21.14206227597085,15.037964655358335,33.08668433309085,18.02003052926021,0.0055190736096077,-0.0138221055551409,-0.0193411791647487,10.36286563990515,0.4616351934246754,17.045455315142625,51.664143034313625,193434919.0,49.87095800725841,-693569934.7345068,10.566683809219892,-17.31600505127432,1.0615751662400104,-0.2055015137361739,0.2192417476446186,4.691957475205705,4.766666730244954,5.180735236867893,-1,4.954556614232161,4.760000228881836,1.27660472450275
1,ACSEL.IS,5.540887253769132,5.571066804007175,0.0,0.0,-0.0190701621566635,-1.0023491501208914,-0.983278987964228,13.978756097407851,0.0536265747176911,8.828828828828838,36.794150937711365,1901809.0,36.32453334576273,-7540572.409732815,13.660788715030456,-113.54246540516516,-9.173477397000228,-0.4930956138558071,4.404085625688128,100.9577084245353,102.1000010172526,112.1412054652006,-1,107.33618349494364,100.0,-0.6951340615690249,67.55732506454342,75.57511526971878,62.5401968182158,81.73257612791458,-0.5348015417167864,1.0428007561612755,1.577602297878062,30.58130483402988,0.5508555317393939,22.14074646630099,68.7532609807051,1653867.0,50.56118972318894,-9801828.414692318,30.913804007176108,29.854616009992,7.303366291650028,-0.0685612895153832,7.379866206679386,120.80963550281332,116.3999989827474,105.31587579709438,1,114.04615957430778,114.5999984741211,-2.8813572253211017
2,ADESE.IS,94.060603055087,97.2525240194918,95.77833220685726,98.19942685443164,0.0787430208893785,0.2204225849037151,0.1416795640143365,103.66997437761408,0.9989306922788646,91.47727272727272,84.17377601022245,2212000722.0,85.63741578474546,-901580517.320442,50.89840533460468,169.66007774764114,87.49998532461456,0.2913222828009845,0.3133081342461056,4.6880932403142745,4.933333237965901,4.0279962582752304,1,4.26149686138182,4.95,5.319148936170204,88.23528208672313,86.60128436261546,100.0,100.0,0.0319309764000351,0.0590607857305834,0.0271298093305482,31.806574361648583,1.2408517660270444,71.87500310440846,83.62385757227979,1190359658.0,82.10022581543895,-2660590281.95378,23.53376815702697,286.9306412169384,27.368426666365508,0.1400833915555888,0.0960925563522176,2.25141986654448,2.4033333460489907,2.0697443371026627,1,2.170266270347158,2.4200000762939453,0.833332505491069
3,ADGYO.IS,53.568069376747104,36.19353272821471,87.31288425826396,59.06605454554848,0.1189509718507294,0.0363000454824523,-0.0826509263682771,9.920992921227905,0.3738045825174075,23.411371237458205,56.90107718882413,73006758.0,44.590496661526615,-45848367.18346688,24.571312638647303,-60.56964654316287,-3.248101301696216,-0.3739621520761663,0.9496559462511344,27.95787033444728,27.953332901000977,29.566115464011904,-1,28.50847016466618,28.0,-1.0600706713780994,9.764890220595852,12.193966047597083,3.625199398427456,1.2083997994758189,-0.1399672087665365,-0.2427233250161806,-0.102756116249644,8.675714665784431,0.010628159150288,35.95317363061608,31.87980104461975,54946872.0,42.52468967278892,-53384304.45260847,10.98763578031392,-205.01443128433743,-4.282932212507108,-0.1549153267659512,1.0840581334982708,29.854928945189315,29.519999821980797,28.34763592514227,1,30.2744945216902,29.5,0.4768371482903655
4,AEFES.IS,5.15120684431951,8.688120188789037,6.5755188097983215,16.311415775221167,-0.6925191984762886,-1.5174536328215007,-0.8249344343452121,20.24055338658581,0.0246801280674329,0.180995475113129,25.013156827190397,-45536181.0,30.581195500856392,-223226183.09133145,18.188072773317963,-137.72430230214917,-16.383875431537135,-0.3294622807756963,5.621855147794943,144.1921970297792,141.3000030517578,158.5205538411033,-1,161.73058292539068,139.3,-4.129387474191326,45.22415357314346,61.44052326807679,49.56589260974855,70.94946853050021,-0.1660859885590115,0.2165897254958897,0.3826757140549013,7.954678006901074,0.1177586176357737,6.505644278834917,57.738367759487815,30163871.0,41.0003279071525,-160340972.93857548,15.551229779120714,-81.03061949819246,-2.9196954583731864,-0.1900610070701581,6.096585250083192,162.5723080896219,160.31431112465748,176.16722802952282,-1,169.41626494230496,158.2649383544922,-3.623188272257327
5,AFYON.IS,3.693494312338108,3.122770996918543,1.007141821361066,2.1531091804317364,-0.0431709019191006,-0.0936531515474023,-0.0504822496283017,10.835259384298174,-0.0368745375556644,16.387959866220747,38.71761026942743,385263819.0,31.62333949465927,-376938756.88083225,21.664610683944044,-175.5923927847403,-8.906592748277292,-0.2758688951331653,0.3113368620546805,12.806409612388688,12.646666526794434,13.551579505608656,-1,13.718906639768978,12.58,-1.9485580670303928,59.39282355607992,61.628995454383,72.60140060874114,80.9280445404425,0.0229207316282264,0.0369789628703834,0.0140582312421569,6.951839737836449,0.4323101295828946,51.48669827121635,71.1472390788453,290477888.0,48.546734574681935,-453398611.030854,17.845328052586776,1.9191791420280075,1.0316900992720872,-0.2131605958578428,0.4476831965519269,13.82615619063619,13.806666692097982,14.573930975878696,-1,14.150798276887365,13.710000038146973,-2.0714282989501958
6,AGESA.IS,25.77782524956596,20.79683748690095,23.84220771734579,13.801427560060509,-0.5683527762572792,-0.983235511290976,-0.4148827350336966,13.561776733392696,0.4377367697466011,69.02848794740689,59.75860977337871,15378783.0,51.43874269774319,12394991.896668036,19.24407629604399,-39.34900253016141,-4.905915928791089,-0.0107630769542789,5.256160517615526,140.49138136857906,140.63333638509116,131.1695855898359,1,139.45342431466335,141.5,1.3610315186246558,68.22037492710952,70.12428559672917,69.43611100041414,71.80744362166168,-0.017611639869739,0.9302069362720028,0.947818576141742,15.089625891585603,0.6805592551181441,72.92543210987628,76.33625641484058,28559963.0,51.233224171794014,23567007.486361,18.980429404313696,99.40620480044376,7.852566355862584,-0.0421853517378671,7.042825940191035,135.0496988045033,137.70000203450522,141.34170224006812,-1,132.85098926680269,134.60000610351562,-4.539002763464096
7,AGHOL.IS,6.01501748213482,9.959554439759165,0.6196637915987874,6.900882461737761,-1.527843236664491,-2.22400181939203,-0.6961585827275392,18.43839847443645,0.1670974335139698,1.5555555555555556,18.950184694388025,-6056089.0,35.79615012910039,-15133167.829236586,19.27627775281369,-109.03665418653848,-12.112010718456334,-0.0967031500216981,8.773292129447636,259.6366783281369,256.0,281.48590456157774,-1,279.0464522760625,256.0,-1.3487475915221592,10.753706047091391,26.256234019226223,26.88192224448815,55.13856414936286,0.1174156411124906,0.2286261140802707,0.1112104729677801,7.230594890038635,0.0597999555583378,1.682689231189335,43.85610317707023,15980570.0,37.83502281877022,-11048043.662767176,22.01213614174288,-174.07342810447088,-2.760463834976663,-0.2749805316140103,8.504887480101319,270.67111469137257,267.6603370824867,291.2089678873644,-1,281.0467636755077,267.7420654296875,0.2754820936639035
8,AHGAZ.IS,46.53107796198205,48.56727749434129,17.284453422054398,22.76934049522886,-0.17245088789097,-0.0827243452574598,0.0897265426335101,26.487157829588167,0.609040153943774,81.0048176187199,72.55561664938149,260277277.0,56.71482361248602,128548973.57712284,34.216027536996826,24.982094453749163,6.4969249237290825,0.0838186616476631,1.0077980014207994,24.27926976008541,24.073333104451496,22.562148056296536,1,23.66011514218233,24.26,0.4971002485501197,19.819277464711867,29.6336833786101,9.435342195146251,11.66210602024548,-0.0649707398076674,-0.1190679620046531,-0.0540972221969856,12.66334281520491,0.3677976621713101,79.47794274177488,50.534734133936766,315548160.0,49.4353522844322,119723601.35200375,13.019272382174782,-39.19209229857338,-4.480286799609096,-0.1600140245642774,0.956488746451688,21.59539524488468,21.406666437784835,20.006389817140544,1,20.69620963503317,21.31999969482422,-2.201832839609996
9,AKBNK.IS,45.67598365607421,49.32818434375952,43.14870152661155,47.33332971590746,-0.2040070551261935,0.2118352704978618,0.4158423256240554,10.49920420219705,0.4525680512107566,16.057180851063848,69.59041573243131,1366937787.0,46.17631484353197,-1773941139.6636274,15.87684310598551,18.140247809786025,-2.48803681734076,-0.0363380661149121,1.7931280389896564,51.67718105819114,51.56666692097983,54.678291801667605,-1,51.49570656120188,50.95,-3.320683111954459,16.05097623771122,36.51823804863313,49.007687503563886,61.40616512188499,0.0548599921131918,0.3744555915228553,0.3195955994096635,10.94319315439942,0.0984777204607119,11.509147056272692,44.398554594269655,2616303908.0,34.18917362601435,-1756543161.0190308,40.27359158618378,-145.15123375063905,-2.7666420179717512,-0.1839767534608758,2.1714218868773383,49.430060640068135,48.5533332824707,54.77426182961062,-1,50.76754689099773,48.5,-1.2219928569597305
