Date,Close,High,Low,Open,Volume
,AKBNK.IS,AKBNK.IS,AKBNK.IS,AKBNK.IS,AKBNK.IS
2025-01-17,64.55978393554688,64.90214493353216,62.65233875897882,62.896883395098314,89903240
2025-01-20,65.6846923828125,65.6846923828125,63.82615160964315,65.39123582702936,77100736
2025-01-21,67.05414581298828,67.4454112814802,65.44014963527258,65.53796600239555,120771667
2025-01-22,68.08122253417969,68.1790388922109,66.85849940151515,67.10304402804806,106457903
2025-01-23,66.66287231445312,68.3746848447286,66.12487110548811,68.32577293012802,102087833
2025-01-24,64.99996185302734,66.80959814616436,64.75541721480991,66.71177432054931,75476621
2025-01-27,64.55978393554688,65.19560148203956,63.532693478680976,63.97287830144209,77948259
2025-01-28,65.63578033447266,65.73359669856283,64.80433004534089,65.24450741520177,94405944
2025-01-29,64.55978393554688,66.12486811412964,64.46196757368108,65.92923539039806,76913164
2025-01-30,64.07069396972656,65.09778441547395,63.97287760891966,64.75541595828484,61541114
2025-01-31,63.434879302978516,65.4401483734302,63.434879302978516,64.51087424640443,109025124
2025-02-03,62.40779113769531,63.239245149317384,60.25579756781856,62.65233950819421,126671721
2025-02-04,64.26632690429688,65.2934173534477,62.21215346890524,62.84797101062193,106971884
2025-02-05,63.48379135131836,64.75541902790741,62.45670085688346,64.36415356613252,85561138
2025-02-06,63.04360580444336,64.3641528432893,62.06543096662605,64.16851265168869,125920258
2025-02-07,62.11433792114258,62.994700108669925,60.84270655251256,62.89688374625801,167653441
2025-02-10,61.33179473876953,62.407789632020496,61.33179473876953,62.16324499887664,91025885
2025-02-11,61.820884704589844,62.26106579552063,61.23397533953045,61.38070361365905,89657621
2025-02-12,61.478519439697266,62.35888161388707,61.13615844498733,61.91870052679217,110641971
2025-02-13,62.652339935302734,63.092517303418326,61.429613000293024,62.06543055872346,113560016
2025-02-14,63.434879302978516,63.923968592073045,62.309976176934185,62.945790013883986,104854218
2025-02-17,63.0925178527832,63.67942350301774,62.554520384825686,63.48379077390964,72150044
2025-02-18,63.67942428588867,64.21742549191546,62.60342933674543,63.14143054277222,76126788
2025-02-19,62.89688491821289,64.41305722112345,62.701244726833636,63.728335208571615,87123352
2025-02-20,64.16851043701172,64.70651161670736,63.09251554053041,63.190331901499626,87059681
2025-02-21,63.3859748840332,64.95105911734915,62.456700756535085,64.21742518333446,95491578
2025-02-24,63.3859748840332,64.51087427919416,62.896885594690076,64.21742518333446,62767270
2025-02-25,64.70651245117188,64.90214517563322,63.04360444161023,63.48378926601334,96236948
2025-02-26,66.02705383300781,66.22268656290447,63.972880317451846,64.75541869994873,73360666
2025-02-27,66.32051086425781,67.20086561798831,65.58687692754218,65.73359774455704,64519911
2025-02-28,65.8314208984375,67.20086492927695,65.4890524278174,66.07596554150315,76126762
2025-03-03,71.40703582763672,72.38521440061804,66.71177569216226,66.76068760597542,189115602
2025-03-04,70.5755844116211,72.8743025290147,70.13539958302862,71.40703469286004,89272803
2025-03-05,71.50485229492188,72.87430379164216,69.59740706003629,71.60266865977826,152425896
2025-03-06,71.84721374511719,72.18958221858496,70.18431314360359,71.99394202475905,88047637
2025-03-07,72.14067077636719,72.97212108256359,71.26030855566674,71.74939784906583,81465821
2025-03-10,72.28739929199219,73.41230616304952,71.6515817159241,72.09175909625026,65581069
2025-03-11,70.33103942871094,72.48302925939507,69.84195015238181,72.43412480950822,73305987
2025-03-12,71.94503784179688,72.87430451147708,70.6244907830056,70.6244907830056,110555600
2025-03-13,73.16776275634766,73.80357288028755,71.89612758264684,72.18958414978103,65910258
2025-03-14,73.26557922363281,73.95030126399244,72.77648991968721,73.21666730807405,71228697
2025-03-17,73.46121215820312,74.53720713720375,72.33630526351179,73.46121215820312,68606367
