symbol,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,CCI_14_0.015,ROC_10,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,MOM_10,ADX_14,DMP_14,DMN_14,EMA_20,SMA_20,TEMA_10,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,ATRr_14,NATR_14,KCLe_20_2,KCBe_20_2,KCUe_20_2,OBV,CMF_20,MFI_14,VWAP_D,AD,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3
TTRAK.IS,575.5,595.5,hold,575.5,1082.0,41.54662627583738,-8.988692126690239,0.7258995194842903,-9.71459164617453,-47.257434624688365,-2.142860453410777,36.99000934780689,30.51088744280843,-61.53844030322793,-14.109619140625,11.126175520451548,22.70827910474743,22.33406654493531,653.0130719164264,651.0167999267578,643.6448117461324,636.5110209217236,642.7391723632812,648.9673238048389,1.9380027573727703,0.6283755290523525,11.91353935459256,1.6430545913563672,630.5118557852043,653.0130719164264,675.5142880476485,-1723271.0,-0.4876449156017344,36.66205224408145,643.8679369404368,-3288676.096847329,-1.5589798253685492,0.21831107361977042,-1.7772908989883196,66.73615835155375,54.85219283785418
TTRAK.IS,575.5,595.5,hold,575.5,1082.0,41.54662617677925,-8.988692087115396,0.725899500827234,-9.71459158794263,-47.25743462468694,-2.142860453410777,36.9900093478069,30.51088744280845,-61.53844030322793,-14.109619140625,11.126176424690248,22.708279393395053,22.334066316846513,653.0130719110838,651.0167999267578,643.6448117462108,636.5110209217236,642.7391723632812,648.9673238048389,1.9380027573727703,0.6283755290523525,11.913539386667141,1.6430545914578543,630.5118557635257,653.0130719110838,675.5142880586419,-1723271.0,-0.4876449156017344,36.66205224408145,643.8679369404368,-3288676.096847322,-1.5589798253685492,0.2183110736322944,-1.7772908990008436,66.73615893558656,54.85219351162866
TTRAK.IS,575.5,595.5,hold,575.5,1082.0,41.54662627583738,-8.988692126690239,0.7258995194842903,-9.71459164617453,-47.257434624688365,-2.142860453410777,36.99000934780689,30.51088744280843,-61.53844030322793,-14.109619140625,11.126175520451548,22.70827910474743,22.33406654493531,653.0130719164264,651.0167999267578,643.6448117461324,636.5110209217236,642.7391723632812,648.9673238048389,1.9380027573727703,0.6283755290523525,11.91353935459256,1.6430545913563672,630.5118557852043,653.0130719164264,675.5142880476485,-1723271.0,-0.4876449156017344,36.66205224408145,643.8679369404368,-3288676.096847329,-1.5589798253685492,0.21831107361977042,-1.7772908989883196,66.73615835155375,54.85219283785418
TTRAK.IS,575.5,595.5,hold,575.5,1082.0,38.28498642768276,-9.127292641778581,0.46983920351675934,-9.59713184529534,-104.38234382421406,-2.446038410031153,35.38465515715121,34.884088036525775,-83.07690518195123,-15.9908447265625,10.811081742647612,20.98689604278847,24.010122665218923,651.5598064176893,649.1825531005859,640.8335185696185,634.8498691963199,642.1747924804688,649.4997157646177,2.2812864565597772,0.19822152879414176,11.969636528688168,1.7041692233148054,628.7827751950382,651.5598064176893,674.3368376403404,-1862024.0,-0.46323842874941923,38.29113626664653,638.8511972793084,-3324649.0968473274,-1.4587346156028764,0.2548450267083546,-1.713579642311231,68.0468008159858,63.90916118842853
TTRAK.IS,575.5,595.5,hold,575.5,1082.0,36.94630714695113,-9.356976809207708,0.1921239857389594,-9.549100794946668,-135.52633093956462,-2.667621646479385,23.625878981318806,32.00018116209231,-84.50701757086442,-17.40179443359375,10.8180936715878,19.348845667138097,24.087371686408666,649.976194827405,647.5364349365234,637.772256220009,631.538053022134,640.9519653320312,650.3658776419285,2.9374782570548965,0.1802561799902738,12.055328943582035,1.7600540308441275,626.8600317821189,649.976194827405,673.0923578726912,-1999696.0,-0.425624654058932,40.96913037029237,635.8725245949074,-3354150.2397044636,-1.5020984006261393,0.16918499335608894,-1.6712833939822282,38.37334731176414,57.7187692445113
TTRAK.IS,575.5,595.5,hold,575.5,1082.0,34.56038599706014,-9.842999323414915,-0.23511878284139698,-9.607880540573518,-137.6416012666964,-3.0412717033837295,14.18089096973844,24.39714170273614,-89.87340433796899,-19.75341796875,11.15826389106491,17.556871038045962,24.03569920639983,648.0506869255524,645.9138336181641,633.5142532493145,625.8669369299254,638.9766235351562,652.0863101403871,4.103338407812531,0.14841792194056588,12.336520531011352,1.8764724137748077,624.090181896855,648.0506869255524,672.0111919542499,-2177755.0,-0.40213284321669274,31.865143486864838,632.5802812868308,-3448416.7691162354,-1.5380562839454242,0.10658168802303125,-1.6446379719684554,14.066495328257536,40.16221429855263
TTRAK.IS,575.5,595.5,hold,575.5,1082.0,34.56038582792274,-10.111615205393946,-0.4029877688289343,-9.708627436565012,-136.64637382234133,-3.3910542287406615,14.979260943193998,17.59534363141709,-80.6817952615846,-22.10504150390625,11.834281803359644,15.796052458942674,24.00044744016038,646.3085607211013,644.3617797851563,630.838361062929,624.3805197397154,635.3081298828125,646.2357400259096,3.440097687751236,0.24606670654735924,12.732028975973437,2.004667926699261,621.2257882278052,646.3085607211013,671.3913332143975,-2177755.0,-0.3601382660440588,23.6412305598073,630.3854550320561,-3471119.295432018,-1.386415699708912,0.2065778178127644,-1.5929935175216765,0.0,17.47994766908851
TTRAK.IS,575.5,595.5,hold,575.5,1082.0,47.44277478856491,-8.856174764602656,0.6819621718015529,-9.538136936404209,-18.973105926025372,-0.43446470131702924,30.59926887856273,19.91980693049838,-37.64699376475819,-2.8218994140625,11.337572325763624,19.345501210689807,21.33257770725602,646.3448768814825,643.8914611816406,636.91370586462,623.2513366759063,635.7784545898437,648.3055725037811,3.940717972904255,0.9355122166252698,13.300887968590274,2.1185577942093774,619.7092110789996,646.3448768814825,672.9805426839654,-1967254.0,-0.2543221148070711,24.922718742110433,641.6731346324574,-3318027.6590683903,-1.2220260850947195,0.29677394593746187,-1.5188000310321814,33.33333333333334,15.799942887196961
TTRAK.IS,575.5,595.5,hold,575.5,1082.0,47.44277478856491,-8.856174764602656,0.6819621718015529,-9.538136936404209,-18.973105926025372,-0.43446470131702924,30.59926887856273,19.91980693049838,-37.64699376475819,-2.8218994140625,11.337572325763624,19.345501210689807,21.33257770725602,646.3448768814825,643.8914611816406,636.91370586462,623.2513366759063,635.7784545898437,648.3055725037811,3.940717972904255,0.9355122166252698,13.300887968590274,2.1185577942093774,619.7092110789996,646.3448768814825,672.9805426839654,-1967254.0,-0.2543221148070711,24.922718742110433,641.6731346324574,-3318027.6590683903,-1.2220260850947195,0.29677394593746187,-1.5188000310321814,33.33333333333334,15.799942887196961
TTRAK.IS,575.5,595.5,hold,575.5,1082.0,47.44277478856491,-8.856174764602656,0.6819621718015529,-9.538136936404209,-18.973105926025372,-0.43446470131702924,30.59926887856273,19.91980693049838,-37.64699376475819,-2.8218994140625,11.337572325763624,19.345501210689807,21.33257770725602,646.3448768814825,643.8914611816406,636.91370586462,623.2513366759063,635.7784545898437,648.3055725037811,3.940717972904255,0.9355122166252698,13.300887968590274,2.1185577942093774,619.7092110789996,646.3448768814825,672.9805426839654,-1967254.0,-0.2543221148070711,24.922718742110433,641.6731346324574,-3318027.6590683903,-1.2220260850947195,0.29677394593746187,-1.5188000310321814,33.33333333333334,15.799942887196961
