TTRAK.IS,4.108604,577.0,943.0,700.0,824.29626,815.0,140.437,595.0,575.5,595.5,hold,575.5,1082.0,39.55627881646529,-9.34814319053919,-0.3418576313369712,-9.006285559202219,-58.8237114103384,-1.917406501203278,20.085966850135332,18.205050354844627,-75.0000376195618,-12.22833251953125,13.913721219449934,22.026463615011963,24.809123062195372,638.4962452930345,638.8120056152344,624.1645201163914,617.0596829927692,626.8423583984375,636.6250338041057,3.1212553761244353,0.43269189236728783,14.268818614135478,2.435786884583138,609.3157430370533,638.4962452930345,667.6767475490157,-2202459.0,-0.33275054883537597,41.136475681458606,630.6989704332854,-3882873.492533298,-1.1025151781173734,0.06599817529785357,-1.168513353415227,31.077106899503875,28.827124704094214,-3.025210084033614
TTRAK.IS,4.108604,577.0,943.0,700.0,824.29626,815.0,140.437,595.0,575.5,595.5,hold,575.5,1082.0,38.26867223559541,-9.482752624456907,-0.3811736522037492,-9.101578972253158,-121.47897468907668,-1.9259282472552381,19.54544036778106,17.728606396301224,-80.00000145635188,-12.22833251953125,13.91054626156824,20.278079269456715,26.808677691608423,636.9921792885639,637.3304992675781,622.4523221621077,618.6410839234865,624.3966918945313,630.1522998655761,1.8435741398889434,0.352913918307559,14.391840961793998,2.4629785441808476,607.5448912056646,636.9921792885639,666.4394673714631,-2510119.0,-0.2939494976297757,38.40666363041363,622.3900056437543,-3864775.8454744755,-1.2444979380153618,-0.06078766768010779,-1.183710270335254,26.85769669624054,26.50571454006932,-3.025210084033614
TTRAK.IS,4.108604,577.0,943.0,700.0,824.29626,815.0,140.437,595.0,575.5,595.5,hold,575.5,1082.0,33.73533397844224,-10.34307542382885,-0.9931971612605537,-9.349878262568296,-160.8863113275714,-2.837944434951828,16.851837834836697,18.827748350917688,-94.44444741957619,-17.8721923828125,14.219556505725478,18.63799863109104,26.951260423824305,634.6011307309477,635.44921875,616.6198862203535,610.3932924888045,622.0450927734375,633.6968930580706,3.7462879845840678,0.06406207231161247,14.539672337413364,2.531016573748238,604.8228803798665,634.6011307309477,664.3793810820289,-2785484.0,-0.31765214510066353,31.968745924171824,615.8055018024997,-4061465.1311887647,-1.436512648754679,-0.20224190273554,-1.234270746019139,22.52216624005933,26.818989945267916,-3.025210084033614
symbol,priceToBook,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,CCI_14_0.015,ROC_10,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,MOM_10,ADX_14,DMP_14,DMN_14,EMA_20,SMA_20,TEMA_10,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,ATRr_14,NATR_14,KCLe_20_2,KCBe_20_2,KCUe_20_2,OBV,CMF_20,MFI_14,VWAP_D,AD,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,change
TTRAK.IS,4.108604,577.0,943.0,700.0,824.29626,815.0,140.437,595.0,575.5,595.5,hold,575.5,1082.0,39.55627881646529,-9.34814319053919,-0.3418576313369712,-9.006285559202219,-58.8237114103384,-1.917406501203278,20.085966850135332,18.205050354844627,-75.0000376195618,-12.22833251953125,13.913721219449934,22.026463615011963,24.809123062195372,638.4962452930345,638.8120056152344,624.1645201163914,617.0596829927692,626.8423583984375,636.6250338041057,3.1212553761244353,0.43269189236728783,14.268818614135478,2.435786884583138,609.3157430370533,638.4962452930345,667.6767475490157,-2202459.0,-0.33275054883537597,41.136475681458606,630.6989704332854,-3882873.492533298,-1.1025151781173734,0.06599817529785357,-1.168513353415227,31.077106899503875,28.827124704094214,-3.025210084033614
symbol,priceToBook,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,CCI_14_0.015,ROC_10,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,MOM_10,ADX_14,DMP_14,DMN_14,EMA_20,SMA_20,TEMA_10,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,ATRr_14,NATR_14,KCLe_20_2,KCBe_20_2,KCUe_20_2,OBV,CMF_20,MFI_14,VWAP_D,AD,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,change
TTRAK.IS,4.108604,577.0,943.0,700.0,824.29626,815.0,140.437,595.0,575.5,595.5,hold,575.5,1082.0,38.26867223559541,-9.482752624456907,-0.3811736522037492,-9.101578972253158,-121.47897468907668,-1.9259282472552381,19.54544036778106,17.728606396301224,-80.00000145635188,-12.22833251953125,13.91054626156824,20.278079269456715,26.808677691608423,636.9921792885639,637.3304992675781,622.4523221621077,618.6410839234865,624.3966918945313,630.1522998655761,1.8435741398889434,0.352913918307559,14.391840961793998,2.4629785441808476,607.5448912056646,636.9921792885639,666.4394673714631,-2510119.0,-0.2939494976297757,38.40666363041363,622.3900056437543,-3864775.8454744755,-1.2444979380153618,-0.06078766768010779,-1.183710270335254,26.85769669624054,26.50571454006932,-3.025210084033614
symbol,priceToBook,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,CCI_14_0.015,ROC_10,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,MOM_10,ADX_14,DMP_14,DMN_14,EMA_20,SMA_20,TEMA_10,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,ATRr_14,NATR_14,KCLe_20_2,KCBe_20_2,KCUe_20_2,OBV,CMF_20,MFI_14,VWAP_D,AD,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,change
TTRAK.IS,4.108604,577.0,943.0,700.0,824.29626,815.0,140.437,595.0,575.5,595.5,hold,575.5,1082.0,33.73533397844224,-10.34307542382885,-0.9931971612605537,-9.349878262568296,-160.8863113275714,-2.837944434951828,16.851837834836697,18.827748350917688,-94.44444741957619,-17.8721923828125,14.219556505725478,18.63799863109104,26.951260423824305,634.6011307309477,635.44921875,616.6198862203535,610.3932924888045,622.0450927734375,633.6968930580706,3.7462879845840678,0.06406207231161247,14.539672337413364,2.531016573748238,604.8228803798665,634.6011307309477,664.3793810820289,-2785484.0,-0.31765214510066353,31.968745924171824,615.8055018024997,-4061465.1311887647,-1.436512648754679,-0.20224190273554,-1.234270746019139,22.52216624005933,26.818989945267916,-3.025210084033614
symbol,priceToBook,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,CCI_14_0.015,ROC_10,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,MOM_10,ADX_14,DMP_14,DMN_14,EMA_20,SMA_20,TEMA_10,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,ATRr_14,NATR_14,KCLe_20_2,KCBe_20_2,KCUe_20_2,OBV,CMF_20,MFI_14,VWAP_D,AD,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,change
