Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,ADX,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACDAS,MACDAS_Signal,CCI,ROC,ATR,MFI,FWMA,OBV,CMF,AD,VWAP,kama,Supertrend,Supertrend_direction,EMA_200,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,BB_Lower,BB_Middle,BB_Upper,BB_BWidth,BB_%B,YF%,MACDAS_dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross,symbol,priceToBook,bookValue,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,targetHighPrice,targetLowPrice,targetMeanPrice,analysis_time
2013-04-26 00:00:00+03:00,3.8362390995025635,3.9180779457092285,3.7850890159606934,3.8362390995025635,53690485,0.0,0.0,,,,,,,,,,,,,53690485.0,,-12389712.09587374,3.846468687057495,,0.0,1,,,,,,,,,,,,,,,,0.5580404664508025,,,,,unknown,No_Data,No_Data,PGSUS.IS,1.650914,160.82,none,207.3,287.25,390.0,248.0,335.0809,2025-07-22 01:57:59.242192
2013-07-23 00:00:00+03:00,5.872003078460693,5.9129228591918945,5.626482963562012,5.872003078460693,15064793,0.0,0.0,,,,,,,,,,,,,68755278.0,,-1629124.1715344675,5.803802967071533,,,1,,,,,,,,,,,,,,,,1.2838575023755094,,53.066660501481856,,,unknown,No_Data,No_Data,PGSUS.IS,1.650914,160.82,none,207.3,287.25,390.0,248.0,335.0809,2025-07-22 01:57:59.242192
2013-07-24 00:00:00+03:00,5.646943092346191,5.974301815032959,5.646943092346191,5.646943092346191,9709582,0.0,0.0,,,,,,,,,,,,,59045696.0,,-11338706.171534462,5.756062666575114,,,1,,,,,,,,,,,,,,,,1.203616190654057,,-3.832763421736829,,,unknown,No_Data,No_Data,PGSUS.IS,1.650914,160.82,none,207.3,287.25,390.0,248.0,335.0809,2025-07-22 01:57:59.242192
2013-07-25 00:00:00+03:00,5.646943092346191,5.708323001861572,5.503724098205566,5.646943092346191,8382052,0.0,0.0,,,,,,,,,,,,,59045696.0,,-7985904.906701977,5.61966339747111,,,1,,,,,,,,,,,,,,,,1.203616190654057,,0.0,,,unknown,No_Data,No_Data,PGSUS.IS,1.650914,160.82,none,207.3,287.25,390.0,248.0,335.0809,2025-07-22 01:57:59.242192
2013-07-26 00:00:00+03:00,5.606022834777832,5.708323001861572,5.585564136505127,5.606022834777832,2447963,0.0,0.0,,,,,,,,,,,,,56597733.0,,-9617924.614063576,5.633303324381511,,,1,,,,,,,,,,,,,,,,1.189026768518421,,-0.7246444120150963,,,unknown,No_Data,No_Data,PGSUS.IS,1.650914,160.82,none,207.3,287.25,390.0,248.0,335.0809,2025-07-22 01:57:59.242192
2013-07-29 00:00:00+03:00,5.544643878936768,5.687862873077393,5.544643878936768,5.544643878936768,3328885,0.0,0.0,,,,,,,,,,,,,53268848.0,,-12946809.61406357,5.5923835436503095,,,1,,,,,,,,,,,,,,,,1.1671431453395127,,-1.0948752377584081,,,unknown,No_Data,No_Data,PGSUS.IS,1.650914,160.82,none,207.3,287.25,390.0,248.0,335.0809,2025-07-22 01:57:59.242192
2013-07-30 00:00:00+03:00,5.708323001861572,5.8106231689453125,5.585564136505127,5.708323001861572,6601675,0.0,0.0,,,,,,,,,,,,,59870523.0,,-12346692.944872096,5.701503435770672,,,1,,,,,,,,,,,,,,,,1.225500153849329,,2.952022284904454,,,unknown,No_Data,No_Data,PGSUS.IS,1.650914,160.82,none,207.3,287.25,390.0,248.0,335.0809,2025-07-22 01:57:59.242192
2013-07-31 00:00:00+03:00,5.728783130645752,5.790163040161133,5.687862873077393,5.728783130645752,6111816,0.0,0.0,,,,,,,,,,,,,65982339.0,,-13569033.354364075,5.735603014628093,,,1,,,,,,,,,,,,,,,,1.2327948649171472,,0.35842626245059517,,,unknown,No_Data,No_Data,PGSUS.IS,1.650914,160.82,none,207.3,287.25,390.0,248.0,335.0809,2025-07-22 01:57:59.242192
2013-08-01 00:00:00+03:00,5.892463207244873,5.933382987976074,5.749242782592773,5.892463207244873,6663948,0.0,0.0,,,,,,,,,,,,,72646287.0,,-9866820.847126335,5.858362992604573,,,1,,,,,,,,,,,,,,,,1.2911522134433275,,2.857152607567315,,,unknown,No_Data,No_Data,PGSUS.IS,1.650914,160.82,none,207.3,287.25,390.0,248.0,335.0809,2025-07-22 01:57:59.242192
2013-08-02 00:00:00+03:00,6.097062110900879,6.097062110900879,5.872003078460693,6.097062110900879,4971485,0.0,0.0,,,,,,,,,,,,,77617772.0,,-4895335.84712634,6.022042433420817,,,1,,,,,,,,,,,,,,,,1.3640984740805981,,3.472213511735611,,,unknown,No_Data,No_Data,PGSUS.IS,1.650914,160.82,none,207.3,287.25,390.0,248.0,335.0809,2025-07-22 01:57:59.242192
