Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,ADX,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACDAS,MACDAS_Signal,CCI,ROC,ATR,MFI,FWMA,OBV,CMF,AD,VWAP,kama,Supertrend,Supertrend_direction,EMA_200,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,BB_Lower,BB_Middle,BB_Upper,BB_BWidth,BB_%B,YF%,MACDAS_dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross,symbol,priceToBook,bookValue,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,targetHighPrice,targetLowPrice,targetMeanPrice,analysis_time
2018-02-28 00:00:00+03:00,4.0975740757318055,4.161964603648328,4.07415938905763,4.103427886962891,7248968,0.0,0.0,65.70575085881453,,,,,,,,7.515343919310194,0.11766897366618598,69.52391363979886,4.125126729872357,344236845.0,,-177038629.74387383,4.113183959889617,0.28867177919001,3.819884005170773,1,,,,,,,,,,,,,,,,1.8783754614767538,,-0.7082238121550621,,,unknown,No_Data,No_Data,ENJSA.IS,0.9982127,66.018,buy,51.25,71.8,122.88,71.0,85.01714,2025-07-22 01:55:59.686879
2018-03-01 00:00:00+03:00,4.085866621537459,4.167818022673576,4.074159278518014,4.1385498046875,14278050,0.0,0.0,68.18385216812919,,,,,,,,9.104931355671358,0.11511296480927852,83.22099910769576,4.130339228840919,358514895.0,,-171684318.4419284,4.126842368626363,0.584723965081299,3.819884005170773,1,,,,,,,72.48513977710411,,,,,,,,,1.9324425599747876,,0.8559165334962149,,,unknown,No_Data,No_Data,ENJSA.IS,0.9982127,66.018,buy,51.25,71.8,122.88,71.0,85.01714,2025-07-22 01:55:59.686879
2018-03-02 00:00:00+03:00,4.173672835609755,4.191233714791765,4.138550798120595,4.167819023132324,12280009,0.0,0.0,70.12149702772209,,,,,,,,11.076460147346234,0.10869198410571924,82.5247167244731,4.144807507010067,370794904.0,,-170319901.9139566,4.165867845348228,1.0048784339972854,3.8464748246974794,1,,,,,,,74.4206381278414,,,,,,,,,1.9774999434874179,,0.7072336887591124,,,unknown,No_Data,No_Data,ENJSA.IS,0.9982127,66.018,buy,51.25,71.8,122.88,71.0,85.01714,2025-07-22 01:55:59.686879
2018-03-05 00:00:00+03:00,4.173671946985416,4.179525479091418,4.062452045720542,4.103427886962891,10616524,0.0,0.0,61.27965872719463,,,,,,,,6.373297379114187,0.10952777290801752,86.14715343440852,4.129086813143252,360178380.0,,-173504833.8021668,4.115135137258284,1.2790544116246014,3.8464748246974794,1,,,,,,,74.07415104095755,73.65997631530102,,,,,,,,1.8783754614767538,,-1.5449599853556095,,,unknown,No_Data,No_Data,ENJSA.IS,0.9982127,66.018,buy,51.25,71.8,122.88,71.0,85.01714,2025-07-22 01:55:59.686879
2018-03-06 00:00:00+03:00,4.109281419068893,4.144403449080156,4.0858667323947175,4.103427886962891,5033059,0.0,0.0,61.27965872719464,,,,,,,,7.350689595143572,0.1045828936729192,88.15128999787181,4.119463230726927,360178380.0,,-175518033.40264833,4.111232689479254,1.6102388971554633,3.8464748246974794,1,,,,,,,71.35237533009088,73.2823881662966,,,,,,,,1.8783754614767538,,0.0,,,unknown,No_Data,No_Data,ENJSA.IS,0.9982127,66.018,buy,51.25,71.8,122.88,71.0,85.01714,2025-07-22 01:55:59.686879
2018-03-07 00:00:00+03:00,4.097574271998435,4.115135427407756,4.080013116589114,4.085866928100586,4823113,0.0,0.0,58.92940396398314,,,,,,,40.08744897773309,3.2544610789591366,0.09801472042968082,85.58148738457764,4.1066931926212735,355355267.0,-0.2885766689987568,-178733416.51572138,4.0936718240324845,1.78901017680459,3.8464748246974794,1,,,,,,,65.16762466980421,70.19805034695088,,,3.7066769074315875,4.009476184844971,4.312275462258354,15.10418136702768,0.6261408942388693,1.8513419122277368,,-0.42795826674810744,5.541260597613729,-9.280527911007475,unknown,No_Data,No_Data,ENJSA.IS,0.9982127,66.018,buy,51.25,71.8,122.88,71.0,85.01714,2025-07-22 01:55:59.686879
2018-03-08 00:00:00+03:00,4.091720141293891,4.097573952348711,4.062451923395016,4.080012798309326,2741932,0.0,0.0,58.12903448741705,,,,,,,30.48117185369995,2.5000079363049537,0.09220205869434929,84.06044544072464,4.096630157611916,352613335.0,0.11973648066140284,-178733438.30665994,4.080012891351018,2.002656029469743,3.8464748246974794,1,,,,,,,62.65535875067024,66.39178625018845,,,3.7256217168878214,4.020890855789185,4.3161599946905485,14.686752239307461,0.6001153434797182,1.8423299950959302,,-0.1432775441362999,5.787903324202248,-8.68602867050704,unknown,No_Data,No_Data,ENJSA.IS,0.9982127,66.018,buy,51.25,71.8,122.88,71.0,85.01714,2025-07-22 01:55:59.686879
2018-03-09 00:00:00+03:00,4.085866487992019,4.132695858539194,4.056597991837501,4.074159145355225,3877573,0.0,0.0,57.29112876682874,,,,,,,30.06147712291855,0.2881832541255853,0.09074428232227814,82.09478864786583,4.088098890399352,348735762.0,-0.005520966121352706,-180821351.2890904,4.087817665243974,2.0866540789345707,3.8464748246974794,1,,,,,,,55.31643372349839,61.046472381324286,,,3.7444635580098704,4.031427478790283,4.318391399570695,14.236342947512078,0.5744547719600623,1.8333188120129245,,-0.14347143608293145,5.9946665189529735,-8.092359075399058,unknown,No_Data,No_Data,ENJSA.IS,0.9982127,66.018,buy,51.25,71.8,122.88,71.0,85.01714,2025-07-22 01:55:59.686879
2018-03-12 00:00:00+03:00,4.085866487992019,4.103427641509742,4.039037117444843,4.074159145355225,4248893,0.0,0.0,57.291128766828734,,,,,,,16.845839884921755,-3.198885625980006,0.0884033938817968,77.4486407023371,4.082809148889043,348735762.0,0.046652116545547774,-180435098.33550826,4.07220796810327,2.15048631360417,3.8464748246974794,1,,,,,,,47.56172977720882,55.177840750459154,,,3.7744542642218124,4.0443055629730225,4.314156861724233,13.344753236342461,0.5553148762306411,1.8333188120129245,,0.0,5.890730033033176,-7.356238930310144,unknown,No_Data,No_Data,ENJSA.IS,0.9982127,66.018,buy,51.25,71.8,122.88,71.0,85.01714,2025-07-22 01:55:59.686879
2018-03-13 00:00:00+03:00,4.091720460486963,4.091720460486963,4.0331837409977185,4.085866928100586,6368111,0.0,0.0,58.67295505131967,,,,,,,9.481673876867003,-2.9207113141365526,0.08579583237808819,73.53049300907253,4.084020381041521,355103873.0,0.1462832614559185,-175340579.16995996,4.070257043195089,2.169062085377431,3.8464748246974794,1,,,,,,,34.798487444033846,45.892216981580354,,,3.8146119933510625,4.058939754962921,4.303267516574779,12.038994237996045,0.5551046122635089,1.8513419122277368,,0.28736684865904305,5.320794639174831,-6.638858766641798,unknown,No_Data,No_Data,ENJSA.IS,0.9982127,66.018,buy,51.25,71.8,122.88,71.0,85.01714,2025-07-22 01:55:59.686879
