Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,ADX,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACDAS,MACDAS_Signal,CCI,ROC,ATR,MFI,FWMA,OBV,CMF,AD,VWAP,kama,Supertrend,Supertrend_direction,EMA_200,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,BB_Lower,BB_Middle,BB_Upper,BB_BWidth,BB_%B,YF%,MACDAS_dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross,symbol,priceToBook,bookValue,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,targetHighPrice,targetLowPrice,targetMeanPrice,analysis_time
2020-10-19 00:00:00+03:00,0.41462215781211853,0.41462215781211853,0.41462215781211853,0.41462215781211853,984385,0.0,0.0,,,,,,,,,,,,,984385.0,,0.0,0.41462215781211853,,0.0,1,,,,,,,,,,,,,,,,0.0,,,,,unknown,No_Data,No_Data,KONTR.IS,2.819076,8.031,none,19.87,67.7,60.0,60.0,60.0,2025-07-22 01:57:05.614585
2020-10-20 00:00:00+03:00,0.45559263229370117,0.45559263229370117,0.45559263229370117,0.45559263229370117,57263,0.0,0.0,,,,,,,,,,,,,1041648.0,,0.0,0.45559263229370117,,,1,,,,,,,,,,,,,,,,0.04229735373534167,,9.881400139774478,,,unknown,No_Data,No_Data,KONTR.IS,2.819076,8.031,none,19.87,67.7,60.0,60.0,60.0,2025-07-22 01:57:05.614585
2020-10-21 00:00:00+03:00,0.5009328126907349,0.5009328126907349,0.5009328126907349,0.5009328126907349,32994,0.0,0.0,,,,,,,,,,,,,1074642.0,,0.0,0.5009328126907349,,,1,,,,,,,,,,,,,,,,0.08910593169163623,,9.951912560298993,,,unknown,No_Data,No_Data,KONTR.IS,2.819076,8.031,none,19.87,67.7,60.0,60.0,60.0,2025-07-22 01:57:05.614585
2020-10-22 00:00:00+03:00,0.5506437420845032,0.5506437420845032,0.5506437420845032,0.5506437420845032,241062,0.0,0.0,,,,,,,,,,,,,1315704.0,,0.0,0.5506437420845032,,,1,,,,,,,,,,,,,,,,0.14042681073163873,,9.923672024347653,,,unknown,No_Data,No_Data,KONTR.IS,2.819076,8.031,none,19.87,67.7,60.0,60.0,60.0,2025-07-22 01:57:05.614585
2020-10-23 00:00:00+03:00,0.6052713394165039,0.6052713394165039,0.6052713394165039,0.6052713394165039,544432,0.0,0.0,,,,,,,,,,,,,1860136.0,,0.0,0.6052713394165039,,,1,,,,,,,,,,,,,,,,0.19682359005383385,,9.92067886310737,,,unknown,No_Data,No_Data,KONTR.IS,2.819076,8.031,none,19.87,67.7,60.0,60.0,60.0,2025-07-22 01:57:05.614585
2020-10-26 00:00:00+03:00,0.6653615832328796,0.6653615832328796,0.6653615832328796,0.6653615832328796,17307174,0.0,0.0,,,,,,,,,,,,,19167310.0,,0.0,0.6653615832328796,,,1,,,,,,,,,,,,,,,,0.2588599303917207,,9.927819128905746,,,unknown,No_Data,No_Data,KONTR.IS,2.819076,8.031,none,19.87,67.7,60.0,60.0,60.0,2025-07-22 01:57:05.614585
2020-10-27 00:00:00+03:00,0.731460452079773,0.731460452079773,0.7036011344793339,0.731460452079773,155077314,0.0,0.0,,,,,,,,,,,,,174244624.0,,155077313.9999994,0.7221740128796266,,,1,,,,,,,,,,,,,,,,0.32709949247879866,,9.93427791934276,,,unknown,No_Data,No_Data,KONTR.IS,2.819076,8.031,none,19.87,67.7,60.0,60.0,60.0,2025-07-22 01:57:05.614585
2020-10-28 00:00:00+03:00,0.7757086617961451,0.8041148781776428,0.7587746897947225,0.8041148781776428,81673439,0.0,0.0,,,,,,,,,,,,,255918063.0,,236750752.999999,0.7890014820500028,,,1,,,,,,,,,,,,,,,,0.4021069216088001,,9.932789379287744,,,unknown,No_Data,No_Data,KONTR.IS,2.819076,8.031,none,19.87,67.7,60.0,60.0,60.0,2025-07-22 01:57:05.614585
2020-10-30 00:00:00+03:00,0.817226066325852,0.8844178915023804,0.8155871995471238,0.8844178915023804,257819743,0.0,0.0,,,,,,,,,,,,,513737806.0,,494570495.99999815,0.8614743275172948,,,1,,,,,,,,,,,,,,,,0.48501064687898576,,9.986510075118549,,,unknown,No_Data,No_Data,KONTR.IS,2.819076,8.031,none,19.87,67.7,60.0,60.0,60.0,2025-07-22 01:57:05.614585
2020-11-02 00:00:00+03:00,0.9270272262303835,0.9357676913643891,0.7981062514096402,0.7991991639137268,215939895,0.0,0.0,,,,,,,,,,,,,297797911.0,,282059352.16596377,0.8443577022292521,,,1,,,,,,,,,,,,,,,,0.3970320058868407,,-9.63557255087757,,,unknown,No_Data,No_Data,KONTR.IS,2.819076,8.031,none,19.87,67.7,60.0,60.0,60.0,2025-07-22 01:57:05.614585
