Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,ADX,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACDAS,MACDAS_Signal,CCI,ROC,ATR,MFI,FWMA,OBV,CMF,AD,VWAP,kama,Supertrend,Supertrend_direction,EMA_200,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,BB_Lower,BB_Middle,BB_Upper,BB_BWidth,BB_%B,YF%,MACDAS_dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross,symbol,priceToBook,bookValue,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,targetHighPrice,targetLowPrice,targetMeanPrice,analysis_time
2021-08-19 00:00:00+03:00,4.675000190734863,4.675000190734863,4.675000190734863,4.675000190734863,22896,0.0,0.0,,,,,,,,,,,,,22896.0,,0.0,4.675000190734863,,0.0,1,,,,,,,,,,,,,,,,0.5601922324792575,,,,,unknown,No_Data,No_Data,GESAN.IS,2.0407152,24.217,none,37.68,56.8,,,,2025-07-22 01:56:20.376497
2021-08-20 00:00:00+03:00,5.139999866485596,5.139999866485596,5.139999866485596,5.139999866485596,55236,0.0,0.0,,,,,,,,,,,,,78132.0,,0.0,5.139999866485596,,,1,,,,,,,,,,,,,,,,0.9854806003872002,,9.946516722550957,,,unknown,No_Data,No_Data,GESAN.IS,2.0407152,24.217,none,37.68,56.8,,,,2025-07-22 01:56:20.376497
2021-08-23 00:00:00+03:00,5.650000095367432,5.650000095367432,5.650000095367432,5.650000095367432,1029216,0.0,0.0,,,,,,,,,,,,,1107348.0,,0.0,5.650000095367432,,,1,,,,,,,,,,,,,,,,1.4519264417174276,,9.922183699015186,,,unknown,No_Data,No_Data,GESAN.IS,2.0407152,24.217,none,37.68,56.8,,,,2025-07-22 01:56:20.376497
2021-08-24 00:00:00+03:00,6.215000152587891,6.215000152587891,6.215000152587891,6.215000152587891,2500308,0.0,0.0,,,,,,,,,,,,,3607656.0,,0.0,6.215000152587891,,,1,,,,,,,,,,,,,,,,1.9686750863594764,,10.000000843959555,,,unknown,No_Data,No_Data,GESAN.IS,2.0407152,24.217,none,37.68,56.8,,,,2025-07-22 01:56:20.376497
2021-08-25 00:00:00+03:00,6.835000038146973,6.835000038146973,6.429999828338623,6.835000038146973,219307116,0.0,0.0,,,,,,,,,,,,,222914772.0,,219307115.99999988,6.699999968210856,,,1,,,,,,,,,,,,,,,,2.5357265343133477,,9.975862756832242,,,unknown,No_Data,No_Data,GESAN.IS,2.0407152,24.217,none,37.68,56.8,,,,2025-07-22 01:56:20.376497
2021-08-26 00:00:00+03:00,6.755000114440918,6.860000133514404,6.15500020980835,6.15500020980835,92911104,0.0,0.0,,,,,,,,,,,,,130003668.0,,126396011.99999991,6.390000184377034,,,1,,,,,,,,,,,,,,,,1.9137991819879654,,-9.948790410292041,,,unknown,No_Data,No_Data,GESAN.IS,2.0407152,24.217,none,37.68,56.8,,,,2025-07-22 01:56:20.376497
2021-08-27 00:00:00+03:00,6.0,6.385000228881836,5.764999866485596,5.795000076293945,106738444,0.0,0.0,,,,,,,,,,,,,23265224.0,,29987161.041657805,5.981666723887127,,,1,,,,,,,,,,,,,,,,1.5845433196439767,,-5.8489053004535,,,unknown,No_Data,No_Data,GESAN.IS,2.0407152,24.217,none,37.68,56.8,,,,2025-07-22 01:56:20.376497
2021-08-31 00:00:00+03:00,5.864999771118164,6.105000019073486,5.699999809265137,5.769999980926514,46640824,0.0,0.0,,,,,,,,,,,,,-23375600.0,,-530877.7974503376,5.858333269755046,,,1,,,,,,,,,,,,,,,,1.56167825046045,,-0.4314080248195573,,,unknown,No_Data,No_Data,GESAN.IS,2.0407152,24.217,none,37.68,56.8,,,,2025-07-22 01:56:20.376497
2021-09-01 00:00:00+03:00,5.795000076293945,5.864999771118164,5.744999885559082,5.769999980926514,23951656,0.0,0.0,,,,,,,,,,,,,-23375600.0,,-14502629.54307334,5.793333212534588,,,1,,,,,,,,,,,,,,,,1.56167825046045,,0.0,,,unknown,No_Data,No_Data,GESAN.IS,2.0407152,24.217,none,37.68,56.8,,,,2025-07-22 01:56:20.376497
2021-09-02 00:00:00+03:00,5.795000076293945,5.940000057220459,5.699999809265137,5.75,43010520,0.0,0.0,,,,,,,,,,,,,-66386120.0,,-39592049.69482658,5.796666622161865,,,1,,,,,,,,,,,,,,,,1.543386282336613,,-0.34662012118936714,,,unknown,No_Data,No_Data,GESAN.IS,2.0407152,24.217,none,37.68,56.8,,,,2025-07-22 01:56:20.376497
