Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,ADX,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,MACDAS,MACDAS_Signal,CCI,ROC,ATR,MFI,FWMA,OBV,CMF,AD,VWAP,kama,Supertrend,Supertrend_direction,EMA_200,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,BB_Lower,BB_Middle,BB_Upper,BB_BWidth,BB_%B,YF%,MACDAS_dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross,symbol,priceToBook,bookValue,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,targetHighPrice,targetLowPrice,targetMeanPrice,analysis_time
2021-08-05 00:00:00+03:00,11.100576400756836,11.100576400756836,11.100576400756836,11.100576400756836,2284006,0.0,0.0,,,,,,,,,,,,,2284006.0,,0.0,11.100576400756836,,0.0,1,,,,,,,,,,,,,,,,0.0,,,,,unknown,No_Data,No_Data,GENIL.IS,6.0323157,27.85,none,66.3,180.4,103.87,103.87,103.87,2025-07-22 01:56:18.334690
2021-08-06 00:00:00+03:00,12.208756446838379,12.208756446838379,11.598318982748074,12.208756446838379,60414458,0.0,0.0,,,,,,,,,,,,,62698464.0,,60414457.99999981,12.005277292141612,,,1,,,,,,,,,,,,,,,,0.6659758922906409,,9.983085617121535,,,unknown,No_Data,No_Data,GENIL.IS,6.0323157,27.85,none,66.3,180.4,103.87,103.87,103.87,2025-07-22 01:56:18.334690
2021-08-09 00:00:00+03:00,12.48110551544627,13.429632186889648,12.48110551544627,13.429632186889648,41729663,0.0,0.0,,,,,,,,,,,,,104428127.0,,102144120.99999979,13.113456629741856,,,1,,,,,,,,,,,,,,,,1.3996777968066265,,10.000000781139606,,,unknown,No_Data,No_Data,GENIL.IS,6.0323157,27.85,none,66.3,180.4,103.87,103.87,103.87,2025-07-22 01:56:18.334690
2021-08-10 00:00:00+03:00,14.077634704201948,14.772594451904297,13.946156365551184,14.772594451904297,72673502,0.0,0.0,,,,,,,,,,,,,177101629.0,,174817622.99999994,14.497115089786591,,,1,,,,,,,,,,,,,,,,2.206749261338284,,9.999992898730925,,,unknown,No_Data,No_Data,GENIL.IS,6.0323157,27.85,none,66.3,180.4,103.87,103.87,103.87,2025-07-22 01:56:18.334690
2021-08-11 00:00:00+03:00,15.026163069928279,15.768080731309935,13.683199458952123,14.32181167602539,67042981,0.0,0.0,,,,,,,,,,,,,110058648.0,,148846013.59632272,14.591030622095815,,,1,,,,,,,,,,,,,,,,1.9358452124369052,,-3.0514800724174562,,,unknown,No_Data,No_Data,GENIL.IS,6.0323157,27.85,none,66.3,180.4,103.87,103.87,103.87,2025-07-22 01:56:18.334690
2021-08-12 00:00:00+03:00,14.603551218155966,14.913465734472199,12.997630135595012,13.392066955566406,44583524,0.0,0.0,,,,,,,,,,,,,65475124.0,,122620414.92142327,13.767720941877874,,,1,,,,,,,,,,,,,,,,1.3771024593981784,,-6.491809426703821,,,unknown,No_Data,No_Data,GENIL.IS,6.0323157,27.85,none,66.3,180.4,103.87,103.87,103.87,2025-07-22 01:56:18.334690
2021-08-13 00:00:00+03:00,13.335718492510065,14.3687674802546,13.166674780348062,13.833459854125977,29195211,0.0,0.0,,,,,,,,,,,,,94670335.0,,125813606.11721115,13.78963403824288,,,1,,,,,,,,,,,,,,,,1.6423635336327995,,3.295928104482071,,,unknown,No_Data,No_Data,GENIL.IS,6.0323157,27.85,none,66.3,180.4,103.87,103.87,103.87,2025-07-22 01:56:18.334690
2021-08-16 00:00:00+03:00,14.180940164335421,15.213989117732206,13.833459394178513,14.904073715209961,56962807,0.0,0.0,,,,,,,,,,,,,151633142.0,,157201228.52102762,14.650507409040225,,,1,,,,,,,,,,,,,,,,2.2857635153914226,,7.7393065247134185,,,unknown,No_Data,No_Data,GENIL.IS,6.0323157,27.85,none,66.3,180.4,103.87,103.87,103.87,2025-07-22 01:56:18.334690
2021-08-17 00:00:00+03:00,14.922857501887623,15.655382650732616,14.594159848934215,15.589643478393555,45883367,0.0,0.0,,,,,,,,,,,,,197516509.0,,197399955.9418596,15.279728659353461,,,1,,,,,,,,,,,,,,,,2.6977660021516665,,4.599881725517463,,,unknown,No_Data,No_Data,GENIL.IS,6.0323157,27.85,none,66.3,180.4,103.87,103.87,103.87,2025-07-22 01:56:18.334690
2021-08-18 00:00:00+03:00,15.655381771169417,16.021643877199757,15.213988930792905,15.55207633972168,28108837,0.0,0.0,,,,,,,,,,,,,169407672.0,,192824049.4627706,15.595903049238112,,,1,,,,,,,,,,,,,,,,2.6751895184960786,,-0.24097496985060474,,,unknown,No_Data,No_Data,GENIL.IS,6.0323157,27.85,none,66.3,180.4,103.87,103.87,103.87,2025-07-22 01:56:18.334690
