Price,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,MACD_Hist,CCI,ADX,Tenkan-sen,Kijun-sen,Senkou_Span_A,Senkou_Span_B
Ticker,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS,KCHOL.IS,,,,,,,,,,
Date,,,,,,,,,,,,,,,
2024-04-25,203.88482666015625,207.8020199948775,202.54725627086913,202.9294150739729,13180996,68.9229768560251,8.965377675923492,9.148939165999757,-0.183561490076265,98.21049184749286,57.952719878010434,201.23976055465457,182.71714585723754,160.22252137168562,148.67619095572746
2024-04-26,207.32431030273438,208.56634825709907,203.21603764372358,204.45807559808827,13040940,65.24772309017581,9.070780561027249,9.133307445005254,-0.06252688397800554,104.59444875038996,58.30385929507598,201.62192468576535,183.03739109626633,160.22252137168562,148.67619095572746
2024-04-29,214.9676055908203,216.2096435610298,207.89756572720285,209.23513610839842,16748327,69.86269255802684,9.659712011813099,9.238588358366822,0.42112365344627634,148.99169603315303,60.35393623747615,205.4435723377307,186.85903874823168,160.22252137168562,148.722200782203
2024-04-30,216.0185546875,219.45802747906652,214.01218462526884,214.96759616377452,15097259,76.9755916120543,10.094879748638988,9.409846636421255,0.6850331122177327,171.8746971137871,62.62228094596724,207.0677642967491,189.6792754985933,160.24552182161602,149.55022080936084
2024-05-02,224.52171325683594,226.8146951353237,217.54720605700277,217.83383243641956,15150124,78.5381199695025,10.999096411242903,9.727696591385584,1.2713998198573186,218.6134452314349,65.39684840538138,210.74609812487768,195.8416695061993,161.2345498305183,150.5162415363123
2024-05-03,222.3242645263672,226.623616496669,219.45802987949932,224.52171400465056,11574009,69.03974454011518,11.406887385938006,10.063534750296068,1.3433526356419385,186.158700324749,67.78358881101616,210.74609812487768,199.61378057399145,163.9026168250776,152.95430868671238
2024-05-06,223.94845581054688,226.24145221946324,219.5535715390306,223.6618440155524,12182754,80.15450629318185,11.725953837375158,10.396018567711886,1.329935269663272,157.59223285975676,69.96678521231802,212.21813401077594,200.53380414730026,167.7667364265937,156.81842828822846
2024-05-07,225.4771270751953,227.86565596370374,219.4580313604694,224.80834190209762,19075683,80.73368958559368,11.964250857904716,10.709665025750454,1.2545858321542624,138.84550484340573,72.0369368895931,213.91665203194373,201.0592845614903,168.0887376527018,158.52046957686025
2024-05-08,222.80197143554688,226.33699126900265,220.22236315591283,226.14591187392298,10932528,75.65330436848716,11.801203334553833,10.92797268751113,0.8732306470427034,111.08529424735048,75.01732396095994,215.20645611728645,201.0592845614903,174.20691322542143,166.5247032123336
2024-05-09,225.094970703125,225.4771294980234,221.84656263279425,222.80197419846385,9535258,77.13531205470258,11.721890221256075,11.086756194260118,0.6351340269959564,102.74184895040207,77.55066248706218,215.54084680371366,201.0592845614903,174.20691322542143,166.5247032123336
2024-05-10,226.6236114501953,231.20958969874764,224.42616202084494,225.2860411428114,12760549,81.72296537825363,11.648110374749109,11.199027030357918,0.449083344391191,110.01594824863778,80.01589177165185,219.55357771297525,203.09926732561365,174.20691322542143,166.5247032123336
2024-05-13,226.7191619873047,231.4006727149364,224.80833890199816,227.96119990843857,10092162,79.52734420864289,11.465185918198245,11.252258807925983,0.2129271102722612,98.9375974332522,82.15920125155625,222.70642867010264,206.87490590549652,174.20691322542143,166.5247032123336
2024-05-14,235.50894165039062,240.76370505435472,225.95482637045592,227.5790230523602,13855029,89.52771050357542,11.892390651366725,11.380285176614132,0.5121054747525928,123.66088271260769,84.23593092408831,229.15545555567874,212.75246445254436,174.80493562109308,166.5247032123336
2024-05-15,229.77647399902344,235.5089432048203,228.34335669757422,235.5089432048203,10206706,78.10649918318411,11.634278528225934,11.431083846936493,0.20319468128944074,96.8310656855383,89.76023999001853,230.110867466927,213.76449165002748,176.4149832505736,166.89272075207543
2024-05-16,228.15228271484375,231.40067617709724,223.27967794304007,231.20959678139235,11679835,74.90196680180352,11.169904442944869,11.378847966138169,-0.2089435231932999,69.31875987680968,86.82059561359695,230.11086820741207,213.76449165002748,181.47511945083275,170.0668014184385
2024-05-17,233.88475036621094,234.45798854918274,230.15863657398924,230.2541835603629,12979954,76.02996669138071,11.136077101105002,11.330293793131537,-0.1942166920265347,94.71136471458075,84.92623006024385,230.11086820741207,213.76449165002748,181.93513123748716,170.0668014184385
2024-05-20,234.8401641845703,238.75734283052856,233.12042046219727,234.8401641845703,15066884,72.41379666414483,11.058882683736556,11.27601157125254,-0.21712888751598491,107.57158784697205,84.0059768977943,230.49303410513377,217.67459350122002,181.93513123748716,170.0668014184385
2024-05-21,251.9897918701172,258.1999668356367,234.1713726081113,235.50894292316167,56712120,79.76284774608145,12.240437041810765,11.468896665364188,0.7715403764465769,188.65247884770696,84.69584710740031,240.02326473421547,226.43873397503415,185.15521922459115,174.39092087512387
2024-05-22,250.0789794921875,258.677683658108,246.25733319622285,251.98980264016984,19446022,73.73559818937734,12.874234630759844,11.749964258443319,1.1242703723165253,194.98449816551718,85.31420271182797,240.978680800574,226.6775923862698,185.15521922459115,175.17294394998527
2024-05-23,244.10765075683594,254.85603068252834,244.10765075683594,251.0343844867266,11693498,68.9054813336321,12.747739456537971,11.949519298062249,0.798220158475722,149.18644485128593,84.11806087373724,240.978680800574,226.6775923862698,185.33922717289187,177.33500157362818
2024-05-24,237.13314819335938,240.7637150663945,236.36881602349564,239.8083034986707,13610763,60.47042206825952,11.946989591824263,11.949013356814653,-0.0020237649903904753,69.53803973764452,77.86660197865731,240.978680800574,226.6775923862698,187.2022761587165,177.841018878946
2024-05-27,238.75733947753906,241.95797398751918,235.3178666595187,237.61084853819895,10937207,60.530302150362786,11.31303855134982,11.821818395721687,-0.5087798443718672,65.30613927663657,72.76662645444524,240.978680800574,226.6775923862698,188.7893253562881,177.84101932558647
2024-05-28,238.66180419921875,240.2860008919489,234.64907867058454,240.0471480083585,11227166,63.11217438123415,10.679808699130916,11.593416456403535,-0.9136077572726187,51.64352385871734,67.90060971078267,240.978680800574,226.6775923862698,190.0313569348042,178.02502030826128
2024-05-29,239.56944274902344,243.6299417786679,235.8911025025645,238.3751783285398,12323009,62.24737344819314,10.134385437700132,11.301610252662854,-1.1672248149627222,60.068432766521695,64.71533537667565,244.41816011604863,228.14962827216812,190.0313569348042,179.22105298002313
2024-05-30,237.89747619628906,242.43568106348735,237.4197704207945,240.28600507376183,10859064,59.516142992270076,9.45819169946418,10.93292654202312,-1.4747348425589397,50.09245179552214,61.561477745305126,245.89905206015263,229.32266587914583,190.0313569348042,179.22105298002313
