Price,Close,High,Low,Open,Volume,RSI,MACD,MACD_Signal,MACD_Hist,CCI,ADX,Tenkan-sen,Kijun-sen,Senkou_Span_A,Senkou_Span_B
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,,,,,,,,,,
Date,,,,,,,,,,,,,,,
2023-04-25,103.23088836669922,106.05396142221645,103.22094585900729,105.19908777458112,46664100,47.90963910966862,1.4410765267374899,1.9433728212253436,-0.5022962944878537,2.834063520426398,25.541475321212165,105.37303796652023,103.83228282413715,95.34816115864433,95.94458361199213
2023-04-26,103.09172058105469,105.71598132557666,102.01815729904722,104.29450612363466,53347600,48.16424961355454,1.2247160377217767,1.7996414645246304,-0.5749254268028536,-34.41901156968873,23.8419203413829,105.15435110379079,103.83228282413715,95.34816115864433,95.94458361199213
2023-04-27,106.9485855102539,107.72394181602506,102.92273462738503,103.82730560825159,50089200,47.98835222791358,1.3489160929564576,1.709496390210996,-0.36058029725453844,79.03048533096117,22.745064346129563,104.87104955753614,103.83228282413715,96.47142796294843,95.94458361199213
2023-04-28,106.70008850097656,106.71003100943008,104.46350188538293,106.40188150257787,36139800,52.38096204982595,1.4110284421244046,1.6498028005936778,-0.2387743584692732,77.946494322,19.85934994729911,104.87104955753614,103.83228282413715,97.21198096905917,95.94458361199213
2023-05-01,106.56092071533203,107.34621201496886,106.1831888277736,106.20306626020863,26681700,55.15323585815288,1.432510163647592,1.6063442732044608,-0.17383410955686873,114.72685823713992,18.818526014564387,104.87104955753614,103.83228282413715,97.21198096905917,96.42669992555065
2023-05-02,104.69212341308594,106.56091286467543,103.09172099111031,106.5012729878526,30997200,51.77822995499682,1.28393782262593,1.5418629830887547,-0.25792516046282477,-25.1523284647978,20.425165292535272,104.87104955753614,103.83228282413715,97.96248065077147,96.42669992555065
2023-05-03,104.7815933227539,106.84918746923228,104.3342714841317,104.90087307925748,21795400,43.84896883339184,1.1600404220539815,1.4654984708818002,-0.3054580488278187,11.012026777268689,21.12691112463707,104.87104955753614,103.83228282413715,98.01218216539237,97.79349826077913
2023-05-04,104.06587982177734,104.97045079866503,103.35017097892809,104.86110597079023,23419500,36.68790774187084,0.992656020706832,1.3709299808468067,-0.3782739601399747,-80.6173283187836,23.07154025277336,104.87104955753614,103.8521625604605,98.72291920173713,97.79349826077913
