,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Cloud_Position,TK_Cross,CPrice,change
0,KRDMD.IS,75.07935426673306,73.68639067010521,84.57183916908451,91.80645844362755,0.05155305810982774,0.16804042823509335,0.11648737012526561,13.180466533276162,0.41032993525830835,,27.730504414046653,1552733872.0,45.173271369021556,-868118714.1286604,26.330403445674023,-28.529181332801453,0.7832911608416172,-0.26305586435339856,0.7296039999925981,23.400567952324362,23.233333587646484,24.251043573724793,-1,23.777085175967066,24.09999942779541,26.699999809265137,30.760000705718994,29.5600004196167,,No_Data,Bearish,,
1,CCOLA.IS,46.06739726927692,65.1540333975811,54.41615019119865,76.89351330643814,-0.04908822807734159,0.07618415522246602,0.1252723832998076,10.546156620584126,0.24281810141369864,,36.16507460165776,10049659.0,44.10656593531316,-98820036.43755423,10.380604959371084,-64.07764475259991,-1.8146392986082764,-0.1829922533431641,1.6016619013363018,50.961622582487834,50.13999938964844,53.723062776975986,-1,51.96903393045949,53.12382809887035,52.06624747885148,53.11893324785172,55.12148078504027,,No_Data,Bullish,,
2,BRSAN.IS,39.494613913218565,36.8149646950561,91.30836509837377,83.52228163154291,1.260095846040743,0.7211447511164764,-0.5389510949242666,14.213808218930797,0.2903907527975062,,44.025948751248556,19439209.0,39.4567190588972,-59631178.67386207,10.431945992551176,-68.15720746544388,-3.8405797101449277,-0.18738624782828323,11.262942151023063,333.9789553752536,331.5,359.49980853627517,-1,337.695035280022,393.125,378.125,383.75,383.75,,No_Data,Bullish,,
3,ARCLK.IS,57.40740831745638,53.97283184479621,90.21002829976963,91.64969118598451,0.4277412395817612,0.7541884900757156,0.32644725049395446,16.691594132201814,0.38190001312232086,,47.624317343372034,-2134591.0,42.31350967702478,-62352488.677294336,25.342494349198596,-27.839205843470495,-2.137133980996218,-0.2071262984751149,3.2749586246005706,110.70375336498083,110.69999949137372,114.89207519196728,-1,111.80540516494128,119.3499984741211,129.9000015258789,140.34999656677246,136.39999771118164,,No_Data,Bearish,,
4,HEKTS.IS,63.15483012737449,65.29832130543691,79.99259182310759,89.31356431462603,0.0031211820797230547,0.009129050774942818,0.006007868695219763,9.296152062004877,0.3225232937290375,,42.73622615653768,-496157436.0,45.506392638168705,-6202742239.358013,12.576025552900997,-44.24859095239599,-1.286172450233953,-0.03409592583551549,0.08501714498738293,3.1151420042432587,3.0833333333333335,3.268704403505526,-1,3.1612232558807665,3.194999933242798,3.1750000715255737,3.4199999570846558,3.5850000381469727,,No_Data,Bullish,,
5,MIATK.IS,53.2388060271442,54.11999785195396,89.99133465727319,94.27319922662316,0.15551132876050672,0.2937530512920594,0.1382417225315527,13.541470794884194,0.351120790651135,,53.35707914896927,272901318.0,41.75972228865491,-853672745.196584,20.19558435303353,-33.696402525083236,-3.2415943381027934,-0.42327903258742644,1.3901960350337121,32.02606507392249,31.99333381652832,34.152918566682814,-1,32.12875021767575,37.56999969482422,41.21999931335449,39.100000858306885,37.83000087738037,,No_Data,Bearish,,
6,ZOREN.IS,28.77735067363393,27.17709600299082,73.72010712513647,64.83902237145321,0.00862110182705246,0.0014896769630045048,-0.007131424864047955,18.92551823044264,0.2451833991765698,,33.59455588699869,-1502353647.0,36.53342737190756,-3749963692.9824643,26.298171491663716,-65.12672344365546,-7.142857671735974,-0.2420218783676503,0.07877177581203954,3.0261257367008354,3.013333320617676,3.190779553287036,-1,3.119654022112486,3.315000057220459,3.3600000143051147,3.65500009059906,3.865000009536743,,No_Data,Bearish,,
7,SMRTG.IS,32.42582265963451,30.806376340920583,84.06803135515784,76.27043250305631,0.07863556255518268,0.048238398035927554,-0.03039716451925513,17.264302273887267,0.23327562637773308,,46.22487442438009,14035900.0,37.10648374589679,-200635609.56034493,11.445334336152275,-76.08076763271559,-6.152804934139406,-0.477579062820949,0.9778065999916197,28.128762603047896,27.95999972025554,30.44120046873104,-1,29.042671670811554,31.5,32.26000118255615,35.829999923706055,38.019999504089355,,No_Data,Bearish,,
8,MAVI.IS,80.00024552894187,64.5528102745635,98.36485084367091,85.47338336983564,0.3762926244067304,0.4446027762960253,0.06831015188929491,19.111338183925774,1.0186681362305559,,65.96742581422187,-10447204.0,70.71253740502439,-170342841.27720305,19.85015737700725,178.733641450716,11.949675658951024,-0.14541289111179168,1.2085351732235619,34.41205912236026,36.166666666666664,32.48259371078344,1,32.625655591675596,31.730321455483917,32.05351029827059,33.9709310145369,34.58595445055734,,No_Data,Bearish,,
9,TTRAK.IS,65.78797778200564,63.84128488444151,91.67407282179829,96.26011718187839,1.962953582146982,5.123694801501937,3.1607412193549553,13.84980541581441,0.4650458187548848,,33.825352328059616,-5045977.0,44.837309249094126,-11857627.66041342,19.362382677487915,-10.395146745368042,0.6814310051107325,-0.21073203788720637,15.994653144757493,593.4903651115619,592.3333333333334,602.2627614055978,-1,596.931264195664,642.0,706.25,730.5244011346708,705.2447068657978,,No_Data,Bearish,,
