,symbol,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,CPrice,change
0,A1CAP.IS,-0.015042716109413854,-0.02781594443755865,-0.012773228328144797,8.654044616879649,0.11910922482847683,15.126737530662313,39.15517755230339,214151632.0,44.41593219624008,-515686549.399708,11.748674658592282,-165.23652721226208,-2.310927063552773,-0.20934474565692504,0.2188884082565002,4.687870262602521,4.610000133514404,4.65,0.8676789587852562
1,ACSEL.IS,0.9906874085936941,2.32376596345226,1.333078554858566,26.345079754085944,1.0752122853895483,53.206239168110926,75.36730092633785,1960618.0,66.12402690333616,-6554975.487001653,28.462548598513305,220.5077435774609,22.61209056790433,0.04032080635971049,6.8424795036605826,121.44361229020248,127.06666564941406,125.8,0.0
2,ADESE.IS,0.004528034345412428,0.010401268772653079,0.005873234427240651,6.205592878401003,1.3166275950957274,35.21126760563381,39.877270738479424,941971205.0,58.97632182161734,-2019129071.7684987,11.016368532432855,218.9959019179102,7.608694736696163,0.08065242831639523,0.05821509115785682,1.9176369217539897,1.943333347638448,1.98,5.319148936170226
3,ADGYO.IS,-0.06269508487022836,-0.04523527224789098,0.017459812622337378,5.755063822001622,0.27026266329003695,82.3170731707318,38.88854010994901,63000079.0,49.70349361386101,-43792878.558109835,10.486750921501129,-58.11599814898348,-2.0486536310417205,0.03508220134865555,1.1242610769642178,31.0245640621224,30.640000025431316,30.6,-1.098901098901095
4,AEFES.IS,0.8793356395433388,0.8851158617939574,0.005780222250618611,7.829145814300659,0.8792523669962702,15.29892313405124,53.06866714608333,6046331.0,54.178404423750024,-168240513.04531914,17.145077788896028,115.43300090998798,4.805916762226046,-0.02078597825504443,6.338568984438332,167.14898811634365,169.83333841959634,170.1,0.5319148936170137
5,AFYON.IS,0.01592879420775429,-0.007257100150048365,-0.023185894357802654,6.96670879936024,0.4977958063980817,54.12371134020619,63.50414046417974,356364382.0,49.25146386229219,-394934873.46343476,22.836523626035028,49.73573858662624,-3.1802107519199856,-0.12624274121385648,0.46194898454135785,13.598427119651625,13.869999885559082,13.7,-2.6988636363636465
6,AGESA.IS,0.5278048030804698,1.2096065512854375,0.6818017482049676,13.728746689679213,0.7679375225464778,193.7062937062937,69.51139798066173,16650428.0,51.48244729694197,16431261.592284638,21.381858613204052,67.19884984775271,3.872966509382559,0.0225435130466398,6.936210389730664,133.78427999159868,132.5666707356771,134.1,2.444614209320073
7,AGHOL.IS,1.1012523009308048,0.5473244976647758,-0.5539278032660292,11.604114031536621,0.39778491760713214,7.078507078507079,40.73705557122989,9063.0,43.91647328487447,-12021938.922149584,23.034648775264486,-55.33955417314715,0.08833922261484099,-0.1348411244287532,9.247663148525847,281.01318458417853,281.5833333333333,283.25,0.17683465959328348
8,AHGAZ.IS,-0.09440749868553654,-0.07971732819525845,0.014690170490278088,13.827780105809126,0.4287967874774347,387.2807017543858,53.86397889383841,315947829.0,49.95085161293593,177819999.92236334,14.157872927058595,-6.1738731980531725,2.4015370188708425,-0.14666385721360756,0.9591753944559457,21.71833655413459,21.49999936421712,21.32,-1.2962962962963065
9,AKBNK.IS,0.5735194339080573,0.6429308247673498,0.06941139085929249,12.191003515008944,0.8180744095547394,32.51101321585904,49.01717123484111,1567690175.0,46.73443110157933,-1517775897.2874374,43.58806126211042,52.77755074200359,2.68714312261316,-0.0670258305013957,2.305712930814507,51.46304275249613,52.56666692097982,53.5,5.418719211822665
