,symbol,priceToBook,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,CCI_14_0.015,ROC_10,STOCHk_14_3_3,STOCHd_14_3_3,WILLR_14,MOM_10,ADX_14,DMP_14,DMN_14,EMA_20,SMA_20,TEMA_10,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,ATRr_14,NATR_14,KCLe_20_2,KCBe_20_2,KCUe_20_2,OBV,CMF_20,MFI_14,VWAP_D,AD,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,STOCHRSIk_14_14_3_3,STOCHRSId_14_14_3_3,change
0,YKBNK.IS,0.97006035,23.62,49.47,26.4,38.98933,41.0,24.349,23.26,23.12,23.88,buy,21.92,39.46,46.296374820013504,-0.8434927702607808,0.2450939125056677,-1.0885866827664485,72.69163172863425,0.0,48.78051112827209,41.824768180381845,-30.894252210509343,0.0,34.980791864654165,16.540948216648566,25.548771687928202,23.65530746860531,23.249999904632567,23.29087186123128,22.28147520720076,23.04000015258789,23.79852509797502,6.584417885100849,0.8823214319929138,0.9842568133672406,3.881917002427295,21.74984651782245,23.65530746860531,25.56076841938817,949100434.0,-0.25385185356285905,48.14654309164956,23.540000279744465,-5168130428.721968,-1.431194083205516,1.8607924611779671,-3.2919865443834833,82.92483588780924,74.27230611975777,1.5477214101461634
1,SAHOL.IS,0.5268073,72.2,175.0,140.0,152.81,151.69,137.052,73.1,71.7,73.4,strong_buy,71.7,111.0,30.648614368848744,-3.300086174557393,0.16578820618919465,-3.4658743807465875,-130.90278326020527,-6.050750316468482,7.608814504034538,11.988591478537463,-93.46405359125004,-4.650001525878906,38.618769052269094,12.548092900288557,31.113714234180478,76.7221705555645,76.2375,72.58992064770457,71.72104779496644,73.28999938964844,74.85895098433045,4.281488900936205,0.1526335021740498,2.7182220607169376,3.290705936671496,71.62538478834475,76.7221705555645,81.81895632278426,-100071502.0,-0.36323444832375645,38.12260974100927,72.43333180745442,-377725025.2781745,-2.4943816923039273,0.7432185040023751,-3.2376001963063024,18.6382195940786,26.275396936827672,-1.2311901504787892
2,KRDMD.IS,0.5062169,22.84,47.72134,34.90299,42.690914,43.20403,45.119,23.26,22.7,23.54,strong_buy,21.88,34.06,32.03458816708022,-1.257832882946012,0.004829783616290495,-1.2626626665623024,-142.66525731571406,-3.7910683538641123,4.958147551292009,7.4819419996957715,-95.10491422595956,-0.8999996185302734,40.85128734331457,11.376512544302052,33.897213371342964,24.715569590790672,24.457999801635744,23.096554076983608,22.68740143649567,23.315999603271486,23.944597770047302,5.391989856507094,0.12138017906966327,0.9424704704355398,3.552373283306362,22.95789212254746,24.715569590790672,26.473247059033884,2104722921.0,-0.3491759662144178,22.679546784237168,23.02666727701823,-831485445.9269444,-5.7982473013130695,1.0112638689916675,-6.809511170304737,43.214904711995324,50.333279054460746,-1.8056749785038795
3,HEDEF.IS,5.822253,8.32,,,,,1.429,8.52,8.32,8.7,none,2.86,9.42,55.984567902170845,0.5187998222806183,-0.12541191125647855,0.6442117335370968,-93.79787603672598,-3.255821793320155,38.85612922452297,49.073384443443025,-79.71016596004934,-0.2800006866455078,48.60092669719168,22.304923990399455,15.8220343898047,8.228374185456733,8.467999958992005,8.469052292404655,8.181322734052491,8.603999900817872,9.026677067583252,9.825131837233096,0.16404595714618306,0.5832771334942349,6.880058909784348,7.057386807717544,8.228374185456733,9.399361563195923,251252766.0,-0.02618924582136627,52.756237950263575,8.446666399637857,-109616361.5617946,7.472277365415592,-3.729001248248612,11.201278613664204,3.7707421492528206,6.182828079618445,-2.3474178403755763
4,LIDER.IS,5.5152555,199.2,,,,,36.118,198.4,197.6,203.0,none,62.4,216.9,56.56246489753773,5.221075757578689,-0.5482890449378255,5.769364802516514,12.517672924473107,-3.300972355222239,65.45424594023832,65.5117842267329,-39.954857394004776,-6.8000030517578125,26.320911841368417,26.38847851198152,13.848462977396451,193.13127567465068,191.06229553222656,198.3387966069494,192.6744842847747,196.8800018310547,201.0855193773347,4.272163253928453,0.7758275398517419,10.915779054459398,4.9770284281625266,171.9392729222899,193.13127567465068,214.32327842701147,54334727.0,0.045947033299086754,53.806587002510156,199.93333435058594,10665624.683640938,4.025297601426599,1.2782089311322635,2.747088670294336,50.72792300800572,56.5767209174143,0.40322580645160144
5,ASELS.IS,4.196374,144.2,184.0,56.4,117.87444,114.0,34.363,137.5,137.4,146.5,buy,54.1,146.5,69.92934572609275,6.321092931557047,0.3160543566554468,6.0050385749016,162.85386143146707,12.74432777787355,76.96709265195237,67.44410014427955,-7.744118815116375,16.29999542236328,41.70411887085721,42.59437509555973,13.94016834873744,129.87160346476153,128.76499938964844,139.49211370686828,124.49972555555553,135.23999938964843,145.98027322374134,15.883279920977268,0.917121467152541,5.486560026239275,4.035837636542896,118.6332638211764,129.87160346476153,141.10994310834667,1838836911.0,0.18764801530978445,74.5129176220633,142.6999969482422,423775778.2594735,6.389083253495017,1.3204647810115189,5.068618472483498,54.42921968431818,39.99198550116352,4.872727272727273
