,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,CPrice,change
0,A1CAP.IS,86.95654677783652,82.30295821858329,96.60408357109402,98.3355918688269,0.022452055901085583,0.04530068990762132,0.022848634006535733,14.919720662834052,0.8279993525498875,28.985507246376805,61.17595423621155,225821037.0,59.767188887192944,-507585237.8527743,11.929613623338271,105.61796139472796,8.31556208373972,-0.06679646218678838,0.20715021889749186,5.057332659831637,5.083333333333333,5.180735236866198,-1,4.972394245786134,5.08,-0.5870841487279899
1,ACSEL.IS,9.059158622481213,11.231581040258378,3.599051081805902,3.5050991732465224,-1.1282068056839574,-1.5788520299419324,-0.45064522425797493,25.328922825241595,0.2919533838548548,19.969969969969988,70.00979957282138,1975562.0,45.47180056025927,-7078295.104048436,21.15876515433235,-74.78020357304922,-9.816968154703305,-0.10608825715118499,6.210223944117652,109.0685605712643,107.86666615804036,105.31587579710629,1,113.74942552528474,108.4,0.9310986964618184
2,ADESE.IS,79.09604399914048,84.9340909319749,66.0535189228688,78.12717282078317,-0.004045545885249871,0.06640163161239754,0.07044717749764741,66.37275606378955,0.7414708445127391,70.58823529411764,75.88347074729782,1363840873.0,62.57855409438002,-1934548459.7057624,38.85579676776663,92.00345386060401,36.70212445538633,0.05018561502131816,0.1650436862099456,2.6730932969350603,2.669999917348226,2.350843006454433,1,2.6539119661719117,2.57,-4.104477611940305
3,ADGYO.IS,10.537240323543061,11.986152413454839,20.326982741170045,21.62367182632894,-0.008621053468842954,-0.21427584879342604,-0.20565479532458308,12.618739070523326,0.11038030409293323,29.26421404682275,29.036133153473415,73850689.0,41.09287508250355,-40806261.74774373,15.514633048781386,-114.84363128483972,-8.540466760680681,-0.2296122214917206,1.0246048819792664,29.0251116278689,28.84666697184245,28.347635925140978,1,29.871486475331896,28.7,-2.114597544338337
4,AEFES.IS,11.192225222621394,10.584173338106377,8.846027321830025,8.034424972135414,-0.7390326019459205,-1.3397286796051149,-0.6006960776591944,14.532849929585755,0.09749271627310083,1.6747181964573234,52.14395389615106,-27065874.0,36.38919061999256,-186411550.39748946,22.323720250144923,-152.7053264715948,-8.096673049235273,-0.21547055476902224,5.627543133731833,152.8919889593221,151.5,165.09460192434284,-1,166.57821647317834,152.1,1.603206412825653
5,AFYON.IS,14.914018606443923,15.222084447002368,18.736019676813026,14.650591553929805,-0.019540055624264092,-0.035415983891654096,-0.015875928267390003,6.958190205752822,0.3546728067515369,31.103678929765916,56.22246229527916,369093047.0,46.05137485012197,-390895610.79142684,17.765541604766018,-65.40385253251792,-0.8106091315477438,-0.2733716747827949,0.38404223110251656,13.3899796217015,13.426666577657064,14.31625565186635,-1,14.076917980972887,13.46,0.5979073243647326
6,AGESA.IS,66.45244036781084,69.99564968588993,71.7318464985779,73.70510310458883,0.1692419386020555,1.1657466455854586,0.9965047069834031,17.2291545434585,0.8686385627426307,75.37500000000001,73.11288552854839,16238966.0,58.00399218997365,14940387.213010512,20.977030665482253,119.06502740984838,3.1002185626308396,-0.010545926355541116,7.0313843232846525,140.8157229936147,142.70000203450522,121.47892287203543,1,134.0420442672105,143.0,1.9244476122594278
7,AGHOL.IS,33.22011322011323,20.225851352611926,43.71477364821746,26.886072763655346,0.38947526220257284,0.5201128810265168,0.13063761882394392,7.694859779325473,0.5175696553448454,6.110458284371328,45.90594905532182,-2965136.0,46.689892789283014,-15788230.635354532,22.62822761784711,-31.128642632175357,-0.08992805755395683,-0.23618389170263823,8.496139724421097,272.82505070993915,275.8333333333333,287.70788007939234,-1,283.4202064725598,277.75,2.6802218114602594
8,AHGAZ.IS,34.47293331181452,27.44539558281269,29.965791163908204,20.52421396955687,0.04831411415836624,-0.026103868222147802,-0.07441798238051404,8.687609082611901,0.859904840051806,90.63906390639062,51.9874889948192,338447523.0,57.756958588198366,168871594.02115697,13.75656134897712,99.54076809553916,2.825883850469087,-0.15132521655020834,0.8876385325111461,21.958032076063795,22.386666615804035,20.006389817099635,1,20.77260206153261,22.56,3.8674033149171283
9,AKBNK.IS,32.18785353134803,27.300481782161416,67.91151460804416,62.03806455126405,0.08465467025857032,0.47955133136020045,0.39489666110163013,8.82206046648382,0.47618912735990454,12.500000000000014,37.85155897914671,1260068639.0,41.67828409955534,-1653702751.131959,34.441960964937095,-44.71118811355926,0.20088849190560762,-0.13279966809500332,1.8756496128865148,49.65856048011393,49.62666702270508,54.678291801721045,-1,50.6834159180918,49.88,-0.04008016032063244
