,symbol,time,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Cloud_Position,TK_Cross,CPrice,change
0,A1CAP.IS,2025-07-03 01:02:37.317033,29.345179370979523,29.289135027904965,-0.0168393474169095,-0.001990299908198989,0.014849047508710512,33.782748946412255,0.751845006796293,86.75623800383877,53.149860417052686,63.379824330103695,41.807639688337844,94.70052188188161,0.0,-0.10842094344629379,0.6023847812983845,8.751511269118675,8.869999885559082,7.156219194609454,1,7.9233650796127835,6.740000247955322,6.460000038146973,4.927500128746033,5.005000114440918,Above_Cloud,Bullish,8.8,-1.1235955056179692
1,ACSEL.IS,2025-07-03 01:02:37.317033,95.97000501111533,79.74993969594289,0.4019955337567488,0.6363332164729494,0.23433768271620062,11.117513223295404,0.5651293678613873,14.23611111111112,56.50707515414098,49.11357524570431,14.637017398029176,48.858974895988176,0.39681932973651796,0.0831418484612912,3.691744136983567,100.6889943941128,101.99999745686848,106.87622245465941,-1,102.25983134351014,111.3499984741211,118.04999542236328,107.13749885559082,109.54999923706055,Below_Cloud,Bearish,101.2,-0.7843137254901933
2,ADESE.IS,2025-07-03 01:02:37.317033,2.9216635980815227,4.562976089463877,-0.17069059617972338,-0.08858933765515697,0.08210125852456641,74.89105155888468,0.6607280190253436,86.45083932853717,56.27302440300045,67.69774594183099,61.00203844855878,50.33545548611758,21.79835687375691,0.141009200908981,0.6172785875711666,9.121744278236529,9.019999821980795,7.697324538731202,1,8.877453788231037,3.049999952316284,2.7299999594688416,1.912500023841858,1.9950000047683716,Above_Cloud,Bullish,8.94,-1.106194690265483
3,ADGYO.IS,2025-07-03 01:02:37.317033,38.34381413819526,57.091909395597305,-0.22900215613717917,0.12475219010162264,0.3537543462388018,28.41642467851811,0.6492948823402224,63.40640809443505,61.19875140291996,59.43737894504328,30.36906713824097,53.95448115694033,5.604536126630172,-0.008090525635302024,1.455034612916151,34.11219105517405,33.86000061035156,30.47471942650638,1,33.44430048720043,28.40000057220459,30.019999504089355,30.12999963760376,29.149999618530273,Above_Cloud,Bearish,33.54,-2.3296447291788147
4,AEFES.IS,2025-07-03 01:02:37.317033,99.26993952238037,99.75664650746012,0.13441805558184822,0.2511278292771851,0.11670977369533686,16.114304427974982,1.0003226823956648,12.017416545718433,59.07910018715218,60.91382997813609,21.215550471165667,206.2788479095745,9.039142255149892,0.04758281933864428,0.5322233463136115,14.964117455434122,15.469999949137367,13.923279105783125,1,14.54279446074901,16.173566067532157,15.92069885111055,16.612363468098962,16.947039870158022,Below_Cloud,Bullish,15.32,-0.7128969539857422
5,AFYON.IS,2025-07-03 01:02:37.317033,100.0,86.97452331867491,0.1076469892966363,0.14687627614386828,0.03922928684723199,14.402299701809943,0.9478409655932076,28.23129251700681,65.68556989700286,59.41659377887084,26.885561023854898,148.71227951875443,8.529644202020597,0.24387290644113904,0.41169364632674704,12.940618308030567,13.34333324432373,12.033446626658412,1,12.846759216766525,13.579999923706055,13.71500015258789,13.841897635719544,13.73904319611152,Below_Cloud,Bearish,13.36,1.2888551933282866
6,AGESA.IS,2025-07-03 01:02:37.317033,67.98472694897204,64.86691362315302,0.12423550039805775,0.5151418717613327,0.390906371363275,15.67295852734655,0.6913545499321839,85.82907231555882,68.222672666587,56.6303487046584,24.52500582921917,106.9540010331742,0.9900990099009901,0.3115901560752451,5.815463579925489,154.1102412380505,155.0,138.87433847660594,1,146.9067000313549,146.3499984741211,136.5999984741211,133.5,140.54999923706055,Above_Cloud,Bullish,153.0,-3.7735849056603765
7,AGHOL.IS,2025-07-03 01:02:37.317033,100.0,82.34507003721806,2.2840660261649646,3.5221345173300476,1.2380684911650828,13.182793841879255,1.0661331544409425,14.013405948889815,59.79025349525624,60.05344105430498,23.575070560938318,197.90862634016062,9.161991444554612,0.1622750989354224,9.10697520805074,263.00360102779246,274.25,246.8377507708096,1,257.09574303814605,288.875,284.25,297.0625,307.75,Below_Cloud,Bullish,272.25,1.2081784386617
8,AHGAZ.IS,2025-07-03 01:02:37.317033,19.388787095056923,15.893422625572049,-0.1105574559725424,-0.25444767589850015,-0.14389021992595774,12.159919182823,0.465091018647819,87.55043227665705,59.63782862409642,57.239603631872015,33.471073143468395,21.360106717458347,0.5813947847045613,-0.09139149728402296,1.1114833903436605,27.69436116247583,27.96666717529297,25.84204576045484,1,27.93370527674725,24.3100004196167,24.039999961853027,21.597500324249268,20.05500030517578,Above_Cloud,Bullish,27.68,-1.1428571428571455
9,AKBNK.IS,2025-07-03 01:02:37.317033,99.34368398571145,93.31211773302248,0.4113396913504501,0.9662730177443839,0.5549333263939338,25.46865992871855,1.0762619425984248,76.56250000000001,64.87376590334692,80.31178260836471,23.259144864450295,219.8857468812911,15.442403613301536,0.22047333401499125,2.272752083348971,66.817139731943,69.08333587646484,61.935220506889,1,62.437647596142355,52.39999961853027,51.19000053405762,56.20930063989176,61.31860280566242,Above_Cloud,Bullish,69.15,1.2445095168374998
