,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,CPrice,change
0,YKBNK.IS,35.04272616016929,47.57832789736856,63.40648059731196,76.53991827978199,0.07068883363623518,0.18252178035905242,0.11183294672281724,10.260899827430853,0.17519739210227736,4.904306220095673,30.34308628821525,51227639.0,38.014421248349116,-5503205083.11337,38.253046359849556,-136.6899227314377,-1.4731375810736802,-0.24094280664953302,1.0583430434610934,23.02294095292778,22.71999994913737,25.57219586213663,-1,23.82759694505956,22.74,0.619469026548658
1,SAHOL.IS,17.008191911468312,30.844188651486565,33.495921962498436,58.42028664812193,0.10404247886447271,0.3697823224518917,0.265739843587419,9.149981563790101,-0.029777307099480455,0.67842605156038,46.69737972944219,78806727.0,31.526412011798346,-269560577.8121411,38.074092730143384,-179.99710675256787,-5.239614663413539,-0.19479505551840273,2.9760992444867136,75.65167333049658,74.46666717529297,82.98071385498629,-1,78.69705767677672,74.15,-0.7362784471218187
2,KRDMD.IS,31.42250285747839,27.46664429423016,84.49687326404586,76.90433385519526,0.19618665361018925,0.0017738197953396373,-0.1944128338148496,25.722375402843966,0.29346773157101663,24.03258655804479,30.604462355186868,2168491702.0,35.767464535960265,-570011681.8032889,38.73677078379201,-73.15000590942279,-5.164318162772509,-0.2628016424928448,1.0038438249163175,24.354198645384752,24.31333287556966,26.90293246309102,-1,25.11365481638159,24.24,-0.24691358024692134
