,symbol,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,CPrice,change
0,XU100.IS,27.32635274675767,25.97918885067216,-1.3471638960855108,4.810785924422034,0.5120717286986306,,51.0246661696654,62383278000.0,46.121781254884084,-59052468729.43457,30.810995688790495,18.147577488667586,-0.4695529416613856,-0.2976477647820386,207.66920987032233,9406.082097608709,9463.966796875,,
1,XU030.IS,38.92307499458585,39.35126545955569,0.4281904649698385,5.801833500905183,0.5158833436235407,,58.10758556997044,37952600.0,45.13884798124419,-48165954.88429332,30.574085852494875,20.404783622574552,-0.47438791233580646,-0.2613780839676089,244.47517469285464,10244.572447863844,10320.366536458334,,
2,^GSPC,26.365682519375348,38.279392576732704,11.913710057357358,14.152644764008045,0.7114366342879586,,70.25927769565598,127605660000.0,53.02552625744792,116605616548.37634,32.20320614886832,65.81193210485134,10.886313020268183,0.02773382430334705,161.1204083912805,5432.835952851641,5503.059895833333,,
3,^IXIC,100.36441057265506,161.25571678394272,60.891306211287656,15.867374041855522,0.7854164604283714,,50.7287944479295,141622450000.0,54.020640930295926,193782049093.23096,30.788044609460226,93.4451751460029,13.852775364997818,0.07554248614948829,608.7306647990957,16967.646605207276,17299.383463541668,,
4,^DJI,119.36050501527805,129.2417428754236,9.881237860145541,13.095300573987371,0.525844223755531,,61.04362378146693,4998940000.0,48.044974862708465,7014868106.776414,31.90064402520671,2.5132079155367157,6.555642152223384,-0.00011307796092053681,1073.4485129160423,39801.69548681541,39989.829427083336,,
5,^GDAXI,165.36574555286506,190.31199919699532,24.946253644130238,17.059936521058408,0.7370377484363955,,47.75380285198579,115704500.0,56.48138479817071,1412599795.0248933,26.594057388248697,73.22884928106527,12.394528973474394,0.04111490980145922,566.8017694334308,21906.2174188641,22213.049479166668,,
6,^FTSE,38.96333512850319,52.193773018132674,13.230437889629485,14.687377128081955,0.6221541265092838,,62.91895236132109,8268927800.0,53.15489759443217,4143754642.828308,24.397087492908515,40.12661321619453,9.259808337836024,0.07636781213379472,144.84434424044483,8373.434176617171,8418.366536458334,,
7,^N225,174.58911114853422,316.2638402297646,141.67472908123037,13.86274793601579,0.8073211060734318,,64.87838524404704,1666200000.0,53.514384033896974,-913541374.6262717,29.807765627876055,109.58530884124299,12.586571535923788,-0.0046208672068774395,886.5957547809373,35091.0492381624,35626.333333333336,,
8,^HSI,170.22912365254194,95.22772056355745,-75.00140308898449,21.45496397128804,0.5220415289451457,,45.47125970500197,20233175600.0,49.01987059580371,1772884996.920747,25.64353613619417,11.556655281202275,10.855390367894689,-0.03287981104511479,609.5616726416481,21831.1947737069,22057.533854166668,,
9,GC=F,-6.425826187740556,8.456492329740769,14.882318517481325,16.611583677952616,0.6853402475345459,,56.96793241559304,417072.0,59.37755286433423,25174.134042773967,35.39713062911817,68.00433388826235,10.578089554310928,0.08827224706600273,74.73959800773508,3309.3969285821818,3301.3333333333335,,
10,SI=F,0.13542992288668418,0.211257762717753,0.07582783983106883,20.52193157341925,0.6065026063422686,,43.06294868082432,183657.0,53.072108520384845,830.873438469892,18.85082354655766,31.385185673122294,11.479452107771131,-0.3706245016891661,0.7280639287426768,33.081789231445434,32.98899841308594,,
11,PL=F,2.113382174241478,4.605637594006643,2.492255419765165,13.033850054566056,0.6113743369087181,,62.24190021748742,7117.0,51.7281826854211,-7947.577200421206,11.727051608545919,34.32244879025979,7.247667182801384,-0.39801257782582855,13.293421443691253,965.3119601545663,,,
