symbol,price_change_pct,current_price,start_price,current_RSI,rsi_change,current_ADX,adx_change,current_MACD,macd_change,current_MFI,mfi_change,current_Stoch_K,stoch_change,current_BB_B,bb_b_change,YF_pct,trend_direction,BB_potential,BB_downside,period_high,period_low,period_volatility
KLRHO.IS,112.79422517981143,56.04999923706055,26.34000015258789,81.92053739290722,34.18522771346663,57.760593568977036,36.549138578297075,6.8540320648253825,6.825785113158634,77.16456604625236,19.724104919494586,93.08992871379218,86.59050584548493,0.9364910946455499,0.5477281994962082,92.67955395019797,uptrend,4.608714688479143,-67.95929231396242,58.70000076293945,25.579999923706055,10.432755101907212
ADESE.IS,86.09021238882053,4.949999809265137,2.6600000858306885,85.72714119747133,-2.2720782035517004,52.410163627455724,22.97814675878773,0.6591474214130768,0.5456756118480666,84.17377601022245,-0.8506940922133595,94.06060305508701,-0.0570491598480487,0.9989306922788674,-0.26480698033807504,91.47726726248735,uptrend,0.073063594122047,-68.25487669668287,5.25,2.4000000953674316,0.8675244378863343
DITAS.IS,67.6567647416845,20.31999969482422,12.119999885559082,77.19997350035882,40.14233055844179,41.533716906308,22.713232256061456,1.6948474000164246,1.9742661272461657,89.99236126712826,41.00563617375507,77.52863368187083,75.29311377931987,0.9509546995807919,0.8564931159175643,90.6249909778132,uptrend,2.7703524620910525,-53.71523205695217,21.280000686645508,11.710000038146973,2.944011691393243
TEKTU.IS,64.030604673296,6.429999828338623,3.9200000762939453,79.59422213333038,33.03556804588059,37.042927692795246,10.340532975864225,0.4783729678149795,0.5874425598972102,75.688848802251,26.23226672754806,92.1389787032432,76.82184513444994,1.0500977557496505,0.5981313291191337,97.91666856380533,uptrend,-2.0742293233339204,-43.47786691738714,6.489999771118164,3.7899999618530273,0.6828536983653101
SUWEN.IS,44.955926889701914,14.800000190734863,10.210000038146973,71.91706820126313,12.860137848852382,61.560616051420354,23.940853909160758,1.224617699571482,0.8712105818380103,76.36974394813187,-4.714426361520111,69.31542823606846,-15.120554597746022,0.7553638118804957,0.03960885762198174,85.18971815363984,uptrend,9.832352586395254,-30.35938135932893,16.010000228881836,10.100000381469727,1.5257264312227004
IZFAS.IS,43.03030303030304,118.0,82.5,79.43196502120641,2.334250418762778,56.395783124141545,15.157066927205022,9.520308935307611,6.4725522436364145,88.95213600487403,16.538268036863002,88.97556175370043,21.061455893979513,0.8682965214709993,0.08930084030778151,95.10603582815989,uptrend,5.642076535926144,-37.19716050581824,121.0,80.0,12.965878298278895
SAYAS.IS,42.39631177278016,43.2599983215332,30.3799991607666,70.9172343012731,29.749789585943752,35.33556472407585,15.719578208030203,2.068559261080104,2.8024447658198888,83.3618477245235,27.796436279607647,80.1117636009081,64.00064401269196,0.915649921078324,0.6025197082802394,100.0,uptrend,2.7686648614914544,-30.05483568392382,43.2599983215332,29.799999237060547,3.6420809967580583
DOBUR.IS,40.814393939393945,371.75,264.0,78.28583495077751,4.996706240379638,71.38436915005167,38.88588683528807,29.100951059858744,16.640766526515364,73.95945473307412,-9.769101485487155,83.91638507917577,-0.8966082351223719,0.9804624165896257,-0.05166863496432994,100.0,uptrend,0.6371715502715647,-31.97543651328435,371.75,247.10000610351562,31.096729393094837
EMKEL.IS,40.06488697992459,34.540000915527344,24.65999984741211,62.59183001111312,0.18958793641309768,41.3713882694925,23.35930902790738,2.7480080351476097,1.9907388042412109,69.1534197391413,6.358928323046591,62.6669898698022,19.547719935095344,0.6531620809407273,-0.10043246962741026,82.99288291633526,uptrend,17.07238088475258,-32.15055567033325,38.119998931884766,22.81999969482422,4.360819089670996
MRGYO.IS,38.518516425406204,1.8700000047683716,1.350000023841858,63.53691369097589,19.509200266489927,36.86003934130759,24.027363946367977,0.13857060689609413,0.15016873462489855,84.46521680620482,16.81668684895537,77.15591631904357,70.75861361117342,0.7614355958988869,0.6355297728266724,73.40426624711758,uptrend,11.443059851595216,-36.52327399737747,2.119999885559082,1.3300000429153442,0.2300680648250051
BIGCH.IS,36.96000671386719,34.2400016784668,25.0,74.1970134314687,33.31941796923735,27.053812182218476,13.817748997367435,1.5787513398870487,2.370747269452277,76.74581103554362,39.67390583826509,91.60566692849663,75.41527167475073,1.0300654509873648,0.8923342643955352,89.70589587341064,uptrend,-1.0860341536690243,-37.20836453632121,35.5,23.6200008392334,3.1723985578675515
IHAAS.IS,36.57527016414348,26.399999618530273,19.329999923706055,78.80527909988093,33.994300038217986,42.85579073601992,16.699010428864877,1.4097958517167442,1.3885546724244726,89.76533045540653,16.21496760641442,91.14503991779115,72.50703679493607,1.0323613716644575,0.9327352297231788,87.38738909023925,uptrend,-1.1521004201003882,-36.753200152400446,27.799999237060547,18.899999618530273,2.410713169126583
ARZUM.IS,35.84905915007377,4.320000171661377,3.180000066757202,71.90547012982165,32.56869322902668,38.42163203060627,10.232788623690698,0.2574298303049245,0.4013675995066466,76.60622995276067,42.71124073116654,94.37536347940006,67.25305074618213,0.80669826175235,0.48061799817520384,91.17647986923444,uptrend,8.294137782016353,-34.613586986553756,4.440000057220459,3.0999999046325684,0.4754419037899967
DMRGD.IS,30.227530378093135,24.040000915527344,18.459999084472656,66.4971116351796,3.210974534303226,61.27337138185833,24.37799129336979,1.8620405421845376,0.9067460751640937,76.29811366349303,1.9723499006968837,73.33863314931033,20.66809234124979,0.7489048042482539,0.008845945125811938,87.6436831614413,uptrend,9.112354660518562,-27.178083446978363,25.760000228881836,17.43000030517578,2.2377156387673245
