symbol,priceToBook,bookValue,recommendationKey,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,fiftyTwoWeekHigh,fiftyTwoWeekLow,start_price,start_RSI,start_ADX,start_MACD,start_MFI,start_Stoch_K,start_BB_B,current_price,current_RSI,current_ADX,current_MACD,current_MFI,current_Stoch_K,current_BB_B,current_CCI,current_ROC,current_ATR,current_OBV,current_CMF,current_AD,current_FWMA,current_VWAP,current_kama,current_Supertrend,current_st_direction,current_StochRSI_K,current_BB_Upper,current_BB_Lower,current_BB_BWidth,current_MACDAS,current_MACDAS_Signal,period_high,period_low,period_volume_avg,period_volatility,price_change_pct,rsi_change,adx_change,macd_change,mfi_change,stoch_change,bb_b_change,YF_pct,MACDAS_diff,BB_potential,BB_downside,trend_direction
A1CAP.IS,0.8333333,7.488,none,,,,,8.430000305175781,4.28000020980835,4.909999847412109,56.03750163195755,7.306718611241222,-0.036781840254128895,58.42180249803398,37.974686600460785,0.7520822597164769,6.239999771118164,55.085917416630146,36.006338444605355,0.3970682761841733,65.84645326281152,38.148946157316345,0.5373764923236644,9.458352253456953,7.032587526201507,0.4387869431451357,-205003388.0,-0.32538091756127707,-367951079.43545777,6.384736215367036,6.2533332506815595,6.752339530145273,7.673049781144531,-1,0.8532177651618214,7.824303587211457,4.399696342216643,56.030878023001335,-0.06026814112826706,0.0632439383284352,8.430000305175781,4.820000171661377,40736237.2,0.8783932244396634,27.08757566269684,-0.9515842153274008,28.69961983336413,0.4338501164383022,7.424650764777539,0.17425955685556005,-0.21470576739281255,47.22890400647763,-0.12351207945670226,25.389485163545068,-29.492043211593767,uptrend
ACSEL.IS,2.2215312,45.014,none,,,,,131.39999389648438,95.0999984741211,112.0,48.33795473508306,31.737108073215765,3.2210249877813624,64.9327622762384,47.49706081889718,0.46220553351357735,100.0,36.36145120203516,13.820094450858708,-3.0092810567149115,36.794150937711365,5.540887253769132,0.053626574717652836,-113.54246540516517,-9.173477397000227,4.421968920359464,747713.0,-0.4930956138558072,-1488672.1534216136,100.9577084245353,102.10000101725261,98.31187137084555,112.14788940510702,-1,0.0,114.1095214843502,99.20047912600135,13.978756097406652,-0.9942172288714488,-0.964807958417903,118.0,99.05000305175781,123359.7,3.824088677496609,-10.71428571428571,-11.976503533047897,-17.917013622357057,-6.230306044496274,-28.138611338527042,-41.956173565128054,-0.40857895879592454,13.498628495308761,-0.0294092704535458,14.109521484350207,-0.7995208739986492,sideways
ADESE.IS,0.47955823,10.322,none,,,,,5.25,1.7300000190734863,2.6600000858306885,87.99921940102303,29.432016868667993,0.11347180956501024,85.02447010243581,94.11765221493506,1.2637376726169425,4.949999809265137,85.72714119747133,52.410163627455724,0.6591474214130768,84.17377601022245,94.06060305508701,0.9989306922788674,169.66007774764114,87.49998532461456,0.3165774316566792,1540837592.0,0.29132228280098454,626385715.1204178,4.6880932403142745,4.933333237965901,4.256047648875377,4.026120697163449,1,95.75293408586681,4.95361645703482,1.5713835429651803,103.66997437761349,0.22095419514974152,0.14247486753781252,5.25,2.4000000953674316,100477148.05,0.8675244378863343,86.09021238882053,-2.2720782035517004,22.97814675878773,0.5456756118480666,-0.8506940922133595,-0.0570491598480487,-0.26480698033807504,91.47726726248735,0.078479327611929,0.073063594122047,-68.25487669668287,uptrend
ADGYO.IS,1.1444921,24.465,none,,,,,32.599998474121094,26.020000457763672,29.100000381469727,40.040888196423644,10.161468302843781,-0.06740896558563847,32.59319788376581,6.884063041355103,-0.04218425871632478,28.0,44.6535445676634,24.89663484115469,-0.5510205414853608,56.90107718882413,53.568069376747104,0.3738045825173566,-60.56964654316287,-3.2481013016962157,0.9503404445371149,1268729.0,-0.3739621520761662,-8409907.12722891,27.95787033444728,27.953332901000977,24.94244450887913,29.565339671012914,-1,87.14097359342634,29.761548791426144,26.94845124672083,9.920992921223895,0.028684962238614387,-0.09369919222325393,29.920000076293945,26.719999313354492,881885.6,0.721544295792852,-3.7800699898622114,4.612656371239758,14.735166538310908,-0.48361157589972237,24.30787930505832,46.684006335392,0.4159888412336814,30.09118752489265,0.12238415446186832,6.291245683664792,-3.75553126171132,downtrend
AEFES.IS,0.93141127,149.558,none,376.0,178.0,288.7143,274.0,190.69139358856347,139.0,157.7691192626953,39.712670933109166,17.14055419896733,-2.6587569411474874,51.98681560846438,31.384000572304704,0.11548143607895014,139.3000030517578,30.311016882946205,18.941384028911443,-5.11251914093566,25.013156827190393,5.1512068443195185,0.024680128067394808,-137.72430230214917,-16.383875431537135,5.618949863076662,6458997.0,-0.32946228077569634,-76635487.2061959,144.1921970297792,141.3000030517578,121.58709524825073,158.5184927658298,-1,7.175750459412608,169.72648826284356,138.5300714905744,20.24055338658419,-1.4049256577377265,-0.6584078913234219,173.93276061097447,139.0,7239610.9,8.001712067743675,-11.706420304080723,-9.40165405016296,1.8008298299441137,-2.453762199788173,-26.97365878127399,-26.232793727985186,-0.09080130801155534,0.580373309618387,-0.7465177664143046,21.84241532269069,-0.5527146764651159,sideways
AFYON.IS,0.803988,15.647,none,,,,,15.186733164971006,12.291353227252037,13.649999618530273,47.57628347530959,17.6670513686765,-0.06138358750536277,66.58855953248336,53.56125332902957,0.38587112130308016,12.579999923706055,31.45454468879934,22.115520565718082,-0.24419547608757775,38.71761026942743,3.6934943123380983,-0.03687453755566314,-175.59239278473987,-8.906592748277292,0.31045000337124606,73208614.0,-0.2758688951331655,-19077425.44615296,12.806409612388688,12.646666526794434,9.70277803328939,13.551038036452864,-1,1.0017696138926893,14.080632765809447,12.633367173155396,10.8352593842982,-0.08939715382462962,-0.04444561153807801,13.989999771118164,12.5,2769588.75,0.37121579194517956,-7.838825822175577,-16.121738786510246,4.448469197041582,-0.18281188858221498,-27.870949263055927,-49.86775901669147,-0.42274565885874327,9.969216567875334,-0.04495154228655161,11.92871900798318,0.4242229711685086,downtrend
AGESA.IS,4.6193523,30.632,none,219.5,195.0,207.08,206.74,154.1014872776884,120.4000015258789,134.39999389648438,50.89944127661108,20.682685132159982,-0.9233755327442736,71.55094447082078,58.73510022297264,0.6525969644324785,141.5,51.410481346221474,20.0169859620629,0.715875081246736,59.75860977337871,25.777825249565968,0.4377367697466011,-39.349002530161414,-4.905915928791089,5.263638460437455,3160980.0,-0.010763076954278932,-58143.884252713615,140.49138136857906,140.63333638509116,127.73178234904448,131.15361493848803,1,23.801607909362943,152.38166788423695,133.0283342519935,13.561776733392696,-0.8392327471973422,-0.19672668609476623,151.1999969482422,130.5,381717.65,4.9640253368408045,5.282742876449897,0.5110400696103952,-0.6656991700970813,1.6392506139910097,-11.792334697442072,-32.95727497340667,-0.21486019468587741,62.60851117814057,-0.6425060611025759,7.690224653170996,-5.987042931453357,downtrend
AGHOL.IS,0.6440576,397.48,buy,556.0,356.54,488.84668,554.0,337.86498074401544,252.5,267.00653076171875,36.159948724446124,25.54310132316254,-8.635201175380871,41.36674433935731,6.032576653709849,0.056733789994863074,256.0,35.52902667156143,20.261357769559115,-5.9279637927386375,18.950184694388028,6.0150174821348115,0.16709743351385445,-109.03665418653883,-12.112010718456334,8.762871819052126,-6203721.0,-0.09670315002169814,-3727597.011825073,259.6366783281369,256.0,248.01680165019354,281.4799006534376,-1,1.3447004232402324,297.8859565628314,247.5968132125592,18.438398474430045,-2.0185515747218457,-0.3897685310716725,302.55835875437316,252.5,660470.6,12.898893105571815,-4.1221953374395826,-0.6309220528846922,-5.281743553603423,2.7072373826422336,-22.416559644969283,-0.01755917157503717,0.11036364351899138,4.100041925266139,-1.6287830436501731,16.361701782356008,-3.2824948388440633,downtrend
AHGAZ.IS,2.1009786,11.547,none,,,,,27.020000457763672,18.700000762939453,21.520000457763672,50.793882349605646,13.070291868776613,0.25262799156839577,45.824030507138254,21.78479207904931,0.41540548541093003,24.260000228881836,56.78721879046149,35.62446173914796,0.7432119140711357,72.55561664938149,46.53107796198206,0.6090401539437753,24.982094453749163,6.4969249237290825,1.013508573108323,68816500.0,0.08381866164766308,4033508.1053784396,24.27926976008541,24.073333104451496,20.92377107100911,22.55376359848731,1,16.983796331689756,26.701703575996852,20.45629660710862,26.487157829587833,-0.08559421364773945,0.0853880813335239,27.020000457763672,21.15999984741211,7384348.1,1.6019130875102565,12.73234067302107,5.993336440855842,22.554169870371346,0.49058392250273997,26.731586142243238,24.746285882932746,0.19363466853284528,66.82691910915811,-0.17098229498126333,10.064729283094298,-15.678910081974607,uptrend
AKBNK.IS,1.0905393,46.72,buy,105.0,56.0,80.20333,80.0,74.53720713720375,47.880001068115234,49.5,36.406311051954155,50.07607566763678,-3.6015929548884316,50.0244891056424,17.82931147192129,0.2993175444458601,50.95000076293945,45.75902807471876,18.36881049546086,-0.43738074335495725,69.59041573243131,45.6759836560742,0.45256805121076954,18.14024780978516,-2.4880368173407597,1.7882638507387472,577210399.0,-0.03633806611491217,-1096689037.254826,51.67718105819114,51.56666692097983,51.02527013515955,54.663497624042215,-1,46.233832664656795,53.89305927781221,48.51694171400908,10.499204202199907,0.33972636079735485,0.6043940118416846,54.5,48.58000183105469,114756732.5,1.3789450596816273,2.9292944705847646,9.352717022764608,-31.70726517217592,3.1642122115334743,19.565926626788908,27.84667218415291,0.15325050676490942,11.516584622062723,-0.26466765104432977,5.776365987836285,-4.7753856967557855,sideways
