,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,Supertrend,st_way,kama,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,CPrice,change
0,BTC-USD,88.67640673113529,90.29039067504426,90.62958363880125,94.6761177695122,86098.55759494136,1,92183.47988232019,-40.261040513998296,994.6249216650845,1034.8859621790828,22.658781565731875,0.8503631829431257,,67.23655203175898,361207770886.0,67.36473944772811,939514923338.9707,26.146182842032786,105.32998675533287,12.566018072140743,0.2512846446550587,2954.4308448564248,94032.65946691176,94345.453125,,
1,ETH-USD,84.74776220072276,86.03196201404262,91.00063299232973,93.1720321958506,1876.0116410921464,-1,1737.9045424272333,4.377475479899928,37.16351688671661,32.78604140681668,23.302667473951466,0.8376856786521598,,59.41433807255318,-144672722133.0,54.69479030613878,241169416746.10657,24.223151627037414,104.15900549633318,13.663095587746723,0.10198081056119664,98.32148195049072,1788.0778377757351,1789.4535725911458,,
2,USDT-USD,73.75680191078126,75.49603051000007,57.67896588614709,70.83015680707722,0.9964384906979084,1,1.0000307730801266,-4.835017124274292e-06,5.6322916734399743e-05,6.115793385867404e-05,0.131540765997098,0.8096572415414279,,51.46876700248314,-1239479535263.0,57.92688854216902,-5054290089599.83,21.83363666109451,114.39790251537036,0.04338260320654542,0.13498454079031136,0.0015057039845664207,1.0003587839932278,1.0004271666208904,,
3,BNB-USD,66.91486703819382,63.93982152785566,56.46491723990241,53.594870503750144,619.2874323962701,-1,597.1610778080978,-0.3538425788015225,2.2790892440166934,2.632931822818216,7.224247820160529,0.7594666447518514,,57.746402981357,4995018753.0,53.93342045625457,21938280221.95169,13.879870096670313,79.81544194722055,3.8398013886083096,0.12792817023207756,15.622171002986533,604.46032758175,604.1750284830729,,
4,USDC-USD,60.985741878500214,58.51459297867589,86.51629571424303,82.75269122485774,0.9974702057001178,1,0.9938891592680347,1.6039522419285498e-05,2.0145559854460268e-05,4.10603743517477e-06,0.03348009277053002,1.149878671466153,,52.51563860777585,82728710724.0,57.09754884092906,-676739076893.1394,24.48580467544408,133.819413580758,0.017715174095694605,0.07501171328005163,0.0013392652556241092,1.0000072295114428,1.0000557104746501,,
5,XRP-USD,75.52199782868284,69.09308780355572,93.335118440472,86.296545108604,2.317451755105769,-1,2.1427884803635306,0.00465288846788952,0.029047218392814607,0.024394329924925087,15.488305333032121,1.0180820232322654,,62.90025763406001,242921337462.0,60.8258879120246,194122998282.89865,14.852718634622615,160.6508232679678,10.366627564304311,0.05672258854272698,0.11422929082009498,2.2458808912950405,2.2916956742604575,,
6,DOGE-USD,69.95784366283884,77.41634848630694,87.73652932725507,93.17182158130844,0.15463296568695323,1,0.175353887431525,8.077667098287979e-05,0.0031567909827428264,0.0030760143117599466,26.492514594835974,0.7836244510864496,,60.27105952148085,109920624591.0,56.853253306845104,40396263587.64516,18.193996227908666,88.86762658811715,15.306558098421954,0.04715671724759448,0.010483855833575292,0.1790409998979578,0.17845060427983603,,
7,ADA-USD,75.22523431628865,78.77618273302149,79.16159871709328,85.13832207917831,0.6006373807866093,1,0.6756565549644357,0.0006140850306988084,0.011804783879303716,0.011190698848604907,24.16485785382806,0.8011978608419498,,69.43529326935153,39102324134.0,56.87391083626757,7872933859.313845,18.777242721170254,102.03108587941117,14.74328372520574,0.03089070630928915,0.0403429353488748,0.7015964616747463,0.7045696377754211,,
8,SOL-USD,76.42746958199302,81.2667140395773,72.02176946775792,80.46460850423811,127.84559121065625,1,142.46558767458305,-0.8409401892895172,1.6956838642981689,2.536624053587686,33.529327846881614,0.7424899713386944,,68.0624344093634,-63642653659.0,60.585181561944225,15728197449.574814,17.898955726646733,84.64255791265543,12.393787493381941,0.15028440311074037,8.215800336936894,148.39321050585886,148.57644653320312,,
9,DOT-USD,80.61631119817226,84.37882490257375,85.97829382248807,91.67267981984003,3.6464150378319435,1,4.027629085559467,0.00513720612860348,0.07688653442805703,0.07174932829945355,27.959024353399208,0.862162472679095,,68.20379431110486,3988001465.0,58.382967275461695,3738106412.990414,18.693910274468923,98.79466311108344,18.98492441026279,0.04708075908949954,0.22208846056919537,4.184922295941784,4.170396169026692,,
10,MATIC-USD,49.135994785000754,34.50890752897654,92.13427881966773,81.28215759194723,0.2502255741341878,-1,0.23226237072667746,0.0014771397138285819,0.003717040405035541,0.0022399006912069593,26.56790881000822,0.42881537728591296,,73.53668611928903,-6056961144.0,39.74524061363848,-1034641870.5232583,44.643576613616524,-36.87091592014291,-0.08402830048944043,0.07692420513995127,0.014181213883905152,0.21335027401635903,0.21456866463025415,,
11,LTC-USD,86.22909855459096,89.80792863968895,89.24769787775658,94.64013229003262,74.84833253495202,1,82.57101597978718,0.11382763786775163,1.685170648675482,1.5713430108077304,22.226369758721635,0.8479618207647677,,63.895003598965545,22617827415.0,56.99023683677628,13229260210.814074,21.037991078427435,114.44642695844645,15.064234978916192,0.0666410504025039,4.165380795210546,85.35102287896022,85.80806477864583,,
12,SHIB-USD,51.860907502140854,69.1388221420654,63.466679892614785,80.05296203538974,1.2284604529882101e-05,1,1.3228525113914932e-05,-2.2854306521519243e-08,1.7576809705396248e-07,1.9862240357548172e-07,27.71026562893856,0.780005746988843,,89.37137238167195,3454216982.0,59.120131745740316,7686669161.607389,20.395620626886608,92.13171161396296,13.89567641392315,0.1437333900474778,7.996541246728086e-07,1.356961524234767e-05,1.3686236040181635e-05,,
13,BCH-USD,52.740457349980225,63.69335939955538,32.1229588479203,53.56147746721316,304.5588813543326,1,336.84488095425905,-2.0107436292959964,1.9299114566070017,3.940655085902998,24.376524536089278,0.6873056578931969,,57.13487964300626,10496752654.0,56.45253137541602,3702484962.1094427,29.8999278453989,56.4139913850068,9.575646116795443,0.032594713373839006,19.690037031933894,353.58513553147384,350.3752848307292,,
14,LINK-USD,83.71443888232183,85.70376402135133,84.86506210171936,89.02576677279103,12.58420245016934,1,14.185943596022005,-0.0014928699737865037,0.2804319329250258,0.2819248028988123,31.549132404728937,0.8533020174650818,,75.12694475130405,9021389294.0,61.064246339585125,5399792931.269165,21.377523655197287,101.8759035482346,20.64616401422238,0.17443116973705694,0.8297876103917199,14.760167464281434,14.762427647908531,,
15,XLM-USD,83.71406281637825,87.37017721742988,87.66282677440857,94.00130186130504,0.24545677612397615,1,0.2735548542920429,0.0009061486097233281,0.006141183239514609,0.005235034629791281,31.35811066357494,0.870663378050884,,67.6493222393754,28258178915.0,62.006025693358424,8649822073.084713,25.16838544729017,123.58696986583982,20.275926163961106,0.02055785294066532,0.015170321496950382,0.2823764410240171,0.28555332620938617,,
16,AVAX-USD,76.50476926055715,79.96022857750637,79.31404664709203,87.75101057203385,18.523235871873336,1,20.776462894067812,-0.061786490684275,0.2757755754515246,0.3375620661357996,28.27604511119493,0.7602497277695677,,57.37414412870192,-2680275866.0,58.751722412948475,4487281629.022307,22.505676221433333,79.84661441076346,16.25384549451964,0.06272568157857954,1.3062575902663154,21.9024903682376,21.773143768310547,,
17,ATOM-USD,68.94705468636282,77.36184071511383,79.46330788685496,88.55903586317989,4.862537518229428,-1,4.485604838056962,0.015850207076492748,0.047313662045528095,0.03146345496903535,17.489272671243242,0.7645766241659406,,60.657228781951275,-306915954.0,53.43414262888671,2314180510.3875527,14.330072685890745,66.12906389050084,11.482322444010714,0.01293609251580397,0.24345658933190983,4.465884804483843,4.422664960225423,,
18,HBAR-USD,77.46560206519209,80.58219687548362,94.33368182535456,96.64406247896109,0.15947432193824895,1,0.17949272834646554,0.0002720333532248635,0.003876738214888097,0.0036047048616632336,26.748909908230395,0.8730822478997731,,77.09730286876159,24461203739.0,60.96261293591761,-4686856733.64218,19.87350540859406,126.03312378397763,21.299459691382868,0.015881641318019783,0.011996644324427732,0.18956254507295983,0.19198613862196603,,
19,FIL-USD,76.51008685213479,84.37787140491197,77.08561353869939,87.81225232620697,2.418758246223619,1,2.6747711809934867,-0.003210912754645509,0.04315880159937973,0.04636971435402524,25.89905985205738,0.7558572934066751,,70.84603853984345,2887446178.0,54.016977588476344,4129774254.4965577,13.412404538847815,73.9988862149755,16.023090092199606,0.24116646989879634,0.16149256050200186,2.7761722099466692,2.7439512411753335,,
20,TRX-USD,49.5163620825885,41.77582280123429,40.26981443763272,31.699288202436396,0.23069584072133809,1,0.24156558881084583,-0.00017181595899273095,-0.00023910839507204065,-6.72924360793097e-05,7.284001113006869,0.622522182240134,,34.2494288747191,-3300953764.0,54.95473221500721,6788418677.510204,13.090239670947772,20.08206891079469,0.20255992066613768,0.1054099186858923,0.007010302008285167,0.2471779824572693,0.24665974080562592,,
21,APE-USD,93.00861210893773,95.66456936254217,77.71403335251145,87.51584767419861,0.3258293948737727,1,0.5003619026412958,-0.0037341541447319035,0.022648620367287174,0.026382774512019078,203.8468237932902,0.7164307366771723,,90.39637874406085,51901316.0,59.908262306031034,29305909.055357195,67.17986795502064,70.22323267948364,33.31006400764827,-0.39959145701016713,0.07889072887044989,0.5316925630970852,0.5348925391832987,,
22,ICP-USD,61.19770070217277,72.73499550905534,73.98296474570186,85.90313394614122,5.578984542829041,-1,5.140803604287135,-0.0006545996490616574,0.0649804685056078,0.06563506815466946,15.508681401578112,0.6445155091977128,,59.71959718163944,-1188313862.0,49.26350267913775,791080567.9401038,22.1437371007108,42.326871803393566,9.475810423257059,0.09189650558389116,0.2784950700571607,5.121560122855536,5.068465232849121,,
23,QNT-USD,87.53100643564632,89.39075357639912,87.39213067516728,92.15928808513343,64.35684588221702,1,70.95352750716995,0.21762430889607942,1.541507237580404,1.3238829286843246,25.283696241219772,0.9162072956862357,,77.15091297860066,242311757.0,60.07118552103659,112769908.92662561,24.855971590859056,131.1900308182816,17.653726408968087,0.2096571521164093,3.952048712364413,74.82708141334642,75.33322652180989,,
