,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,CPrice,change
0,BTC-USD,26.383743950900254,40.27322676119543,1.5366783618337572,2.024651967791384,-532.0037785516303,-966.1197797913469,-434.11600123971664,9.538488302136267,0.32425543828583414,88.11417314503205,43.108373909308575,550455168361.0,51.511182544102105,1145066377810.2485,25.348899495698053,-59.069472175813296,-1.0474055621301162,0.09904890813858415,2826.593056220902,105489.90989477688,104185.57291666667,101692.5372855009,1,106250.45111057261,104500.055,0.47349334691797473
1,ETH-USD,50.336359542915666,64.55557858986135,7.685676470720261,25.655813822666357,-14.701447101016612,-28.72133017862805,-14.01988307761144,9.814542849421246,0.3787270765096561,42.246620166642614,53.61951227353365,-135050320446.0,57.382753726961546,282312132597.95386,33.21352557979463,-56.61689882463536,0.26912581506365146,0.028309611426927186,136.2536899498302,2570.748642865349,2522.6531575520835,2275.2380382907,1,2533.2782467368975,2535.9734,0.19264371256513257
2,USDT-USD,56.45642338646771,56.18478649891256,52.110072824641286,51.45916074279898,2.6876686389364683e-06,-8.17062455716168e-06,-1.0858293196098148e-05,0.0794666417109039,0.6685954958609156,56.14787918798657,66.46912862244588,-630168841161.0,53.538406947678624,-4204882659300.394,16.155744649869572,151.01742513485848,0.0021927799146126735,0.18515651216741913,0.0013539081841876896,1.000186598506467,1.000333031018575,0.9967604493420167,1,1.000096067180266,1.000328,0.01669731173281619
3,BNB-USD,46.00770388429729,62.65478487028981,8.066765191944674,28.46735029309664,-2.517816593899253,-2.642933712577113,-0.12511711867785968,8.370493631088221,0.39369478653212125,64.6689711603083,52.07971242227044,22515023356.0,51.42227598126465,28183207701.63787,31.856819748314066,-49.74162459225591,1.1050709154246332,0.0949429158652121,18.332578901556243,664.9246025162827,654.4172566731771,629.0559336693693,1,651.385490124308,657.03424,0.21846181067171067
