,symbol,priceToBook,CPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI,ADX,CCI,ROC,ATR,OBV,CMF,AD,MFI,MACD,MACD_signal,MACD_Hist,MACDAS,MACDAS_Signal,BB_Middle,BB_Upper,BB_Lower,BB_%B,BB_BWidth,FWMA,VWAP,kama,EMA_200,Supertrend,st_way,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,time,YF%,MACDAS-dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross
10,AKCNS.IS,1.2668257,140.7,285.0,177.43,222.77142,216.0,111.065,142.5,140.7,142.9,none,122.6,217.8,53.523453274938,15.00443088681067,83.275063843416,-0.42463276047902443,4.447510279177924,7019670.0,-0.33182036322549247,-2255358.8248717915,62.77550906331263,0.002474216248828043,-1.0374108128201374,1.0398850290689654,1.0398850290689654,0.9966536517295879,136.80499992370605,145.39347407004186,128.21652577737024,0.7267572189291563,12.55578984850768,140.3206895127983,141.4333292643229,138.33022608900006,153.95004243289674,129.40338627751518,1,63.60287521856312,63.08603758386346,90.48660605029704,85.03405085393719,143.8000030517578,148.3000030517578,157.6500015258789,161.1532915431983,,2025-07-24 02:09:18.759548,19.012605042016798,0.04323137733937754,-1.263157894736855,3.335802466269988,-8.872405275500894,no-trend,Below_Cloud,Bearish
11,AKENR.IS,0.55067986,11.42,,,,,20.738,11.62,11.41,11.66,none,8.84,15.45,48.956526624410145,21.136332630955962,-24.874258964443268,-4.515049833868499,0.48493655942704395,193397607.0,-0.18587276981768822,-811729075.1476706,75.34660762279626,0.09983199307882806,0.1259136051533385,-0.02608161207451043,-0.02608161207451043,0.00852522469718631,11.543500089645386,12.184632684990971,10.902367494299801,0.4036860594454167,11.108114356419268,11.560638930686347,11.49666659037272,11.311365733919043,11.781938906523312,10.438444673462353,1,28.194819587246915,33.13715898064933,14.566885093141657,19.13717763372153,11.440000057220459,12.085000038146973,10.305000305175781,11.295000076293945,,2025-07-24 02:09:18.759548,39.031770045385784,-0.034606836771696736,-1.721170395869187,6.695557661917428,-4.532683937830118,lower,Above_Cloud,Bearish
12,AKFGY.IS,0.43354338,2.89,,,,,6.666,2.91,2.85,2.94,none,1.68,3.02,67.08819664835973,36.34799045322393,87.21507753453865,8.239701210630574,0.13027159556799844,1265601891.0,-0.0655393419066795,-1669668803.735543,63.638292856061824,0.17000991560420564,0.17065250580928795,-0.0006425902050823107,-0.0006425902050823107,0.01205862634844763,2.7165000081062316,3.0617115664108807,2.3712884498015825,0.7512953182245847,25.41590703291095,2.8787018984374844,2.893333355585734,2.7874247189774737,2.1848855844797335,2.522213385007644,1,75.32558331434306,82.20512375236035,39.27173863426481,41.72747822560836,2.050000011920929,2.060000002384186,1.9699999690055847,1.884999930858612,,2025-07-24 02:09:18.759548,90.29850746268657,-0.01270121655352994,-0.6872852233676952,5.941576692418016,-17.948496546658042,upper,Above_Cloud,Bearish
13,AKFYE.IS,0.49153036,16.83,34.62,34.62,34.62,34.62,34.24,16.82,16.66,17.04,none,14.17,25.0,59.887531296715025,17.393200291141365,117.26290928297158,2.1237887815027916,0.44537420120573984,-25165035.0,-0.20438703078278778,-236574850.5472564,63.03148230640003,0.1589459629138652,0.07139273037825747,0.08755323253560773,0.08755323253560773,0.07329859108334436,16.241499805450438,17.02766193358242,15.455337677318457,0.8742867388269939,9.680905551199832,16.708661007832802,16.843333562215168,16.060984439164887,17.851572241584332,15.545663803811582,1,78.62219566517787,72.96810576192587,97.22273534813074,86.07964033154667,15.934999942779541,16.554999828338623,17.667500019073486,16.545000076293945,,2025-07-24 02:09:18.759548,24.561403508771914,0.014254641452263378,0.059453032104617165,1.17446187511836,-8.16792823934368,no-trend,No_Data,Bearish
14,AKGRT.IS,2.1105826,7.1,11.0,10.6,10.75,10.65,3.364,7.16,7.07,7.18,strong_buy,5.1,8.44,71.60359822190226,27.525517372700932,122.17512846679469,6.766914327995554,0.22278734501763234,228013997.0,0.07280057172719909,-363732759.92253256,74.34717865847651,0.26919516439441704,0.21630874798361613,0.05288641641080091,0.05288641641080091,0.06318869703756472,6.548999953269958,7.348672379676763,5.749327526863154,0.8445160375470473,24.42120727173078,7.01220070662895,7.1166666348775225,6.765655141341457,6.360356655649734,6.438250649610154,1,79.63394020912676,83.551498648719,87.88318789644842,81.24706138939014,5.7200000286102295,5.985000133514404,6.414999961853027,6.824999809265137,,2025-07-24 02:09:18.759548,59.88023952095809,-0.010302280626763805,-0.8379888268156499,3.5024278827713085,-19.023555959673878,upper,Above_Cloud,Bearish
15,AKMGY.IS,1.0832826,222.1,,,,,205.025,207.5,205.5,225.7,none,174.2,270.5,77.17626051785487,20.54273402957757,311.9099968874538,13.316329644650828,7.995070821585037,-63915.0,0.10685403641853772,426300.3520763453,67.44226405844171,4.373064503606116,1.76241140700529,2.610653096600826,2.610653096600826,1.3588328877802254,195.73500061035156,211.2693883082145,180.20061291248862,1.3486013741240372,15.872876746031894,209.61491120127585,217.76666768391928,200.23179755066963,202.581985384823,190.03596666924037,1,85.33757515550559,78.6777684693668,95.17223666898371,86.13047558780629,188.5500030517578,193.5500030517578,208.89376349804147,217.77898287874626,,2025-07-24 02:09:18.759548,49.74039460020768,1.2518202088206007,7.036144578313253,-4.876457312825522,-18.865099994377022,upper,Above_Cloud,Bearish
16,AKSEN.IS,1.0034733,36.98,74.0,42.5,56.64167,56.1,36.852,36.88,36.2,37.4,none,29.92,44.18,69.165229812513,18.5962072137154,126.7414639437078,8.509382498151977,1.0656144331705548,92308432.0,-0.049739647215946876,-72124041.56923942,72.55401067534407,0.9737366156236789,0.6519761987537119,0.3217604168699669,0.3217604168699669,0.27062073571488887,34.417000198364256,37.513301790694136,31.320698606034377,0.9138807650748723,17.992861518924816,36.619715944023206,36.86000061035156,35.292549323653475,35.43759766010249,33.65429029282415,1,90.82533683928868,91.14244002134785,100.0,100.0,32.239999771118164,32.65999984741211,32.53999900817871,34.13000011444092,,2025-07-24 02:09:18.759548,49.50911640953714,0.051139681155078054,0.27114967462038564,1.4421357238889598,-15.30368143311417,no-trend,Above_Cloud,Bearish
17,AKSGY.IS,0.47032243,6.87,10.09,8.27,9.18,9.18,14.607,7.0,6.85,7.02,none,5.49,7.76,53.88088683468402,23.250687451979225,30.59579480569347,-1.2931056335432467,0.18175791832679322,-27011589.0,0.23402397897305446,61841855.92015319,52.32405548013401,0.15957718968787749,0.17268312422747303,-0.013105934539595548,-0.013105934539595548,0.018504709336425163,6.834999990463257,7.3413791651393145,6.3286208157871995,0.534558979561329,14.817239952672965,6.961632783707934,6.913333257039387,6.9128962023121225,6.528516705245971,6.518644433650179,1,63.70567786826314,76.75308200603654,13.965302546300478,20.37196620611313,6.304999828338623,6.304999828338623,6.22156811224098,6.604519546489221,,2025-07-24 02:09:18.759548,60.79295154185023,-0.03161064387602071,-1.8571428571428572,6.8614143397280225,-7.8803374703464435,lower,Above_Cloud,No_Data
18,AKSUE.IS,1.8466306,18.47,,,,,10.002,18.65,17.8,19.5,none,10.0,25.0,55.55212533284283,19.793458203146425,44.637205401671125,-0.5385050248417527,1.1789235871113006,30090571.0,0.33959271428405,16991958.08243943,45.80529605496196,0.17483787892539837,0.09787951753663884,0.07695836138875953,0.07695836138875953,0.07524059504662439,18.166999912261964,20.1570157504617,16.17698407406223,0.576129896877262,21.908029369852727,18.190009697455665,18.589999516805012,17.51815273164377,14.923381663180628,15.773382984510436,1,53.403864209750914,44.42217643834663,64.7549847901649,50.757986410131515,15.52500057220459,19.09000015258789,21.12500023841858,17.610000133514404,,2025-07-24 02:09:18.759548,56.466666666666654,0.0017177663421351352,-0.9651474530831039,9.13381564949487,-12.414812809625175,no-trend,No_Data,Bearish
19,AKYHO.IS,1.5961995,3.36,,,,,2.105,3.52,3.34,3.53,none,2.4,11.25,62.00081551406867,20.453538903590225,182.4887282145362,12.751673610407723,0.1680261501129114,59350527.0,0.18819923392588944,-265557446.77286276,66.50914713966156,0.0962962252279631,0.02618108389631723,0.07011514133164587,0.07011514133164587,0.04435747495932463,3.007000005245209,3.423514112173603,2.590485898316815,0.9237550229136695,27.702966824200516,3.342930992283154,3.4099999268849692,3.1554474549073674,3.3352590539396343,2.983309963287822,1,83.15017460884292,83.28855726056925,87.23137124774541,89.28715314457709,3.0,3.1200000047683716,3.3950000405311584,3.694999933242798,,2025-07-24 02:09:18.759548,10.847457627118644,0.025757666372321242,-4.545454545454552,1.890300957547697,-22.902205407237652,upper,Below_Cloud,Bearish
