,symbol,priceToBook,CPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,bookValue,open,dayLow,dayHigh,recommendationKey,fiftyTwoWeekLow,fiftyTwoWeekHigh,RSI,ADX,CCI,ROC,ATR,OBV,CMF,AD,MFI,MACD,MACD_signal,MACD_Hist,MACDAS,MACDAS_Signal,BB_Middle,BB_Upper,BB_Lower,BB_%B,BB_BWidth,FWMA,VWAP,kama,EMA_200,Supertrend,st_way,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,time,YF%,MACDAS-dif,change,BB_Pot,BB_Opt,TrendWay,Cloud_Position,TK_Cross
10,CVX,1.7557162,150.04,186.0,124.0,163.53087,165.0,85.458,155.02,146.53,155.53,buy,132.04,168.96,55.358283184701506,32.99307095237597,47.22117421244528,3.0706778436565916,3.355692498749581,131544500.0,0.07527400608416013,-17416112.352240577,73.49708756906712,2.3068397795375404,2.4894707908136615,-0.18263101127612114,-0.18263101127612114,0.1988266800686259,148.66749954223633,156.1678515629914,141.16714752148127,0.5914952884943603,10.090103141371817,150.78841598232185,150.82666524251303,147.50469616810767,145.97065911866503,146.12055147633708,1,59.621181802587564,60.932961533268276,28.640779959239623,32.43757135388875,140.07500457763672,138.97000665550797,142.15846267595725,148.68891511562117,,2025-07-20 17:07:35.159777,48.75406283856986,-0.38145769134474705,-3.212488711134054,4.08414526992229,-5.913658010209755,upper,Above_Cloud,Bullish
11,PLTR,66.77686,153.52,155.0,40.0,101.32364,99.0,2.299,154.64,151.9,154.91,hold,21.23,155.68,67.397927183393,21.000494480015437,150.8286919919944,17.47781824058259,5.496809748696238,3881495800.0,-0.021815663587446323,3573618322.738203,85.21335013150751,5.476526585172508,4.393545817975948,1.0829807671965597,1.0829807671965597,0.3776064384133275,141.72650070190429,155.4439006600074,128.00910074380118,0.9298738684655042,19.357565296775565,151.46735652900372,153.44666544596353,137.8482024972264,92.5989337860081,137.79853660879962,1,94.40713085642449,94.59036951577798,98.69073853888466,96.70188999678153,127.10499954223633,120.29999923706055,101.57749938964844,95.7650032043457,,2025-07-20 17:07:35.159777,98.3934548159167,0.7053743287832321,-0.7242628039316967,1.2531921964612946,-16.617313220556817,upper,Above_Cloud,Bullish
12,AMZN,7.8462877,226.13,305.0,195.0,241.81862,240.0,28.82,225.195,222.98,226.35,strong_buy,151.61,242.52,62.955824958871716,22.94530486735791,83.73685769552684,2.571894219482786,4.031325669201161,463923200.0,0.100201548232693,837279417.3464662,54.76564715838938,4.076666784014606,4.228946209516579,-0.15227942550197326,-0.15227942550197326,0.004258309550795147,220.2205017089844,230.9052229724549,209.53578044551386,0.7765398847619839,9.703657180465514,224.89434480183508,225.1699981689453,217.44651181030432,204.70497141287498,214.477416255003,1,76.28805434431452,80.60858694753477,33.55935451019601,42.43536490022041,209.7750015258789,200.85000610351562,181.85000228881836,194.1050033569336,,2025-07-20 17:07:35.159777,81.9711802881971,-0.1565377350527684,0.41519571926553756,2.111715814997961,-7.338353847117207,upper,Above_Cloud,Bullish
13,PFE,1.5398653,24.47,42.0,23.0,29.2387,28.0,15.891,24.71,24.39,24.78,buy,20.92,31.54,47.2473093327075,23.794905842152804,-35.97456430302978,-2.2763641427001415,0.45888089447547614,41966600.0,-0.06027307779149743,-105241611.19495007,45.10161620030417,0.23395430562267805,0.3700881637410632,-0.13613385811838513,-0.13613385811838513,-0.026055673218131348,24.822500038146973,26.016281914115343,23.628718162178604,0.35235965971315303,9.618546674458875,24.67919866550283,24.546666463216145,25.00348578466542,25.18841772815149,24.409477259926646,1,23.47298935246414,29.866550725829768,0.0,4.229396334766704,23.739999771118164,23.19499969482422,22.80003878577294,23.62922026745599,,2025-07-20 17:07:35.159777,33.427495291902055,-0.11007818490025378,-0.9712666936462999,6.319092415673655,-3.4380132317997303,lower,Above_Cloud,Bullish
14,IVZ,0.8341359,19.92,17.5,14.0,15.21154,15.0,23.881,17.895,17.71,20.045,hold,11.6,20.05,83.49386115504699,34.657619577767385,218.85903667100618,23.19109451024489,0.5683113595536119,148786500.0,0.35291578649981403,30150017.511253577,83.78181815655364,0.8211040456711913,0.6265639314740158,0.19454011419717554,0.19454011419717554,0.12143375379911667,16.508500051498412,18.776082632669194,14.24091747032763,1.2522328079963756,27.471697296508317,18.175618730742357,19.22666613260905,17.84082442406493,16.014612073170134,16.959071364424545,1,85.12041239879859,78.99740191956441,48.07973707786457,35.557432934838324,14.559999942779541,14.808587276531691,13.617290472473945,14.764191376284346,,2025-07-20 17:07:35.159777,98.46153846153848,0.07310636039805887,11.31601005867562,-5.742557064913689,-28.5094504501625,upper,Above_Cloud,Bearish
15,VALE,0.2063794,9.77,16.1,8.0,12.32087,12.0,47.34,9.85,9.74,9.9,buy,8.06,12.05,51.0146475609676,14.876984612723406,17.468427257847,-0.5091572160322951,0.24109672233866697,569781700.0,0.12426827533266667,8336572.705453508,74.17541027694695,0.08590261645061759,0.10681843859869289,-0.020915822148075303,-0.020915822148075303,0.013096108191097706,9.729500007629394,10.43378591033639,9.025214104922398,0.5287528473725019,14.477329814578953,9.80397583940208,9.803333282470703,9.63987264430156,9.596791749620495,9.516624188689596,1,34.83168706667618,44.84295581613289,12.215528195789346,21.899815396975722,9.424999713897705,9.519999980926514,9.320000171661377,9.140000343322754,,2025-07-20 17:07:35.159777,42.85714285714283,-0.034011930339173005,-0.8121827411167515,6.794123954313114,-7.62319237541046,no-trend,Above_Cloud,Bearish
16,SLB,2.0903387,33.32,63.0,38.0,47.11793,46.0,15.94,34.3,33.175,35.11,buy,31.11,50.52,39.889154496465814,16.672054277199504,-81.14035733675081,-5.34091200956622,1.132102582958485,-427830800.0,-0.011319672363639248,-303377283.88063496,34.349936170208146,0.03321165329346343,0.2556689703156153,-0.22245731702215188,-0.22245731702215188,0.009113066523645685,35.01100025177002,37.44188495682831,32.58011554671173,0.1521841300356419,13.886405344476804,34.44048642435132,33.86666615804037,35.115909006402816,38.27642847719737,37.647928082919925,-1,19.16118034743027,31.315736059786037,6.296645291822327,21.28819505370593,34.16784777886433,34.55881781853242,35.243053382514006,36.918931563155766,,2025-07-20 17:07:35.159777,11.385883565172595,-0.23157038354579756,-2.857142857142847,12.370603111729617,-2.220541576495405,no-trend,Below_Cloud,Bearish
17,GOOGL,6.51505,185.06,250.0,160.0,201.4698,200.0,28.405,185.54,183.71,186.42,buy,140.53,207.05,66.61702339081727,21.254262181575054,138.49791850943114,5.243403897135072,4.142314368096704,489468500.0,0.15331626229489986,27339237.751017123,71.55136515334422,3.366851566016777,2.785394391779485,0.581457174237292,0.581457174237292,0.3290745569815293,176.61699829101562,187.7634936457417,165.47050293628953,0.8787288739145404,12.622222620225676,183.31901564220868,185.0633341471354,176.15724079439124,171.6074068824888,173.13039722963856,1,91.54441025151726,90.12383142992034,100.0,100.0,173.09507991760705,164.38561649658345,155.12969954418475,162.69137216186834,,2025-07-20 17:07:35.159777,66.94227300060132,0.2523826172557627,-0.2587043225180552,1.460874119605382,-10.585484201724016,upper,Above_Cloud,Bullish
18,BBD,0.1743176,2.81,4.1,2.2,3.06,3.0,16.12,2.89,2.8,2.89,none,1.84,3.13,36.56284263624335,22.732453686787238,-150.0120422483021,-9.061487998942008,0.0682747150087173,622283000.0,-0.06256239366076567,271653268.72902656,32.56247189641032,-0.009388301529280163,0.025155878151318475,-0.03454417968059864,-0.03454417968059864,-0.0281030841936078,2.9879999995231628,3.148822782871049,2.8271772161752766,-0.05340435303429097,10.764577200371544,2.865466568581231,2.8333333333333335,2.9584688515446245,2.4977759214251587,3.0447357566056836,-1,5.948421302926092,11.099659246921739,0.0,2.47759257299669,2.909999966621399,2.6399999856948853,2.289573355541295,2.1823953273932584,,2025-07-20 17:07:35.159777,75.19379844961242,-0.006441095486990841,-2.768166089965396,12.057750280108493,0.6112888318603682,lower,Above_Cloud,Bullish
19,KEY,1.2465467,18.5,43.0,15.5,19.2413,18.0,14.841,18.45,18.34,18.58,buy,12.73,20.04,68.58860007810055,34.23555915015444,73.00041882327059,3.5254568057067184,0.3816385274956714,283244600.0,0.2477740020471561,106241964.42846134,60.49382808754654,0.5532011813643329,0.5820622951618724,-0.028861113797539417,-0.028861113797539417,0.03541087784950127,17.78149995803833,19.273254351116226,16.289745564960437,0.7408238398008696,16.77872391640987,18.31871202557856,18.47333335876465,18.238315379304893,16.476210167809363,17.409822744720575,1,74.18957356778554,69.41473389214144,26.582132322311406,19.907859517555384,15.990000247955322,15.735709413808994,14.46796806851984,15.095499377929265,,2025-07-20 17:07:35.159777,78.9329685362517,-0.06427199164704069,0.27100271002711285,4.179753249276885,-11.947321270484125,upper,Above_Cloud,Bullish
