,symbol,time,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Cloud_Position,TK_Cross,CPrice,change,EMA_200
0,A1CAP.IS,2025-07-11 01:08:45.745759,2.618728922805099,7.2416450832476835,-0.07642511163411031,-0.13029442694635784,-0.05386931531224753,19.4328210797319,0.41136072195761164,77.73512476007677,59.48010893253895,53.70021565300702,38.62348402515196,-22.4024065902399,2.8395003877097995,-0.22999412429614888,0.5415888585943383,8.425435934298903,8.399999936421713,7.324618754155143,1,7.995706902473403,7.265000104904175,6.460000038146973,4.9725000858306885,5.005000114440918,Above_Cloud,Bullish,8.33,0.12019230769231282,5.919401096371331
1,ACSEL.IS,2025-07-11 01:08:45.745759,70.10978886935402,75.85457088809399,0.04586542164676333,0.5221679384993683,0.47630251685260494,8.014751135011199,0.7516346526327264,15.277777777777773,62.85190264959688,51.035884820261664,12.44028986656344,78.23703193442672,5.002585101786908,0.038677589489125926,3.3316810100284475,100.94082230728489,101.66666920979817,106.87622245463534,-1,102.16365684451699,104.5250015258789,115.2249984741211,111.79999923706055,109.5999984741211,Below_Cloud,Bearish,101.8,0.8919722497522153,111.40392575014404
2,ADESE.IS,2025-07-11 01:08:45.745759,50.22859693334804,43.51240477618958,0.021720210129964876,0.04379261929608558,0.0220724091661207,52.15030143423792,0.9970224652907907,100.30643513789583,66.05014796010356,76.91883935989453,60.8174527961253,165.4064001041966,22.48144026459354,0.14840200130605238,0.7563963378739601,10.815253682358996,11.206666946411133,8.562303246680006,1,9.579443033053208,3.965000033378601,3.5550000071525574,1.9250000417232513,1.9500000476837158,Above_Cloud,Bullish,11.55,6.944444444444442,3.694159357620479
3,ADGYO.IS,2025-07-11 01:08:45.745759,10.11039094935837,10.757580686496999,-0.16966991045686575,-0.12294547048994864,0.04672443996691712,14.65586467963502,0.6657081613762534,71.5008431703204,59.274942059965085,61.67100885061066,30.116880275528132,58.07743841521954,0.4659284994209636,-0.08017532878117661,1.3177533556846794,34.31766751426712,34.699999491373696,30.87727436255513,1,33.64950834902073,27.960000038146973,28.969999313354492,30.28999948501587,29.309999465942383,Above_Cloud,Bearish,34.5,0.5830903790087438,31.389398250238848
4,AEFES.IS,2025-07-11 01:08:45.745759,68.81351677952237,78.76398890804289,0.005122424076285992,0.1814539268579589,0.17633150278167292,25.019904560219775,0.8623449920267839,14.920174165457183,71.27982129560186,62.09438318486204,21.280603023381815,106.09642616202073,19.216270905014618,-0.028197822979092745,0.5882084189620111,15.590070816372762,15.763333320617676,14.256770654075797,1,15.167051533272783,14.501227302310369,14.71198810375481,15.286997130521835,15.660408851528121,Above_Cloud,Bearish,15.82,0.6361323155216203,16.90543288910567
5,AFYON.IS,2025-07-11 01:08:45.745759,95.87197725167907,96.42338570330719,0.058155556694072685,0.20387623913682804,0.14572068244275535,21.268402176671525,0.9865216207057119,39.96598639455786,77.61794092593122,66.36096356294233,28.188534204428766,138.53078674393038,19.676324230427866,0.09480851100173421,0.4110957295328449,13.714847873238956,13.976666768391928,12.664000876607217,1,13.21501795868875,13.244999885559082,13.414999961853027,13.694521645739476,13.73904319611152,Above_Cloud,Bearish,14.05,1.9593613933236664,13.569381516192106
6,AGESA.IS,2025-07-11 01:08:45.745759,13.014942461882134,22.860829707738016,-0.4667705360289533,-0.3752347600564647,0.09153577597248859,9.657287229249809,0.5440689870233997,84.66033601168736,60.59269982544605,53.73657901455702,26.708733150840867,36.76588821898581,4.175216009508283,0.22730688593925502,5.3842045433784484,152.32017975163023,152.99999491373697,138.87682764104215,1,147.57254592743556,143.29999542236328,139.9000015258789,133.46540670597062,137.25074440178366,Above_Cloud,Bullish,152.2,0.1315789473684159,132.3058037465982
7,AGHOL.IS,2025-07-11 01:08:45.745759,73.55656842142838,80.77055282807386,0.32509002702253387,3.05969707602093,2.734607048998396,18.43170612508285,0.8519889402892427,14.32760787599497,65.57935200931534,58.59329253014309,21.881878952943616,106.40837415815604,12.345679012345679,0.09297012652057987,9.265557261583464,270.61830634374405,273.3333333333333,249.11004780274175,1,262.9401265180927,272.3802925136447,277.52917937718655,290.11519928974565,301.82279015483186,Below_Cloud,Bearish,273.0,0.7380073800737907,299.61475319719597
8,AHGAZ.IS,2025-07-11 01:08:45.745759,0.0,7.682801976051947,-0.07292483546385231,-0.30093297976851296,-0.22800814430466065,9.575300372350897,0.09645368147603056,82.5936599423631,38.34763517395103,47.95809579921509,25.642014600503998,-126.4571142121632,-7.835053803289173,-0.21233377283560104,0.9768504245253353,27.153103118494123,27.02666664123535,25.842045760437163,1,27.726243145948636,25.34000015258789,24.039999961853027,21.875,20.05500030517578,Above_Cloud,Bullish,26.82,-2.116788321167873,21.09415253964227
9,AKBNK.IS,2025-07-11 01:08:45.745759,66.06260900991406,74.52706144367876,-0.1324375861285526,0.4944800077849729,0.6269175939135255,30.212396432069877,0.8786898994809968,80.55186170212764,70.6411486620232,74.8495897587737,31.350615131715514,109.93566288349933,21.5025848361637,0.045945114458506485,2.3885691878393027,68.92089061853126,70.43333180745442,63.021284549968605,1,66.67924039084212,52.57500076293945,51.19000053405762,55.746801021361485,61.31860280566242,Above_Cloud,Bullish,70.35,-0.14194464158979736,58.40648819904122
