,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,CPrice,change
0,A1CAP.IS,92.9752102483993,96.04809912724814,99.67722646688385,99.02665465823146,0.08753124768835294,0.172495370030449,0.08496412234209608,42.09844683685008,1.128164055324875,80.60836501901142,93.60118769550753,174153071.0,82.46069389572914,-501571426.6832046,21.803819816861342,261.7441739022006,40.65933685892391,-0.2068928175629071,0.2829895265292197,6.025456396126119,6.536666711171468,5.688289555690985,1,5.88572887122147,6.4,-5.0445103857566735
1,ACSEL.IS,13.799523651759353,17.29214480894814,13.734286245164098,18.036740913956642,-0.2423695192808566,-1.102201477260635,-0.8598319579797784,24.797278278112806,0.2673067520730485,20.289855072463784,40.77316700718859,1944209.0,44.92948219898832,-7350851.378723527,18.96229962140277,-72.18450726979933,-15.06309593361705,-0.2658086978681446,5.71982996981035,108.97373033101854,108.46666463216145,105.31587579708982,1,112.53018303181874,107.7,-1.2832263978001746
2,ADESE.IS,61.89620259551574,63.16027763261272,21.273366069723192,33.66152407936584,-0.03627754061056105,0.006860564250047108,0.04313810486060816,60.62977362600093,0.6369499917104713,62.59541984732822,72.67522412473433,1486418173.0,59.60457817539482,-1908882298.4144585,36.53749465324096,46.125767206845545,20.28302311175849,0.0226817394157049,0.16129643018949996,2.605101434018984,2.5833333333333335,2.350843006453905,1,2.63814330893535,2.55,-3.409090909090917
3,ADGYO.IS,7.109737045232596,10.48179465451985,22.301663117598526,25.72645560378084,0.021149008379127754,-0.15873344109076848,-0.17988244946989623,14.335517640447007,0.15153248630683833,25.752508361204036,33.253800889151115,72607053.0,38.85601648530015,-43230695.38695459,18.381869134628474,-103.39483152878422,-6.666662050421235,-0.31899336339950857,0.8965493673375453,28.59586233638121,28.420000076293945,31.000133202221267,-1,29.47905380345036,28.28,-0.7719298245614015
4,AEFES.IS,73.06895843558301,70.73581315901664,90.09153298135202,88.53474231190985,0.8775649253109605,1.0862768637849538,0.20871193847399325,15.770019855189291,0.536931784157057,11.00282929896259,38.568633315099206,5503827.0,49.84626354290774,-197535451.94131958,18.07784535241039,33.672169250280085,-1.8050541847688821,-0.18886604013842914,6.832507873943133,164.53630686483325,165.33333333333334,151.76794072998445,1,166.56714381596282,163.2,-2.857142857142869
5,AFYON.IS,58.3022225811275,53.85142635173625,80.05978990108525,75.90746457168508,0.028042441838084926,0.034734781528402585,0.006692339690317658,7.151878155239846,0.6494314542409564,36.12040133779265,47.419968037624606,383376392.0,52.0430941815292,-378619374.16460645,14.01395887093981,52.01348503614883,-1.1494241848790827,-0.1332457886831855,0.3457819803198053,13.72538565041811,13.803333282470703,14.316255651866626,-1,14.059990800164604,13.76,-0.0726216412490932
6,AGESA.IS,92.44898384815305,90.98951985037729,99.35104474067911,97.5718814939405,0.19058007537109534,1.5166023399463673,1.326022264575272,17.705560654679758,0.907198042064104,81.53638814016175,81.0219994977729,16303332.0,62.843401345812374,15360622.489380322,26.10745276147436,136.56181888251592,6.657124735087428,-0.05146944874676668,6.381764293446466,147.60456620655486,148.93333435058594,130.206900819715,1,137.4617129855775,149.0,0.33670033670034627
7,AGHOL.IS,71.8213058419244,78.42028532750184,74.36406599056707,84.20579057885935,1.442902074534289,3.5370826941996185,2.0941806196653294,14.269180428216748,0.7869949640565239,14.71264367816092,40.291804360045084,-3651371.0,54.28124820733682,-14739082.133667758,23.1342716233584,118.78594613063079,4.659498207885305,-0.02144747549109805,9.897776883643353,291.9888438133874,293.8333333333333,268.772955422108,1,286.119708613403,292.0,-1.100762066045724
8,AHGAZ.IS,82.91790377948284,69.5851467934763,100.0,83.53144683439193,0.13748815510629675,0.1524187258012601,0.014930570694963344,12.292834961216714,1.1663760669130148,98.43342036553526,75.34976590910603,363546214.0,63.651109585720086,176485662.14977628,20.945627883024976,222.7902881281738,11.737089622285856,-0.028857768724705593,0.9780055315965237,23.055699797237622,23.573333104451496,20.4464577847411,1,21.13969231631987,23.8,2.941176470588225
9,AKBNK.IS,63.63114191417412,64.54752866885703,84.82831622123095,90.56923728435345,0.08499132034395818,0.6502450692271404,0.5652537488831822,10.364530843892139,0.5707362274031217,15.226063829787249,51.354533813819934,1432341766.0,45.450067357843146,-1575895859.87938,26.624409204628748,48.62942242485163,2.714749060004816,-0.1411236799392291,1.8314948403262215,51.142231579484616,51.18333307902018,54.67829180171802,-1,50.772506301064155,50.7,-2.4061597690086645
10,AKCNS.IS,59.83306733558504,53.72136233410858,95.18808422055356,90.23664503728605,1.381753557807786,1.514222056540424,0.13246849873263822,24.932410370841286,0.5393409454093254,32.29398663697104,46.09621475994114,10748344.0,49.51246183638861,4203515.206272719,19.971558948834407,8.533046118007242,-1.008831047882386,-0.2640105167824717,6.4024886439875335,156.32535433817588,157.06666564941406,163.6045361149145,-1,158.94986996528166,157.0,-0.5699810006333128
11,AKENR.IS,70.52926070992557,78.72011397576847,79.78755373288435,87.84695769843881,0.0033498858548138277,0.3315475781255621,0.3281976922707483,56.91696813049547,0.7976009081122559,25.624082232011748,58.20179088030238,-99734934.0,61.97716311474548,-987615816.9066877,37.153192459933216,88.53404920190322,34.754103144832385,0.11440857769229382,0.7752319050911731,12.391541589346184,12.380000114440918,10.638333235366925,1,11.2313627202084,12.33,0.7352941176470562
