,symbol,time,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Cloud_Position,TK_Cross,CPrice,change
0,A1CAP.IS,2025-07-01 23:15:23.729255,28.012631441204803,32.126564074091704,-0.01034543275220191,0.008713451289334762,0.01905888404153667,38.03273385252886,0.8093311482824144,89.2514395393474,61.87683108120848,65.48183264104371,41.60518480954935,109.85438583206557,9.436280296106531,-0.08828270555961602,0.6233374625091607,8.72135909092112,8.983333587646484,7.156219194610351,1,7.903142410216279,6.720000267028809,6.460000038146973,4.902500033378601,5.005000114440918,Above_Cloud,Bullish,8.93,2.643678160919549
1,ACSEL.IS,2025-07-01 23:15:23.729255,83.78893360970021,61.44358580276836,0.43333358803036204,0.5671723733088179,0.13383878527845586,11.136625194958981,0.6442336817317377,15.625000000000004,50.031567035030825,51.057132958626305,15.755996413865384,40.344732347624664,1.5936239539883685,0.08685250258410841,3.6988015000795205,100.37510079931295,101.5999984741211,106.87622245467378,-1,102.273754909172,111.6500015258789,118.3499984741211,106.9124984741211,109.54999923706055,Below_Cloud,Bearish,102.0,0.49261083743843415
2,ADESE.IS,2025-07-01 23:15:23.729255,5.383632333937531,4.409744468130324,-0.1524759024157007,-0.027701995051175654,0.12477390736452505,85.55106645387188,0.7085801525169824,88.84892086330936,62.01142702853554,70.55217979651655,62.340557700935754,64.97881457726905,36.82635596108923,0.08557645782359508,0.6339922808188257,9.233194753557866,9.240000089009603,7.697324538732528,1,8.873676647132598,2.8899999856948853,2.5699999928474426,1.912500023841858,1.9950000047683716,Above_Cloud,Bullish,9.14,-2.350427350427342
3,ADGYO.IS,2025-07-01 23:15:23.729255,57.804444040409145,71.4720485214774,-0.1490314594476776,0.26197342190113737,0.41100488134881497,31.102772072019665,0.7489641201798651,71.17263843648209,64.41038842715592,65.34582110247906,30.597414542689638,80.2405514871814,9.502549375756917,0.023164484339252243,1.4654219158422344,34.463549753231646,34.493333180745445,30.47471942650224,1,33.43823668536609,28.40000057220459,30.019999504089355,30.12999963760376,29.149999618530273,Above_Cloud,Bearish,34.34,-1.4351320321469574
4,AEFES.IS,2025-07-01 23:15:23.729255,100.0,98.16139243587298,0.13975448066125587,0.22285973493272349,0.08310525427146762,14.615420983888539,1.113271072236363,12.249637155297528,51.453452379331665,61.53695748161368,20.32035233640411,197.4802042425216,10.902521542366069,0.04416141538556422,0.5323943206387058,14.743681420177282,15.166666666666664,13.44475487775253,1,14.490907727319119,16.119025981673268,15.92069885111055,16.612363468098962,16.947039870158022,Below_Cloud,Bullish,15.36,2.605210420841675
5,AFYON.IS,2025-07-01 23:15:23.729255,86.61083352455493,75.46761729976932,0.0899491403143034,0.10226667910611315,0.012317538791809742,13.310360327668564,0.9178866353645123,26.58862876254181,58.652861538066595,57.45956332734815,27.26741455986453,137.56724468069766,7.673465962312659,0.19379421305022454,0.4118239385322318,12.681338383750063,13.140000025431315,11.80549640654988,1,12.837121440673458,13.579999923706055,13.71500015258789,13.818547985245162,13.73904319611152,Below_Cloud,Bearish,13.19,4.3512658227848
6,AGESA.IS,2025-07-01 23:15:23.729255,71.63956830198329,55.70273147801362,0.38054373588448503,0.7403912411021039,0.3598475052176188,15.92665079312655,0.9202258471216916,92.98758217677138,72.93757905060536,64.57679873801362,23.170010972736705,146.12967575262354,7.414961834343112,0.3556432483277605,5.801268471034815,154.79614253169865,156.96666463216147,138.8743384766052,1,146.81839514388446,145.75,136.5999984741211,133.5,140.54999923706055,Above_Cloud,Bullish,157.9,0.06337135614702394
7,AGHOL.IS,2025-07-01 23:15:23.729255,83.54018494107144,66.23632014745009,1.9030703022414412,2.570122194033549,0.6670518917921077,11.45921940474077,1.0161393680340878,11.813992459153745,51.33468271059356,56.93929396492404,23.175371166739556,151.21473443883065,8.097165991902834,0.1575083626797998,8.653665609707497,257.28017341969706,265.4166666666667,238.05583418978665,1,256.1756648258304,288.75,284.25,297.4375,307.75,Below_Cloud,Bullish,267.0,2.6923076923076827
8,AHGAZ.IS,2025-07-01 23:15:23.729255,17.069352570145668,10.52788483955323,-0.13752478251641098,-0.2537756383820855,-0.11625085586567452,13.940609638546904,0.5059565949091497,87.78097982708933,58.15563079037949,57.63024909083953,34.36648095454172,16.555642662828486,-1.2116898042017545,0.016955385430810647,1.1185205386785844,27.70344826077351,27.820000330607098,25.84204576045625,1,27.938231709469743,24.300000190734863,24.039999961853027,21.520000457763672,20.05500030517578,Above_Cloud,Bullish,27.72,-0.35945363048167644
9,AKBNK.IS,2025-07-01 23:15:23.729255,95.36848606891913,85.58209258150174,0.3903444411472016,0.842442834793268,0.45209839364606635,24.720816145065804,1.0889641580033596,73.07180851063826,57.68365402195133,79.03518446992072,21.085125488310183,244.80808612082336,14.453778948102679,0.22989135638172659,2.2937330124688895,65.36936988598434,68.4499994913737,61.38635272792419,1,60.86661394706441,51.60000038146973,51.19000053405762,56.20930063989176,61.31860280566242,Above_Cloud,Bullish,68.1,-0.2197802197802301
