,symbol,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Cloud_Position,TK_Cross,CPrice,change
161,FRIGO.IS,23.790688155276897,28.204746018554207,-0.004206376301613964,-0.025285033871291496,-0.02107865756967753,20.330688801677358,0.1147009991769672,1.0033444816053594,14.202274727084236,26.376328522793063,24.96160472560089,-115.01237642645789,-9.186742002151655,-0.4780688582490572,0.20988317601279025,6.146308387268871,6.063333352406819,6.692930558897873,-1,6.3598291217822664,7.045000076293945,7.395000219345093,7.744999885559082,7.994999885559082,Below_Cloud,Bearish,6.03,-2.110389610389607
162,FROTO.IS,57.16274063987695,53.99956944101988,0.1193633575714933,-0.12183651094008452,-0.24119986851157782,13.358586295624065,0.2644426607292194,11.533052039381174,26.886546186092954,41.12266965612294,18.93678849183149,-79.08985028189203,-1.7180148713529528,-0.21231049226472135,3.2333960483270148,83.57712767719013,82.76666514078777,90.6319572312591,-1,87.20184070894894,89.8499984741211,97.14711561912367,84.04358561785503,81.90201616816502,No_Data,Bearish,82.95,-1.2499999999999956
163,FZLGY.IS,14.651783343448583,24.958548870858298,-0.040479679783423816,-0.1866832630251949,-0.14620358324177107,9.130470486339584,0.09642727374332528,85.25449101796406,45.10295837916211,43.15566012886361,15.735295615145576,-158.74957509156786,-3.7393759868368086,-0.10330968657298777,1.5476712982390464,34.489817512930045,33.78666687011719,32.25506958460921,1,33.96730681934138,35.119998931884766,34.36999988555908,30.67500066757202,30.049999237060547,Above_Cloud,Bullish,33.98,-1.4501160092807441
164,GARAN.IS,44.3587416822241,52.822111823914845,-0.5672084588577945,0.06031961404803887,0.6275280729058333,14.647512667978113,0.543201888432832,35.743801652892564,62.35848128573085,52.51978495560758,21.07479398262606,24.448534253051793,4.470804374176978,-0.07822575351401823,3.8187082260867893,115.93590219896174,115.03333282470703,110.60545356384894,1,111.36663743472425,102.375,109.375,121.07336194511194,121.07336194511194,Below_Cloud,Bearish,114.5,-0.43478260869564966
165,GARFA.IS,25.847194070429357,18.057391226428482,0.12523428672629494,-0.16556930351663046,-0.2908035902429254,18.409118676853453,0.40612132539669704,36.56618610747051,74.22035457442844,46.919465042077825,15.859397507255316,-32.01011687192241,3.9426571691185894,-0.34237297437564307,1.7650280415666353,22.860547769867622,23.253333409627277,27.028011934879235,-1,24.900219903200785,32.03000068664551,26.515000820159912,17.34000015258789,17.914999961853027,Above_Cloud,Bullish,23.2,4.977375565610842
166,GEDIK.IS,83.75609506640272,91.3285614574322,0.21658234412373323,0.4739179905998373,0.2573356464761041,68.58959399324804,1.0987281109698965,90.21984963018805,97.97958500596408,83.83485691623197,40.72476600728047,180.8511680781897,57.23039416201711,0.215460125194799,0.6552064504627952,11.814989784426427,12.303333282470703,10.513450364886442,1,11.379951055781149,7.965000152587891,7.925000190734863,7.504999995231628,7.430000066757202,Above_Cloud,Bullish,12.83,9.940017137960577
167,GEDZA.IS,27.17708903471693,34.52060229919124,-0.04040595613641711,-0.01947656588941382,0.02092939024700328,20.82425522780548,0.14874821648117378,9.962825278810408,27.162535886420653,33.6719148623465,16.247026080112285,-117.93853718079531,-5.809520539783296,-0.49700991930562116,0.8434199958470125,20.161764910932003,19.74333381652832,22.009852980656632,-1,21.60536925209026,24.420000076293945,26.630000114440918,29.190000534057617,32.93000030517578,Below_Cloud,Bearish,19.78,-1.0999999999999899
168,GENIL.IS,73.5882498265858,57.71608295140916,-0.042574402474902184,0.6593793936071037,0.7019537960820059,14.98592181728716,0.9366865726463481,80.3473491773309,80.19385040323321,61.316684892161824,23.90129980445218,127.27708746752961,7.806955625620125,0.031116433991873894,8.005863702165566,149.19046289780562,150.29999796549478,127.87962462548637,1,141.68831285869038,127.61038554840846,145.29103286664304,139.99682846707867,133.35409741801783,Above_Cloud,Bearish,151.9,2.496626180836725
169,GENTS.IS,66.59145046946071,58.947292976924814,0.08388584694853152,0.01925182233922762,-0.0646340246093039,17.861780896841186,0.7021608370711889,85.47140649149922,54.65333778380651,54.02371393300705,17.862738995091192,60.590750849403925,7.3059379421902655,-0.342468297861364,1.5665476136492886,23.384807364210396,23.546667098999023,20.311072874378077,1,22.514640772736296,22.645806664277742,21.811487232069954,15.345513733791453,14.287716094773026,Above_Cloud,Bullish,23.5,-1.260504201680679
170,GEREL.IS,57.90078980924515,72.60440813500226,0.014105482789999346,0.2082796450668114,0.19417416227681206,45.457221280960795,0.8770466290973746,83.81278242933031,53.27758831885208,65.6954977484509,60.61278098057303,110.72420601336546,27.393358648338886,0.026373466043380353,0.921257171205744,13.232230927349345,13.216666539510092,11.039917001707082,1,11.58158996909017,9.09000015258789,8.820000171661377,8.625000238418579,8.900000095367432,Above_Cloud,Bullish,13.44,6.245059288537536
171,GESAN.IS,8.495719656867708,8.761028604061792,-0.14613128947301315,-0.3941187170818624,-0.24798742760884926,21.372385426496386,0.08684207625652897,5.7531380753138155,28.545985581165766,34.96724593052832,23.453413142810707,-140.6794790242306,-6.7788456688971035,-0.3830393942536408,1.4882707440118765,39.69344816149853,38.79333241780599,43.16724622885968,-1,41.89918232863879,41.05000114440918,42.920000076293945,49.10000038146973,49.10000038146973,Below_Cloud,Bearish,38.78,-1.523616048755716
172,GIPTA.IS,90.97478760940386,91.70043713753887,0.2412002559772387,0.7270247781072579,0.48582452213001914,32.09446258681565,0.9660372599744123,99.7458703939009,90.82664966535032,83.96103919239985,55.707396321229616,137.31961185059558,21.830870332404935,0.2862870696520786,3.5999933501584667,101.76575740017223,103.36666615804036,91.37566965916847,1,97.87290257270024,70.09570353318381,66.13689422637307,52.82539125034496,49.26245993202614,Above_Cloud,Bullish,104.6,3.155818540433919
173,GLBMD.IS,37.08653691330782,36.64849884315286,-0.004439475249856769,-0.015370253725846036,-0.010930778475989267,10.143179250554756,0.156496324866765,12.422360248447198,48.70101120599954,42.73390355120662,20.87561693157672,-124.75347721352291,-1.3806739505186003,0.2528120711430047,0.6012765022368152,10.175933015757593,9.896666526794434,11.437823950784242,-1,10.763434014155258,10.929999828338623,11.339999675750732,9.990000009536743,10.130000114440918,No_Data,Bearish,10.0,-2.818270165208936
