,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,OBV,RSI,AD,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Cloud_Position,TK_Cross,CPrice,change
17,AKSGY.IS,75.62190471039143,83.60400374834829,71.25803600264196,85.31681113480296,0.010206323469031022,0.03931634717825276,0.02911002370922174,10.66678112089589,0.5709938574390837,36.56387665198239,50.5862227278259,-445524.0,51.15216970855765,110567648.98327722,21.422511557357396,-1.8111343696924511,3.0995114791737293,0.14186582282253865,0.17474508438746816,6.402464511670157,6.256666660308838,6.043716471634504,1,6.2578837697514995,6.070474391454406,6.393841290333812,6.629017212845643,6.692710701336301,,Below_Cloud,Bearish,6.32,0.797448165869219
18,AKSUE.IS,17.045262858022422,18.709212464919506,21.32890163014325,27.604596968980406,0.13675203808569053,-0.3369885260363079,-0.47374056412199844,51.011830844883484,0.16719202725200608,32.86666666666667,22.588444678299094,33512407.0,31.85554359010677,10744757.703099329,38.30311742568097,-111.08979604804014,-24.89939167281102,-0.1261490908814662,1.2583394059011244,15.360040854247057,14.563333511352539,17.970703732641304,-1,16.406520973984883,22.40999984741211,19.55999994277954,15.179999589920044,13.899999618530273,,No_Data,Bullish,14.93,-0.9946949602122057
19,AKYHO.IS,18.419471184972284,19.865301091414562,22.474072844285704,27.697844350453995,-0.004549013318703166,-0.014959203222060909,-0.010410189903357743,14.48614369423796,-0.0265680475424304,5.310734463276838,43.31442056125835,34013234.0,38.62560734292998,-337504740.959936,12.234320367274373,-193.6312313975045,-11.963193436965454,-0.11056614908199112,0.16266519285166298,2.972251458777375,2.859999974568685,3.314980087439377,-1,3.169870875274965,3.350000023841858,3.440000057220459,3.7049999833106995,3.509999990463257,,Below_Cloud,Bearish,2.87,-1.7123287671232834
20,ALARK.IS,36.96533206311827,48.74595517299315,49.70951694423983,74.12606392124862,0.025586121481250612,-0.06145363975628193,-0.08703976123753254,12.142535227545242,0.02313060464529986,10.719322990126935,29.566724419637485,-42831453.0,35.2543672994715,-159763692.48117545,28.446162160673325,-188.33959660333176,-8.675535297578168,-0.2991981956002683,2.779257071804267,81.13113551110816,77.93333180745442,85.42664550831594,-1,85.27816854403974,94.92499923706055,94.48490352473289,82.39764543728865,83.56502732158492,,Below_Cloud,Bullish,78.95,3.9499670836076417
21,ALBRK.IS,76.53061075540249,85.31428996528871,54.396392254564496,75.88069654061665,-0.014948866296159873,0.037765827007958275,0.05271469330411815,18.621430611153748,0.6273522471323054,72.75985663082439,58.839605152375455,563560577.0,55.484185142612866,129823144.97493507,41.495141559871286,27.25158383880521,4.668673930917066,0.08717043540297982,0.2550244358829095,7.138935054291576,6.8833333651224775,6.646975792442501,1,6.878149357980135,6.244999885559082,6.013339239515551,6.483169777519486,6.507487819459277,,Above_Cloud,Bullish,6.95,0.0
22,ALCAR.IS,19.918404852873092,21.618792754160552,64.29778447605169,70.38866524213577,4.96938193652562,2.1487747226752845,-2.8206072138503355,25.237733381395163,0.23344504560795964,4.613095238095238,26.49034713124983,471469.0,31.446210841362195,-2791691.4581673127,25.901352679940437,-93.24155193992502,-4.269662921348314,-0.4619827492498863,35.618227875066985,869.0856997971603,843.1666666666666,934.3488606703206,-1,881.1057894533881,1157.5,1158.3109651443845,1008.0538197711003,977.8597476085656,,Below_Cloud,Bearish,852.0,0.23529411764706687
23,ALCTL.IS,52.93414107790037,69.77233913534808,48.47017630273209,76.7578953129325,-0.32961789854625767,0.18435606322136255,0.5139739617676202,10.893162103106528,0.32900247993844633,21.97891321978913,63.18995513093778,17333296.0,46.59119645645391,-26715245.367062487,23.20853300762546,-89.20508453265354,-0.0969917319118042,-0.13115431245880926,4.546461880757142,106.7630843419816,102.3000005086263,99.78892066658166,1,103.89463986177057,101.04999923706055,100.9749984741211,115.0250015258789,120.85000228881836,,Below_Cloud,Bullish,103.0,4.145601617795758
24,ALFAS.IS,22.672352907911147,29.0410750017181,41.19561704591154,61.40753453842803,-0.088139245332478,-0.13457855332254942,-0.04643930799007143,15.608653304299905,-0.01375164862237762,3.8045827929096374,47.602437098770636,85763395.0,34.797118914351195,-223926921.41276538,12.26284632376543,-177.41934931099556,-8.991225024816448,-0.40039579486565335,1.7278164072870823,43.00549692072684,41.13333384195963,46.032715460512144,-1,45.12053013608658,46.670000076293945,48.86000061035156,54.10999870300293,65.30999946594238,,Below_Cloud,Bearish,41.5,4.42878711625565
25,ALGYO.IS,55.04838017813531,71.39234168566632,56.445657247437936,74.37154901363246,-0.0198455218308597,0.030760104273531208,0.050605626104390906,11.145828948113412,0.3298379689724413,12.918215613382902,42.599722066480965,56706297.0,47.41050821786868,-24128358.172079626,28.572248139548638,-80.13897389575614,-3.306671142578125,-0.20697897913362664,0.6193677832514042,18.62393482123137,18.003333409627277,17.82306030359876,1,18.394152848280097,17.914999961853027,17.940000534057617,18.619999885559082,19.519999504089355,,Below_Cloud,Bearish,18.13,0.666296501943342
26,ALKIM.IS,41.5852107663278,55.740737836743676,46.69029130632911,68.66395985633774,-0.0102238148120374,-0.008327871638997203,0.0018959431730401974,8.036200764659801,-0.05040797065618072,3.571428571428574,44.25280465141406,40938324.0,37.21372313589414,-60073414.16740637,16.514915336793134,-180.57224379712932,-5.140507142948654,-0.2723392437771621,0.44407154345463873,14.211440339775162,13.803333600362143,15.086444563919255,-1,14.587240533671183,14.71500015258789,15.005000114440918,16.09000015258789,16.925000190734863,,Below_Cloud,Bearish,13.84,-0.7885304659498216
