,symbol,time,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Cloud_Position,TK_Cross,CPrice,change
14,AKGRT.IS,2025-07-09 00:15:42.369979,84.43947352666483,93.0230952081849,0.008344257969079907,0.09884034732508526,0.09049608935600535,26.19588350828988,0.768902514061361,38.62275449101797,65.3152135194457,60.04858860171953,25.143675151610104,99.4685997516826,14.721717586224697,0.0659808565216285,0.21228816184452357,6.464452270561976,6.463333288828532,6.039438110235569,1,6.272077062121307,6.240000009536743,6.379999876022339,6.682499885559082,6.914999961853027,Below_Cloud,Bearish,6.39,-3.0349013657056223
15,AKMGY.IS,2025-07-09 00:15:42.369979,70.72995168987279,82.69633644117759,0.03427929276821695,1.1791726380400536,1.1448933452718366,8.519023693416495,0.7164622637609004,19.83385254413294,64.72505470021778,52.352347227753036,21.537644956802026,84.12572445957109,3.368985589175301,0.15608154875707,6.517331617553274,193.3887442381822,193.46666463216147,203.32607861947318,-1,192.2646237599829,193.25,202.9499969482422,223.98325570035405,217.6366189157498,Below_Cloud,Bearish,193.3,0.9399477806788514
16,AKSEN.IS,2025-07-09 00:15:42.369979,64.7479604528156,81.93443111912948,0.006741189038274045,0.07218360648121142,0.06544241744293737,8.734046117884608,0.4632076953729278,18.87755102040817,62.65387583049553,48.53264443639532,18.959230770485803,-11.946843738397225,1.9218933008071053,-0.08519516476907735,1.0398456916580925,33.24083273502683,32.893333435058594,31.239103479514913,1,33.3001541099477,33.6299991607666,32.97999954223633,33.52500009536743,35.1899995803833,Below_Cloud,Bullish,32.88,-0.6045949214026458
17,AKSGY.IS,2025-07-09 00:15:42.369979,84.59028488639746,92.3944622515845,0.012203303659810462,0.061333174055587664,0.0491298703957772,16.6280965567832,0.8292122622576901,59.471365638766514,67.03211779872616,65.59148894169995,21.596118374949913,109.6984335084828,10.679617193884232,0.36651364921355667,0.16578045740565991,6.84492909110342,6.836666742960612,6.448167869608365,1,6.59301250692671,6.25,6.2092950199788355,6.535926713890167,6.629017212845643,Above_Cloud,Bullish,6.84,-0.8695652173913104
18,AKSUE.IS,2025-07-09 00:15:42.369979,74.87774166805447,79.35170633645414,-0.07095065398270106,0.4074030210312801,0.4783536750139812,51.83862814700994,0.7115104275568143,56.599999999999994,79.80971879319254,55.129459201355935,30.350963694033723,77.30916729061425,30.856331361394037,0.3738301394854649,1.2681955183609623,18.638864141932366,18.883333206176758,15.773382984529562,1,17.319613555033975,19.835000038146973,21.324999809265137,18.832500219345093,15.62000036239624,No_Data,Bearish,18.49,-1.1229946524064172
19,AKYHO.IS,2025-07-09 00:15:42.369979,72.41002338860048,87.04456490218399,0.0016521320304020218,0.015463160963780816,0.013811028933378794,12.150533948307967,0.3347140229862193,4.8587570621468945,51.39328938139378,42.45934406364854,10.123798728815776,-37.66106385456594,1.0714275678809637,-0.008887865253093223,0.13179611461206187,2.8899087291702052,2.849999984105428,3.131346428258388,-1,2.960413964387572,3.2300000190734863,3.3300000429153442,3.59250009059906,3.509999990463257,Below_Cloud,Bearish,2.83,-3.412969283276457
20,ALARK.IS,2025-07-09 00:15:42.369979,84.01781595456144,92.169440803258,0.15598930297866787,1.0857296934660863,0.9297403904874184,18.90952673950573,0.7488281352873908,27.474150664697188,68.47491919646293,54.42894908958744,25.189834929771475,78.26403571963439,9.533072139538561,-0.07503838127514581,2.538447598146333,84.93149021140944,84.73333231608073,79.01319369343882,1,82.96702961996628,85.20000076293945,91.89999771118164,94.41194203702936,88.84256294293463,Below_Cloud,Bearish,84.45,-0.8802816901408494
21,ALBRK.IS,2025-07-09 00:15:42.369979,84.05418685219838,89.90847079462509,0.001572669324682377,0.08193276031076974,0.08036009098608736,32.46726726281518,0.8300543586335107,86.046511627907,74.12767783572731,71.93202510908833,39.13763010432541,100.41573594918398,24.6223586498334,0.12168841913657395,0.3201539973277607,8.178752491972269,8.226666768391928,7.318335047953823,1,7.739659406624041,6.625,6.414999961853027,6.294458655526192,6.458851637023212,Above_Cloud,Bullish,8.25,1.1029411764705843
22,ALCAR.IS,2025-07-09 00:15:42.369979,71.79116138387315,80.29034980268146,0.42084063720384357,15.513756657256815,15.092916020052972,24.15333608604464,0.6879066964078463,17.845117845117844,73.37679885297678,51.72186615850513,25.016859270115077,73.11795106800074,9.975961538461538,-0.052271498113581345,38.71481810666552,931.419878296146,923.6666666666666,877.2426845172236,1,890.9510718864443,941.5,1064.5,1157.3769390265336,1066.777758699567,Below_Cloud,Bearish,915.0,-2.191341528594337
23,ALCTL.IS,2025-07-09 00:15:42.369979,91.50235782233676,95.9560163937628,0.41133553047291616,0.8492467331302082,0.437911202657292,17.62124835587246,0.7314107149600814,29.92700729927008,71.14219607847774,57.28690302200509,20.114881499499,82.04521698535868,11.294486768764417,0.031162799807343093,3.8853220839536604,107.79295299599667,108.13333384195964,96.88062788668188,1,103.50948625922413,104.29999923706055,101.04999923706055,104.0625,120.85000228881836,No_Data,Bullish,107.9,-0.6445672191528473
