,symbol,Stoch_K,Stoch_D,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Chikou,Cloud_Position,TK_Cross,CPrice,change
0,KRDMD.IS,31.519254810702165,42.15165586208405,30.421678891540193,41.56090669127672,-0.06824789538833691,0.0015901803052320584,0.06983807569356897,12.505093785706286,0.24204048573196763,8.992248062015504,36.70554123718278,41.2716069629811,27.93625628716229,-63.71351507059604,-0.9760479670236867,-0.22130949030388167,0.8070335572432641,22.45590226403598,22.53333282470703,24.243359567810018,-1,23.629407159815642,23.84000015258789,26.320000648498535,30.195000648498535,29.5600004196167,,Below_Cloud,Bearish,22.32,-1.0638297872340385
1,CCOLA.IS,15.376992686984485,20.944805228416424,1.963485475936445,12.652894762670895,-0.25924280204407746,-0.2973774481691074,-0.038134646125029946,11.995440323778219,0.05992026115790904,0.5505881282278802,31.881026509765796,38.10093543810585,12.929262104139694,-133.04982922638976,-6.129671224068116,-0.19966726425926568,1.556615134438107,48.827808685766996,48.14666620890299,52.882473477130446,-1,51.62035874345208,50.47987677462621,51.45911799795857,52.98183908009047,55.12148078504027,,Below_Cloud,Bearish,47.78,-1.6062602965403627
2,BRSAN.IS,18.628241138219703,24.64536196796526,22.0384797280353,43.3122375388248,-0.4578148568493696,-1.0847554978628313,-0.6269406410134617,14.771532475360566,0.04942230689226381,2.035623409669211,41.879911938065995,30.13428239010741,14.094335773694002,-132.23872817305184,-6.502242152466367,-0.1631090221625356,11.619964977988877,319.0725152129817,314.5,348.68854405363163,-1,330.9577310305263,389.0,389.0,378.625,378.625,,Below_Cloud,No_Data,312.75,-1.1067193675889375
3,ARCLK.IS,67.13268727698846,61.126244723260896,80.69912842958043,78.3105796821155,0.23801606400283637,0.7723933163096528,0.5343772523068164,12.355034731429525,0.48648391500234794,8.314855875831483,53.20791973528179,45.06121428344674,23.99498989743192,8.614648048605162,3.8497638254658155,-0.035831512855064473,3.5477709775758934,110.79056828404053,111.13333129882812,114.89207519195188,-1,111.6513998400427,117.9000015258789,126.3499984741211,139.59999656677246,136.39999771118164,,Below_Cloud,Bearish,110.6,-0.8960573476702538
4,HEKTS.IS,28.735608559392542,36.72685331870415,19.506828040931577,33.93991220777068,-0.008849748123745319,-0.00822926052477832,0.0006204875989669983,9.843931775832816,0.14154061211804392,0.739371534195934,54.25108873758325,39.93859862940365,15.705720126378734,-112.12510982223009,-1.3245020564786776,0.0532854333377296,0.08879468361033144,3.01414808927153,2.9800000190734863,3.2172533352781056,-1,3.143785864657202,3.149999976158142,3.1950000524520874,3.375,3.430000066757202,,Below_Cloud,Bearish,2.98,0.0
5,MIATK.IS,17.804552154755182,27.86144676067653,44.67686227363166,57.11569314168213,-0.047066962009650326,0.09017348316713547,0.1372404451767858,13.348905153911096,0.1183537155298273,1.6438356164383563,46.4509611180936,36.09120019314521,17.661277647137773,-113.16751786403756,-3.0848360087799325,-0.3387246780251387,1.3542567931206966,30.730365132221586,30.34666697184245,34.152918566672,-1,31.886399058045114,35.95000076293945,41.0,40.87999963760376,39.609999656677246,,Below_Cloud,Bearish,30.16,-1.049868766404205
6,ZOREN.IS,29.10577306014531,28.895511363539317,49.14170068023058,59.17522267572078,0.0007861830315660893,-0.003959513092834169,-0.004745696124400258,18.31879491884809,0.17680646368212777,2.743902439024386,39.91736971935268,31.4520264344565,29.492559643765482,-88.9853109284076,-4.290424991743872,-0.17014289889200415,0.08446121559065559,2.948641022610616,2.9233334064483643,3.1513471844227063,-1,3.0628527204646194,3.315000057220459,3.3899999856948853,3.6150001287460327,3.7150001525878906,,Below_Cloud,Bearish,2.9,-1.3605442176870763
7,SMRTG.IS,27.31828917988305,27.975936546298325,32.13282759263168,47.60848537459375,-0.027493989685917257,-0.06540204618905654,-0.03790805650313928,18.092378380433626,0.13449404420484953,4.10790925812385,49.52206684015102,31.20989132697294,16.16231981499944,-108.65175562509656,-7.633583896206348,-0.4068253617074816,1.0750805039607143,27.037708265060825,26.860000610351562,29.9197309437818,-1,28.389798187045333,30.960000038146973,32.76000118255615,34.72000026702881,37.109999656677246,,Below_Cloud,Bearish,26.62,-0.7457121551081247
8,MAVI.IS,77.05511023468402,80.87926140055173,89.86005105919025,93.99357658230353,0.19887751718755692,0.47724459659382856,0.27836707940627164,22.42586296931469,0.8300225854636251,14.04872991187144,64.26934035647051,64.55290674438258,22.34817671964314,116.21832600057012,12.763241801291763,-0.0477641115035485,1.2846766078737115,35.28886428662778,35.59999974568685,32.48259371079822,1,33.38911219179313,31.730321455483917,32.38875813351452,33.65739004057879,33.65739004057879,,Above_Cloud,Bearish,35.34,-1.5050167224080258
9,TTRAK.IS,41.59779614325068,51.7008170624627,54.03714049005455,66.31247216175201,-0.8781905328224475,2.247700922895511,3.1258914557179587,11.768684055848253,0.26768778775795427,4.545454545454546,41.72449658025507,37.58929889692025,19.325773930521358,-61.65554513869761,0.0,-0.23587985954538182,15.86999012599459,579.4056795131846,574.0,602.2627614054994,-1,595.4688501007979,613.25,691.5,738.1670960265468,705.2447068657978,,Below_Cloud,Bearish,571.0,-1.1255411255411296
10,EGPRO.IS,28.36870992453124,25.137070675970122,2.555144678442572,26.721471862674374,-0.007441889696632231,-0.05796207320951541,-0.05052018351288318,15.286354535536557,0.030155693361662694,3.7633410440009714,37.193863912838225,26.121762393312014,34.62178514121542,-134.31924601031704,-9.486926906817802,-0.37397723526073895,0.6252427498979998,19.089777271355867,18.860000610351562,20.366094124757478,-1,19.769983905476845,23.26787689577845,23.297193797792445,23.986142833641296,23.94216731733954,,Below_Cloud,Bearish,18.7,-2.0942408376963484
11,AEFES.IS,23.069928675026272,28.210778171032317,46.36781895195579,54.36170393768466,0.07058498156273152,-0.25021275669336607,-0.3207977382560976,17.543258902475657,0.12082575993584517,1.0554089709762597,39.90469735260961,35.12430156825351,22.374439353316454,-106.7207894293833,-6.464920420269466,-0.22541351869370066,5.020068143529491,139.26582122864636,137.46666463216147,150.98941285268137,-1,146.67558751980593,160.29777309611302,160.39694208581446,169.47040273965354,169.47040273965354,,Below_Cloud,Bearish,136.0,-3.2028469750889688
12,FROTO.IS,43.27452281878468,41.47626888757281,54.71532787575831,55.22004621599992,0.15215696918727262,-0.11872887818597766,-0.2708858473732503,17.028053267107655,0.34797121332159897,14.767932489451471,25.789481813017236,43.30032940610807,18.682429438719797,-60.42169863606367,-1.4645577297567398,-0.18503538165269554,3.2705700144916965,83.96739193682254,83.88333129882812,90.63195528716744,-1,87.30634140495566,89.8499984741211,97.14711561912367,84.04358561785503,81.90201616816502,,Above_Cloud,Bearish,84.1,1.0817307692307487
13,ALCAR.IS,15.272482169915799,17.664034941629538,28.440149771814493,45.6735615516632,1.8205467252627614,0.2994242283681601,-1.5211224968946013,23.43853451034214,0.16462958655441448,0.6696428571428571,33.403337088050066,28.019405286332667,28.250190752442553,-105.06118453255021,-4.676674364896074,-0.41812289330475455,33.673369921266996,845.7611561866125,832.6666666666666,925.9400771429005,-1,873.0808189631019,1143.5,1175.122453622781,1008.0538197711003,977.8597476085656,,Below_Cloud,Bearish,825.5,-1.8430439952437538
