,symbol,time,StochRSI_K,StochRSI_D,MACDAS-dif,MACDAS,MACDAS_Signal,BB_BWidth,BB_%B,YF%,MFI,RSI,ADX,CCI,ROC,CMF,ATR,FWMA,VWAP,Supertrend,st_way,kama,Tenkan,Kijun,Senkou_A,Senkou_B,Cloud_Position,TK_Cross,CPrice,change,EMA_200
0,A1CAP.IS,2025-07-16 23:42:46.074842,8.018311778483413,8.267405752280938,-0.05241969005992589,-0.14860577975134587,-0.09618608969141998,19.27799159832794,0.2898090569782722,73.51247600767753,53.004412634618674,49.911725848147654,33.42102607035383,-62.95099545810397,-5.697682593692399,-0.3215243323977282,0.5218297004069224,8.286987688671985,8.199999809265137,7.324618754152176,1,8.017727183906002,6.6549999713897705,6.460000038146973,4.84250020980835,5.005000114440918,Above_Cloud,Bullish,8.11,-3.6817102137767233,5.987936248143729
1,ACSEL.IS,2025-07-16 23:42:46.074842,80.60870505758395,83.40828054938143,0.08127208247835027,0.6020880901941547,0.5208160077158044,8.995834106558455,0.772496773817733,16.493055555555557,67.00552258294019,52.161190961303795,13.533704941959916,113.84614173887111,3.850053869556365,-0.04363485434458674,3.763818378172113,102.40466579414043,103.36666615804036,106.87622245461219,-1,102.17851918917508,102.42499923706055,114.17499542236328,116.19999694824219,113.24999618530273,Below_Cloud,Bearish,102.5,-2.0076481835563986,110.77099033256948
2,ADESE.IS,2025-07-16 23:42:46.074842,67.76612299966376,59.3129328435075,0.04291486177913969,0.07713982519600737,0.03422496341686768,44.4682989149549,0.9887705819892306,91.84925503943909,84.94017011917504,75.18425329446103,62.43004718097662,175.49125702571806,31.008588390058538,-0.01905866059233053,0.8255935369628022,11.799847781779075,12.510000228881836,9.975017447056672,1,10.351448208241317,4.830000042915344,4.0299999713897705,1.9875000417232513,1.9550000429153442,Above_Cloud,Bullish,12.21,-3.858267716535424,4.002250239098166
3,ADGYO.IS,2025-07-16 23:42:46.074842,16.535013453368155,14.280576837152347,-0.1107743860366274,-0.17294438131086376,-0.062169995274236355,10.951349274181513,0.5938609255826277,70.65767284991566,53.460817412470035,58.92598773339326,28.314809466616545,42.98184240545874,0.1164170978369912,-0.16191699747634863,1.3594478863704302,34.3010960437705,34.5466677347819,30.877274362553635,1,33.65908327486207,27.960000038146973,28.589999198913574,30.329999446868896,29.309999465942383,Above_Cloud,Bearish,34.4,-0.34762456546930665,31.50538487059764
4,AEFES.IS,2025-07-16 23:42:46.074842,28.92770413235083,50.830579747775126,-0.11188445376265421,0.005712080857109447,0.11759653461976366,24.590912269944813,0.49312394928945674,8.766328011611028,70.01374800233467,48.37728509248969,20.65210239932659,10.345456984727244,4.310958493261937,-0.07029460418747828,0.5898992548186556,15.206389390430875,14.923333168029785,14.256770654078647,1,15.281974246223125,14.424999713897705,14.71198810375481,15.11518173138499,15.660408851528121,Below_Cloud,Bearish,14.76,-2.894736842105261,16.797858343425453
5,AFYON.IS,2025-07-16 23:42:46.074842,82.39445134710996,88.7561033075981,-0.02393283329081561,0.12434138424954252,0.14827421754035813,23.900196439376028,0.7728880025698255,36.56462585034015,70.79949373749193,62.058860817926295,31.178389016981175,79.31878128811675,13.991776265957562,0.04109356724865079,0.40352332622046605,13.83230237496552,13.870000203450521,12.741950514205127,1,13.535207448015223,12.775000095367432,13.150000095367432,13.555338144688376,13.73904319611152,Above_Cloud,Bearish,13.85,0.21707670043413785,13.594008968708168
6,AGESA.IS,2025-07-16 23:42:46.074842,11.884994278907463,13.791521617253315,-0.29236292854084717,-0.5855075482125853,-0.29314461967173816,9.050799163018842,0.47961763075562935,83.63769174579987,63.839045117979495,52.32331839166221,24.969313993016133,7.007556135659314,-0.19763046490553976,0.043075846310214674,4.970569469191232,151.74999859173448,152.13333129882812,138.87682764103312,1,147.87645539715274,138.4000015258789,140.8499984741211,132.2352091898465,137.25074440178366,Above_Cloud,Bearish,151.5,-0.6557377049180357,133.11943282869544
7,AGHOL.IS,2025-07-16 23:42:46.074842,54.26479760567913,68.66226909582593,-1.4420584443703397,0.6446791592716694,2.086737603642009,18.314095039295456,0.46455217644533414,8.148303309593627,63.43044041339497,45.91433026965914,19.378334473251332,4.590315593447849,5.365154454925065,-0.05777600976823165,9.173998134066782,265.230071000105,260.9166666666667,249.1100478028136,1,264.4798811434213,258.57436058354114,274.87917785130765,284.29206201074976,301.82279015483186,Below_Cloud,Bearish,258.25,-2.913533834586468,297.779317029466
8,AHGAZ.IS,2025-07-16 23:42:46.074842,1.2732206563089152,1.2591311577453201,-0.017795303356768377,-0.2777754719216101,-0.25998016856484174,10.950248661212829,0.182498728262282,81.78674351585013,44.574696844533804,46.47478998986599,20.170013276160365,-113.21320618250067,-2.698759186940825,-0.3746327886490475,0.8375753731053756,26.791865915604102,26.71999994913737,25.842045760423836,1,27.432960542891827,25.559999465942383,24.27999973297119,21.81999969482422,20.05500030517578,Above_Cloud,Bullish,26.68,0.0,21.325476857857428
9,AKBNK.IS,2025-07-16 23:42:46.074842,13.764761402620488,38.242318698632616,-0.5880974510351331,-0.33113117964519656,0.25696627138993655,28.8802963607171,0.5327096800202245,64.26196808510639,60.34777414881968,55.22248927086081,29.760155063717228,11.945844138279329,5.564511206842238,0.01793988993294314,2.396169656282439,67.31592195754601,65.60000101725261,63.55365644592647,1,67.67509445011038,53.525001525878906,52.14000129699707,54.451352031202056,61.31860280566242,Above_Cloud,Bullish,65.45,-1.874062968515744,58.80839263366098
